0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1.1707239510942484e-09,2.4658744085008153e-09,8.563461057355087e-09,1.2409117821189868e-09,1.2527233379247436e-09,1.5794528438739494e-10,3.038162391831535e-11,1.770357480135997e-08,5.312537494905597e-09,6.5069257578592e-09,1.4501878979872002e-08,5.21697736376005e-09,1.417750207507983e-08,1.1776899582074456e-08,5.4189641830191316e-09,3.428099676270331e-08,-7.271783720580801e-15,5.587598466782157e-10,1.4506260708483908e-09,-5.9988736285546086e-15,3.5908510754471646e-22,1.836779691650125e-11,1.1191374959951467e-11,1.5377650299165645e-09,4.2140647818964224e-09,5.833474545666305e-10
1.1707239510942484e-09,2.4658744085008153e-09,8.563461057355087e-09,1.2409117821189868e-09,1.2527233379247436e-09,1.5794528438739494e-10,3.038162391831535e-11,1.770357480135997e-08,5.312537494905597e-09,6.5069257578592e-09,1.4501878979872002e-08,5.21697736376005e-09,1.417750207507983e-08,1.1776899582074456e-08,5.4189641830191316e-09,3.428099676270331e-08,-7.271783720580801e-15,5.587598466782157e-10,1.4506260708483908e-09,-5.9988736285546086e-15,3.5908510754471646e-22,1.836779691650125e-11,1.1191374959951467e-11,1.5377650299165645e-09,4.2140647818964224e-09,5.833474545666305e-10
2.3414015904246634e-09,4.931650314887542e-09,1.712659340387608e-08,2.481774954848442e-09,2.505392893384366e-09,3.158845625639808e-10,6.076208537544533e-11,3.540647096103779e-08,1.062486894256017e-08,1.3013590365940407e-08,2.900319985465192e-08,1.0433752634234286e-08,2.8354462350911657e-08,2.3553340706339797e-08,1.0837719993262165e-08,6.85606737365503e-08,-1.580230444257149e-14,1.1174975245803359e-09,2.9011886728109136e-09,-1.3036144660289132e-14,-5.823237612585837e-18,3.6734883240944316e-11,2.238206724622332e-11,3.0754709286310874e-09,8.427968086016266e-09,1.1666726752997443e-09
3.512123564062374e-09,7.397519718652536e-09,2.5690048377626382e-08,3.722685021457349e-09,3.7581106043844015e-09,4.738297813560978e-10,9.114369057308067e-11,5.3110033880273754e-08,1.5937402655188374e-08,1.952050202560637e-08,4.3505070244371964e-08,1.5650724744074965e-08,4.253195745770422e-08,3.533023697222616e-08,1.6256682284249063e-08,1.0284164845150767e-07,-2.111464588651311e-14,1.6762563666823187e-09,4.3518261380887645e-09,-1.7418573268343243e-14,-1.0657969121250637e-17,5.510266240960714e-11,3.3573223968868864e-11,4.613234766568394e-09,1.2642030170236397e-08,1.750019857293087e-09
4.682842800082335e-09,9.863382264083612e-09,3.4253494850372746e-08,4.963592738125049e-09,5.010820534558243e-09,6.317749083211586e-10,1.2152526994123217e-10,7.081358028338833e-08,2.124992595011866e-08,2.602739416785718e-08,5.800691988772882e-08,2.0867689567876605e-08,5.670943939037718e-08,4.710709866298837e-08,2.1675635330904923e-08,1.3712257585276254e-07,-3.2364541231809134e-14,2.2350138281447998e-09,5.802424985337546e-09,-2.6699198865512003e-14,-2.21774118143359e-17,7.347041699950406e-11,4.4764079107816574e-11,6.1509969338780065e-09,1.6856088169275012e-08,2.333366640355745e-09
5.853559155492217e-09,1.2329237595004792e-08,4.281693237576341e-08,6.2044979828438394e-09,6.263522277754227e-09,7.897199386328387e-10,1.5190682213328732e-10,8.851710930573025e-08,2.656243859347134e-08,3.253426577323956e-08,7.250874824555803e-08,2.608464672469561e-08,7.088690767821062e-08,5.888392574126938e-08,2.7094579044269416e-08,1.7140345448399404e-07,-4.9350532053528104e-14,2.7937698371631147e-09,7.252986412994629e-09,-4.071182217419762e-14,-4.0730466788925514e-17,9.183814572672282e-11,5.5954616926184826e-11,7.688757347678059e-09,2.107014189955994e-08,2.9167130030171666e-09
7.024265990335218e-09,1.4795069173358552e-08,5.13803402268011e-08,7.445395090328195e-09,7.516196974515335e-09,9.47664648173208e-10,1.8228828462135514e-10,1.0622058079705085e-07,3.187491561697813e-08,3.904106950358677e-08,8.701050573959234e-08,3.1301578525478894e-08,8.506433067136626e-08,7.066063564819652e-08,3.2513491340352e-08,2.056841707122572e-07,-8.607662306762188e-14,3.3525210590027553e-09,8.70341923157867e-09,-7.100903785965001e-14,-8.251816678640751e-17,1.1020578896553033e-10,6.714410669712192e-11,9.226512007778847e-09,2.528418161451176e-08,3.5000579480578107e-09
8.194962145457328e-09,1.7260874111978862e-08,5.994371478495307e-08,8.686283071594591e-09,8.768841332407606e-09,1.105608997815234e-09,2.1266964648933582e-10,1.239239877479027e-07,3.718735322722084e-08,4.554779709474167e-08,1.0151218469833632e-07,3.651848188208318e-08,9.924170323697206e-08,8.24372172101282e-08,3.7932369083377927e-08,2.399647065439997e-07,-1.4405136970245189e-13,3.911266911661066e-09,1.0153713406664105e-08,-1.1883526208881936e-13,-1.5036884633636797e-16,1.2857333630827343e-10,7.833242085114963e-11,1.0764260221935017e-08,2.949820566165465e-08,4.083401301375258e-09
9.36471979736158e-09,1.972469609656211e-08,6.850029175954092e-08,9.926179583978509e-09,1.0020453070380391e-08,1.2634283537931868e-09,2.430269181174915e-10,1.416133482534211e-07,4.2495545877780855e-08,5.204928326353786e-08,1.1600231943127801e-07,4.173123181769761e-08,1.134078291042055e-07,9.420432767469607e-08,4.334692535333387e-08,2.742179605976344e-07,-2.335723236340355e-13,4.469564432986037e-09,1.1602658602686744e-08,-1.9268532381449318e-13,-2.573366461947013e-16,1.4692626678642874e-10,8.951015233875959e-11,1.2300787089590788e-08,3.370888576171117e-08,4.666282610068847e-09
1.0535405522953675e-08,2.2190474978563067e-08,7.70636338495082e-08,1.1167058638447855e-08,1.127306779443272e-08,1.4213723525452477e-09,2.7340818166986083e-10,1.593166922126689e-07,4.780794608731556e-08,5.8555936498031634e-08,1.3050392349653696e-07,4.694810740311537e-08,1.2758515313889825e-07,1.05980790312814e-07,4.8765770757230515e-08,3.0849832374809505e-07,-3.1045256928523667e-13,5.028305037066243e-09,1.3052828990644842e-08,-2.5610737255410484e-13,-3.506453295539864e-16,1.6529372049078265e-10,1.0069731807939776e-10,1.3838529000019605e-08,3.792289454525095e-08,5.249624421351706e-09
1.1706104007570561e-08,2.46562855995166e-08,8.562701581227625e-08,1.2407948564853997e-08,1.2525718752793369e-08,1.579316782529351e-09,3.037895653234773e-10,1.770201133605768e-07,5.312039386840936e-08,6.50626806952754e-08,1.4500562203133066e-07,5.2165016986120134e-08,1.4176253766901948e-07,1.1775740943532623e-07,5.418465809747868e-08,3.427789038642301e-07,-3.6105551624906205e-13,5.587052043158633e-09,1.450317063885425e-08,-2.9785205017195356e-13,-4.1282795227848936e-16,1.8366128877289359e-10,1.1188588764338456e-10,1.537627857258395e-08,4.213692196603795e-08,5.83296816108818e-09
1.2876329226894353e-08,2.7121086270394863e-08,9.41870787069913e-08,1.3648343872608547e-08,1.3777803059659045e-08,1.7372008055737713e-09,3.3415922971583983e-10,1.9471668664812426e-07,5.843072373712068e-08,7.156674100414981e-08,1.595016311169523e-07,5.737987858898689e-08,1.55934442998276e-07,1.295292056256343e-07,5.960140327284952e-08,3.7704605036623865e-07,-4.780301646451641e-13,6.145572317165228e-09,1.5952534615277825e-08,-3.943495707053469e-13,-5.580336240751275e-16,2.0202166017141363e-10,1.2306651360782647e-10,1.6913430711723304e-08,4.634931860246695e-08,6.416087938499116e-09
