0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3.4999935379570877e-09,6.999967853810748e-09,2.7979959964078848e-08,2.9199918683597495e-09,2.9199737486506304e-09,2.0771981431401343e-26,2.77662974515055e-26,4.0579943166876755e-08,1.3349960698426948e-08,1.5589922251231717e-08,4.0709921841540266e-08,1.5509965364720443e-08,4.136994486270607e-08,2.0559890090418294e-08,1.3399973086125909e-08,4.579964902796696e-09,-1.827338299715566e-14,1.929995807810168e-09,4.579987785521756e-09,-1.5165389423606565e-14,1.721830892456767e-25,4.2069701895026395e-25,-1.2202938688283903e-15,3.8599939863110535e-09,1.4619980256868879e-08,1.6199983027183e-09
3.4999935379570877e-09,6.999967853810748e-09,2.7979959964078848e-08,2.9199918683597495e-09,2.9199737486506304e-09,2.0771981431401343e-26,2.77662974515055e-26,4.0579943166876755e-08,1.3349960698426948e-08,1.5589922251231717e-08,4.0709921841540266e-08,1.5509965364720443e-08,4.136994486270607e-08,2.0559890090418294e-08,1.3399973086125909e-08,4.579964902796696e-09,-1.827338299715566e-14,1.929995807810168e-09,4.579987785521756e-09,-1.5165389423606565e-14,1.721830892456767e-25,4.2069701895026395e-25,-1.2202938688283903e-15,3.8599939863110535e-09,1.4619980256868879e-08,1.6199983027183e-09
3.499989747476158e-09,6.999948997539322e-09,2.7979936479846513e-08,2.9199870985306368e-09,2.919958350175063e-09,4.154707292523873e-26,5.553686257919828e-26,4.057990982975286e-08,1.3349937644973724e-08,1.558987664548879e-08,4.070987599543317e-08,1.5509945048396286e-08,4.13699125203175e-08,2.0559825619808578e-08,1.3399957299024938e-08,4.5799443155625445e-09,-2.899215004326727e-14,1.929993348764493e-09,4.579980620779279e-09,-2.4061092085331226e-14,3.4439264781253865e-25,8.857832116538322e-22,-1.936092505806906e-15,3.859990458807141e-09,1.4619968675958984e-08,1.619997307127915e-09
3.4999881738720394e-09,6.9999411694085664e-09,2.797992673042725e-08,2.919985118353253e-09,2.919951957540993e-09,6.231975824460151e-26,8.330424550781137e-26,4.0579895989929576e-08,1.3349928074397118e-08,1.558985771239417e-08,4.0709856962539746e-08,1.5509936614127256e-08,4.136989909345493e-08,2.0559798855008294e-08,1.3399950745052187e-08,4.5799357688332545e-09,-3.344201619764236e-14,1.9299923278990023e-09,4.579977646357063e-09,-2.7754121907126927e-14,5.164660620259662e-25,1.4690836361689922e-21,-2.2332544452722585e-15,3.859988994372872e-09,1.4619963868172978e-08,1.6199968938109776e-09
3.499985674577698e-09,6.999928736279475e-09,2.797991124578514e-08,2.9199819733140503e-09,2.919941804359222e-09,8.309919841712724e-26,1.110807521474096e-25,4.0579874008649235e-08,1.3349912873810281e-08,1.5589827641668936e-08,4.070982673330241e-08,1.5509923218290432e-08,4.1369877768066305e-08,2.0559756345482553e-08,1.339994033562671e-08,4.5799221944009165e-09,-4.050956634842417e-14,1.92999070649753e-09,4.579972922198985e-09,-3.361962213606912e-14,6.884055176920963e-25,2.5373625838202376e-21,-2.7052257377838104e-15,3.859986668466073e-09,1.4619956232143912e-08,1.6199962373548873e-09
3.499982655680583e-09,6.999913718280749e-09,2.7979892541854763e-08,2.919978174421226e-09,2.9199295403153997e-09,1.0388430061907007e-25,1.3886493605910396e-25,4.057984745741498e-08,1.3349894513001127e-08,1.5589791319196398e-08,4.070979021935083e-08,1.5509907037433703e-08,4.136985200908644e-08,2.0559704998166483e-08,1.3399927762070752e-08,4.579905797848491e-09,-4.904646328882132e-14,1.9299887480057274e-09,4.57996721588865e-09,-4.0704569073824983e-14,8.60058960361779e-25,4.1002499752328175e-21,-3.2753207587008045e-15,3.859983858998566e-09,1.4619947008568297e-08,1.6199954444200977e-09
3.49997721629467e-09,6.99988665910987e-09,2.7979858841427913e-08,2.9199713296539363e-09,2.9199074431783367e-09,1.2467355062185495e-25,1.666548833494853e-25,4.057979961784489e-08,1.3349861430831497e-08,1.558972587401392e-08,4.070972442914435e-08,1.5509877883041825e-08,4.136980559699489e-08,2.055961248151555e-08,1.3399905107283329e-08,4.579876254919504e-09,-6.442806371590125e-14,1.929985219234738e-09,4.579956934386838e-09,-5.3470094184091446e-14,1.0305233043213464e-24,7.509174377074231e-21,-4.3025082529710396e-15,3.859978796947312e-09,1.4619930389683793e-08,1.6199940157232025e-09
3.4999698564979833e-09,6.9998500463907645e-09,2.7979813242662462e-08,2.919962068293469e-09,2.919877544408736e-09,1.4546351690705874e-25,1.9444606855536712e-25,4.0579734887934763e-08,1.3349816668663798e-08,1.5589637322717564e-08,4.070963541094913e-08,1.550983843535151e-08,4.136974279856227e-08,2.0559487300904625e-08,1.3399874454012838e-08,4.579836281694859e-09,-8.524025561161591e-14,1.9299804446020957e-09,4.5799430229359635e-09,-7.074262239743373e-14,1.1982378871254183e-24,1.356787957970286e-20,-5.692356289203296e-15,3.859971947678338e-09,1.4619907903299741e-08,1.6199920826069561e-09
3.499959909786707e-09,6.9998005643297576e-09,2.7979751615931482e-08,2.919949551626614e-09,2.9198371362692932e-09,1.6625008563946283e-25,2.222330958123208e-25,4.0579647405447554e-08,1.3349756172699624e-08,1.5589517645806544e-08,4.070951510291448e-08,1.5509785121813435e-08,4.136965792648624e-08,2.0559318119583858e-08,1.3399833026228573e-08,4.579782258226727e-09,-1.1336781134322086e-13,1.929973991710131e-09,4.5799242217163284e-09,-9.408641096858992e-14,1.3592602920808813e-24,2.440099621992908e-20,-7.570735376144745e-15,3.859962690891389e-09,1.4619877512945203e-08,1.6199894699988504e-09
3.4999523182329095e-09,6.999762798260653e-09,2.797970458067988e-08,2.91993999861865e-09,2.919806295691408e-09,1.8702822720132077e-25,2.500090677077811e-25,4.0579580636341894e-08,1.3349710000567425e-08,1.5589426305197642e-08,4.070942328047493e-08,1.550974443143951e-08,4.136959314971811e-08,2.055918899582712e-08,1.3399801407438745e-08,4.57974102619896e-09,-1.3483548374458056e-13,1.929969066699417e-09,4.579909872157171e-09,-1.1190304523357994e-13,1.5160070696428566e-24,3.539748843234735e-20,-9.00436650685918e-15,3.859955625851644e-09,1.4619854318164694e-08,1.6199874759814119e-09
3.499947821182798e-09,6.999740426456705e-09,2.7979676717995828e-08,2.9199343396484104e-09,2.9197880264101726e-09,2.0781079300083005e-25,2.777910382456511e-25,4.057954108373511e-08,1.3349682649213175e-08,1.558937219703788e-08,4.070936888682249e-08,1.5509720327333197e-08,4.1369554777326215e-08,2.055911250572292e-08,1.3399782677158346e-08,4.579716601291543e-09,-1.4755245370115196e-13,1.929966149234712e-09,4.579901371803516e-09,-1.2245724504817757e-13,1.674970527347835e-24,4.3145249336954015e-20,-9.853618897806953e-15,3.859951440672152e-09,1.4619840578065288e-08,1.6199862947671235e-09
3.499938369433279e-09,6.999693406008336e-09,2.7979618156944598e-08,2.9199224458105047e-09,2.919749628546327e-09,2.2861345670620475e-25,3.056003139322259e-25,4.057945795310559e-08,1.3349625162938007e-08,1.5589258474036878e-08,4.070925456373549e-08,1.5509669665969763e-08,4.136947412726778e-08,2.055895174108174e-08,1.3399743310455161e-08,4.579665265979676e-09,-1.742805327065247e-13,1.9299600174037252e-09,4.579883506082716e-09,-1.4463973936872806e-13,1.81330519982781e-24,6.096459167799772e-20,-1.163855477467456e-14,3.859942644372759e-09,1.4619811699485564e-08,1.6199838121213405e-09
3.4999315460543328e-09,6.9996594609348666e-09,2.797957588043038e-08,2.919913859441017e-09,2.9197219083234012e-09,2.494209053395545e-25,3.33416149781849e-25,4.0579397939258324e-08,1.3349583662400831e-08,1.5589176375040098e-08,4.070917203140279e-08,1.550963309242752e-08,4.136941590419684e-08,2.0558835681688012e-08,1.339971489081064e-08,4.5796282060476565e-09,-1.9357606770095305e-13,1.9299555907143575e-09,4.579870608472845e-09,-1.6065377259417716e-13,1.9509950256058112e-24,7.615913551083044e-20,-1.2927138887514185e-14,3.859936294130252e-09,1.4619790851394661e-08,1.619982019843265e-09
3.4999249966800093e-09,6.999626878838514e-09,2.7979535301399224e-08,2.9199056178683924e-09,2.9196953011494426e-09,2.70226244483256e-25,3.6122938009105397e-25,4.0579340335073235e-08,1.334954382824522e-08,1.5589097572576094e-08,4.070909281292481e-08,1.5509597987392208e-08,4.13693600188883e-08,2.0558724282427285e-08,1.3399687612314872e-08,4.5795926342920796e-09,-2.1209679843887824e-13,1.9299513417768957e-09,4.5798582287718594e-09,-1.7602480467314025e-13,2.0817405499030618e-24,9.235832223593385e-20,-1.4163983562533953e-14,3.859930198862145e-09,1.4619770840389816e-08,1.6199802995276601e-09
3.4999171586499356e-09,6.9995878857166505e-09,2.797948673779855e-08,2.919895754678603e-09,2.9196634586241897e-09,2.9102875396208267e-25,3.8903913143100943e-25,4.057927139633882e-08,1.3349496156155896e-08,1.5589003264590172e-08,4.070899800698587e-08,1.5509555974893558e-08,4.1369293137256424e-08,2.0558590963764107e-08,1.3399654966408913e-08,4.5795500634419025e-09,-2.3426170251333293e-13,1.9299462568089926e-09,4.579843413233363e-09,-1.9442031445379937e-13,2.193631447543031e-24,1.1359972267153224e-19,-1.564419672780365e-14,3.859922904253127e-09,1.4619746891896608e-08,1.6199782407115435e-09
