FECHA (YYMMDD);HORA (HHMM);;
190601;0100;11,8184;
190601;0200;11,6126;
190601;0300;11,8409;
190601;0400;11,6743;
190601;0500;12,1575;
190601;0600;12,5658;
190601;0700;12,8767;
190601;0800;12,9492;
190601;0900;12,7386;
190601;1000;12,1545;
190601;1100;12,4686;
190601;1200;13,937;
190601;1300;14,2852;
190601;1400;14,1494;
190601;1500;13,9727;
190601;1600;12,5852;
190601;1700;12,141;
190601;1800;11,6569;
190601;1900;11,7468;
190601;2000;11,6384;
190601;2100;11,7143;
190601;2200;11,6709;
190601;2300;11,0859;
190602;0000;11,1043;
190602;0100;10,7825;
190602;0200;10,1517;
190602;0300;10,6258;
190602;0400;12,6408;
190602;0500;12,542;
190602;0600;11,5353;
190602;0700;10,9328;
190602;0800;10,7361;
190602;0900;10,7161;
190602;1000;10,8227;
190602;1100;11,0544;
190602;1200;12,0077;
190602;1300;14,0144;
190602;1400;15,2276;
190602;1500;14,7826;
190602;1600;15,5618;
190602;1700;14,9076;
190602;1800;14,0143;
190602;1900;13,7384;
190602;2000;12,67;
190602;2100;11,7608;
190602;2200;11,365;
190602;2300;10,9825;
190603;0000;10,63;
190603;0100;10,3822;
190603;0200;9,81128;
190603;0300;9,81375;
190603;0400;9,72374;
190603;0500;9,02957;
190603;0600;9,09372;
190603;0700;9,17703;
190603;0800;9,35953;
190603;0900;9,5645;
190603;1000;10,382;
190603;1100;10,8927;
190603;1200;12,6694;
190603;1300;13,8802;
190603;1400;14,1243;
190603;1500;13,9301;
190603;1600;13,3726;
190603;1700;12,8643;
190603;1800;12,4175;
190603;1900;12,3208;
190603;2000;12,0925;
190603;2100;12,1814;
190603;2200;12,2773;
190603;2300;12,5923;
190604;0000;13,1148;
190604;0100;13,2014;
190604;0200;13,063;
190604;0300;12,4205;
190604;0400;11,7938;
190604;0500;12,153;
190604;0600;12,7913;
190604;0700;13,4755;
190604;0800;13,3012;
190604;0900;12,2346;
190604;1000;12,4504;
190604;1100;12,4986;
190604;1200;13,0869;
190604;1300;13,1319;
190604;1400;13,7144;
190604;1500;14,0517;
190604;1600;13,0192;
190604;1700;13,0737;
190604;1800;13,0904;
190604;1900;12,6462;
190604;2000;11,9986;
190604;2100;11,5411;
190604;2200;11,7853;
190604;2300;12,5911;
190605;0000;12,3578;
190605;0100;11,9036;
190605;0200;11,802;
190605;0300;11,616;
190605;0400;11,6785;
190605;0500;10,636;
190605;0600;10,0194;
190605;0700;9,53851;
190605;0800;9,58267;
190605;0900;9,66016;
190605;1000;10,5884;
190605;1100;13,3301;
190605;1200;14,44;
190605;1300;15,332;
190605;1400;15,7886;
190605;1500;16,5022;
190605;1600;16,0313;
190605;1700;15,436;
190605;1800;15,0485;
190605;1900;13,386;
190605;2000;10,4644;
190605;2100;11,0869;
190605;2200;11,4677;
190605;2300;11,2751;
190606;0000;11,3109;
190606;0100;11,2409;
190606;0200;11,2534;
190606;0300;11,3593;
190606;0400;10,5359;
190606;0500;8,92421;
190606;0600;8,92087;
190606;0700;9,22835;
190606;0800;9,69667;
190606;0900;9,74239;
190606;1000;10,809;
190606;1100;10,6115;
190606;1200;11,1205;
190606;1300;9,5405;
190606;1400;10,2038;
190606;1500;10,2904;
190606;1600;11,8279;
190606;1700;11,0895;
190606;1800;9,85938;
190606;1900;8,81186;
190606;2000;8,1071;
190606;2100;7,4543;
190606;2200;7,5378;
190606;2300;6,74045;
190607;0000;6,7522;
190607;0100;6,42619;
190607;0200;6,39744;
190607;0300;6,1795;
190607;0400;6,776;
190607;0500;6,82691;
190607;0600;6,70691;
190607;0700;6,54573;
190607;0800;6,70964;
190607;0900;7,00946;
190607;1000;7,58446;
190607;1100;9,14954;
190607;1200;10,5845;
190607;1300;11,4528;
190607;1400;12,2077;
190607;1500;12,3185;
190607;1600;12,276;
190607;1700;12,0918;
190607;1800;11,8226;
190607;1900;11,3443;
190607;2000;10,6792;
190607;2100;9,74088;
