FECHA (YYMMDD);HORA (HHMM);;
190301;0100;11,3905;
190301;0200;11,1921;
190301;0300;11,3429;
190301;0400;11,1437;
190301;0500;10,9854;
190301;0600;10,6646;
190301;0700;11,2554;
190301;0800;11,3875;
190301;0900;12,2658;
190301;1000;12,1033;
190301;1100;13,9933;
190301;1200;17,72;
190301;1300;18,7093;
190301;1400;19,9601;
190301;1500;20,1675;
190301;1600;21,0475;
190301;1700;20,2533;
190301;1800;19,2607;
190301;1900;17,7089;
190301;2000;15,7075;
190301;2100;14,0492;
190301;2200;12,8958;
190301;2300;11,9208;
190302;0000;11,0917;
190302;0100;9,99417;
190302;0200;9,35083;
190302;0300;8,88918;
190302;0400;8,44749;
190302;0500;8,83417;
190302;0600;9,28346;
190302;0700;8,99179;
190302;0800;8,5576;
190302;0900;8,62009;
190302;1000;10,3576;
190302;1100;14,8725;
190302;1200;18,2608;
190302;1300;20,2339;
190302;1400;21,4498;
190302;1500;21,5313;
190302;1600;21,8347;
190302;1700;21,203;
190302;1800;19,7872;
190302;1900;16,3229;
190302;2000;14,8077;
190302;2100;13,3294;
190302;2200;12,6469;
190302;2300;12,4977;
190303;0000;12,2301;
190303;0100;12,0243;
190303;0200;11,4384;
190303;0300;11,5493;
190303;0400;11,1318;
190303;0500;10,8743;
190303;0600;10,7433;
190303;0700;9,96753;
190303;0800;10,3983;
190303;0900;13,1461;
190303;1000;16,2024;
190303;1100;17,6555;
190303;1200;19,1355;
190303;1300;18,2054;
190303;1400;19,3087;
190303;1500;20,6954;
190303;1600;20,9029;
190303;1700;20,5145;
190303;1800;18,7786;
190303;1900;17,157;
190303;2000;15,6726;
190303;2100;13,8608;
190303;2200;11,86;
190303;2300;10,3867;
190304;0000;10,5708;
190304;0100;10,83;
190304;0200;10,5133;
190304;0300;11,225;
190304;0400;11,5342;
190304;0500;11,5367;
190304;0600;10,8983;
190304;0700;10,8432;
190304;0800;11,0008;
190304;0900;11,0175;
190304;1000;11,7692;
190304;1100;13,6333;
190304;1200;15,07;
190304;1300;15,2729;
190304;1400;18,0066;
190304;1500;18,0732;
190304;1600;18,046;
190304;1700;17,8753;
190304;1800;17,9769;
190304;1900;16,7544;
190304;2000;14,3876;
190304;2100;12,8467;
190304;2200;10,8317;
190304;2300;9,56667;
190305;0000;7,97492;
190305;0100;7,94892;
190305;0200;7,93575;
190305;0300;7,19667;
190305;0400;6,25308;
190305;0500;6,03875;
190305;0600;5,7325;
190305;0700;5,53083;
190305;0800;5,73617;
190305;0900;9,43442;
190305;1000;13,33;
190305;1100;16,0983;
190305;1200;17,8925;
190305;1300;19,2058;
190305;1400;20,4035;
190305;1500;21,5718;
190305;1600;21,7634;
190305;1700;21,3976;
190305;1800;20,6884;
190305;1900;19,3383;
190305;2000;16,5142;
190305;2100;14,4967;
190305;2200;13,5258;
190305;2300;12,3;
190306;0000;10,8558;
190306;0100;9,77251;
190306;0200;9,98666;
190306;0300;9,85167;
190306;0400;9,4225;
190306;0500;8,61751;
190306;0600;9,04333;
190306;0700;9,39082;
190306;0800;9,67833;
190306;0900;12,1492;
190306;1000;16,0183;
190306;1100;17,5145;
190306;1200;17,5977;
190306;1300;18,2427;
190306;1400;18,5743;
190306;1500;18,0834;
190306;1600;15,5925;
190306;1700;15,3075;
190306;1800;16,3583;
190306;1900;16,6266;
190306;2000;16,1015;
190306;2100;15,7;
190306;2200;16,3324;
190306;2300;15,8928;
190307;0000;15,3028;
190307;0100;14,7245;
190307;0200;14,3453;
190307;0300;14,0744;
190307;0400;13,6702;
190307;0500;13,7135;
190307;0600;13,4977;
190307;0700;13,0385;
190307;0800;12,9019;
190307;0900;13,8009;
190307;1000;16,205;
190307;1100;17,1633;
190307;1200;18,21;
190307;1300;18,1454;
190307;1400;19,7587;
190307;1500;19,9894;
190307;1600;20,1541;
190307;1700;20,5497;
190307;1800;19,8163;
190307;1900;18,5421;
190307;2000;16,03;
190307;2100;14,0892;
190307;2200;12,7;
190307;2300;11,3208;
190308;0000;10,5342;
190308;0100;9,93916;
190308;0200;9,92833;
190308;0300;10,1758;
190308;0400;9,40668;
190308;0500;9,11008;
190308;0600;8,71674;
190308;0700;7,76608;
190308;0800;8,17383;
190308;0900;11,8092;
190308;1000;16,5483;
190308;1100;21,0708;
190308;1200;22,9442;
190308;1300;24,5767;
190308;1400;26,0389;
190308;1500;27,6483;
190308;1600;27,9192;
190308;1700;28,0242;
190308;1800;27,7208;
190308;1900;26,4433;
190308;2000;24,6058;
190308;2100;23,5642;
190308;2200;23,031;
190308;2300;21,7983;
190309;0000;20,6826;
190309;0100;20,2834;
190309;0200;20,1543;
190309;0300;20,2409;
190309;0400;19,795;
190309;0500;18,6316;
190309;0600;14,6729;
190309;0700;12,3892;
190309;0800;12,0733;
190309;0900;16,935;
190309;1000;22,2825;
190309;1100;26,55;
190309;1200;28,5625;
190309;1300;30,12;
190309;1400;31,2633;
190309;1500;32,3133;
190309;1600;31,6225;
190309;1700;31,705;
190309;1800;30,9408;
190309;1900;29,3683;
190309;2000;26,5025;
190309;2100;23,12;
190309;2200;23,3375;
190309;2300;22,1908;
190310;0000;21,3675;
190310;0100;19,085;
190310;0200;17,465;
190310;0300;15,9858;
190310;0400;14,3083;
190310;0500;13,3283;
190310;0600;13,3283;
190310;0700;13,1633;
190310;0800;14,24;
190310;0900;17,6475;
190310;1000;20,8225;
190310;1100;23,5475;
190310;1200;25,3892;
190310;1300;27,0808;
190310;1400;27,6;
190310;1500;26,8817;
190310;1600;25,7325;
190310;1700;24,3175;
190310;1800;22,155;
190310;1900;19,7608;
190310;2000;17,135;
190310;2100;15,6208;
190310;2200;14,6775;
190310;2300;13,9125;
190311;0000;13,55;
190311;0100;13,2567;
190311;0200;12,975;
190311;0300;12,2596;
190311;0400;11,8875;
190311;0500;11,5245;
190311;0600;11,6086;
190311;0700;11,1308;
190311;0800;11,9542;
190311;0900;12,925;
