FECHA (YYMMDD);HORA (HHMM);;
190901;0100;3,07467;
190901;0200;2,16992;
190901;0300;2,353;
190901;0400;1,59221;
190901;0500;0,962602;
190901;0600;0,913351;
190901;0700;0,307591;
190901;0800;0,124752;
190901;0900;2,70648;
190901;1000;5,79935;
190901;1100;7,58943;
190901;1200;9,09845;
190901;1300;10,1309;
190901;1400;10,8009;
190901;1500;11,5076;
190901;1600;11,8468;
190901;1700;11,7367;
190901;1800;11,2442;
190901;1900;9,74837;
190901;2000;8,42418;
190901;2100;7,87579;
190901;2200;6,97037;
190901;2300;6,17386;
190902;0000;5,50818;
190902;0100;5,28135;
190902;0200;5,05424;
190902;0300;3,27591;
190902;0400;1,94004;
190902;0500;1,3312;
190902;0600;2,0434;
190902;0700;0,911099;
190902;0800;0,503515;
190902;0900;3,11972;
190902;1000;7,15975;
190902;1100;10,6335;
190902;1200;12,3243;
190902;1300;12,9843;
190902;1400;13,6067;
190902;1500;14,1533;
190902;1600;14,4733;
190902;1700;14,3954;
190902;1800;13,7754;
190902;1900;11,6762;
190902;2000;9,58369;
190902;2100;7,62951;
190902;2200;6,48725;
190902;2300;5,37508;
190903;0000;4,47307;
190903;0100;4,90131;
190903;0200;3,01132;
190903;0300;2,14539;
190903;0400;1,30945;
190903;0500;0,661097;
190903;0600;-0,583846;
190903;0700;-0,805679;
190903;0800;-0,651594;
190903;0900;2,68729;
190903;1000;6,3584;
190903;1100;9,14874;
190903;1200;11,2567;
190903;1300;12,9561;
190903;1400;14,817;
190903;1500;16,3005;
190903;1600;17,0313;
190903;1700;16,9662;
190903;1800;15,9744;
190903;1900;13,7435;
190903;2000;10,8402;
190903;2100;8,43742;
190903;2200;6,48775;
190903;2300;4,9929;
190904;0000;4,26906;
190904;0100;3,18245;
190904;0200;2,27702;
190904;0300;1,67426;
190904;0400;0,727671;
190904;0500;0,159501;
190904;0600;-0,324251;
190904;0700;-0,584751;
190904;0800;-0,723333;
190904;0900;1,25005;
190904;1000;5,15935;
190904;1100;10,0915;
190904;1200;13,7594;
190904;1300;15,5027;
190904;1400;16,5704;
190904;1500;16,7479;
190904;1600;16,6904;
190904;1700;16,267;
190904;1800;14,6909;
190904;1900;13,1093;
190904;2000;11,5768;
190904;2100;10,7651;
190904;2200;9,01059;
190904;2300;7,08304;
190905;0000;6,57127;
190905;0100;6,16552;
190905;0200;6,1736;
190905;0300;6,19651;
190905;0400;8,261;
190905;0500;8,33908;
190905;0600;8,72075;
190905;0700;9,87157;
190905;0800;9,09906;
190905;0900;9,10316;
190905;1000;8,75395;
190905;1100;8,20311;
190905;1200;8,67717;
190905;1300;8,14871;
190905;1400;9,61119;
190905;1500;12,2728;
190905;1600;13,5145;
190905;1700;13,972;
190905;1800;13,2252;
190905;1900;12,2901;
190905;2000;11,6309;
190905;2100;11,0501;
190905;2200;10,7401;
190905;2300;10,1392;
190906;0000;9,705;
190906;0100;10,1265;
190906;0200;9,84566;
190906;0300;9,61147;
190906;0400;9,42479;
190906;0500;9,07977;
190906;0600;8,6581;
190906;0700;8,27533;
190906;0800;7,34661;
190906;0900;8,40594;
190906;1000;9,50714;
190906;1100;11,7629;
190906;1200;13,4894;
190906;1300;13,361;
190906;1400;13,446;
190906;1500;14,1568;
190906;1600;14,2426;
190906;1700;12,3184;
190906;1800;10,8233;
190906;1900;9,53416;
190906;2000;9,12833;
190906;2100;8,70583;
190906;2200;8,59334;
190906;2300;8,47917;
190907;0000;8,325;
190907;0100;8,10001;
190907;0200;7,91342;
190907;0300;7,58933;
190907;0400;7,46533;
190907;0500;7,31008;
190907;0600;7,14108;
190907;0700;6,65958;
190907;0800;6,44817;
190907;0900;6,99033;
190907;1000;8,85542;
190907;1100;9,39417;
190907;1200;10,6351;
190907;1300;11,6559;
190907;1400;10,995;
190907;1500;13,0792;
190907;1600;11,7058;
190907;1700;12,1353;
190907;1800;12,0395;
190907;1900;10,1975;
190907;2000;8,39833;
190907;2100;8,2525;
190907;2200;8,42416;
190907;2300;8,39833;
190908;0000;8,44334;
190908;0100;8,25583;
190908;0200;7,8235;
190908;0300;7,29558;
190908;0400;6,70175;
190908;0500;6,56608;
190908;0600;6,71633;
190908;0700;7,19358;
190908;0800;7,30625;
190908;0900;7,74175;
190908;1000;8,61835;
190908;1100;9,31584;
190908;1200;9,77834;
190908;1300;9,867;
190908;1400;9,72449;
190908;1500;9,77196;
190908;1600;9,46863;
190908;1700;9,14528;
190908;1800;8,78358;
190908;1900;8,54358;
190908;2000;8,3844;
190908;2100;8,47272;
190908;2200;8,22855;
190908;2300;7,85692;
190909;0000;7,98533;
190909;0100;7,86375;
190909;0200;8,11598;
190909;0300;8,27594;
190909;0400;7,99223;
190909;0500;7,96896;
190909;0600;7,74504;
190909;0700;7,75253;
190909;0800;7,88951;
190909;0900;8,59128;
190909;1000;9,05872;
190909;1100;9,93782;
190909;1200;10,4969;
190909;1300;10,776;
190909;1400;11,0127;
190909;1500;12,346;
190909;1600;12,0852;
190909;1700;12,3127;
190909;1800;12,2735;
190909;1900;11,7401;
190909;2000;10,5584;
190909;2100;10,2959;
190909;2200;9,50259;
190909;2300;7,92386;
190910;0000;7,15527;
190910;0100;7,14053;
190910;0200;7,60452;
190910;0300;7,57209;
190910;0400;7,56275;
190910;0500;7,64787;
190910;0600;7,51353;
190910;0700;7,46928;
190910;0800;7,50042;
190910;0900;8,17845;
190910;1000;8,98041;
190910;1100;9,86452;
190910;1200;11,6453;
190910;1300;12,4111;
190910;1400;13,5628;
190910;1500;14,4245;
190910;1600;14,176;
190910;1700;13,4569;
190910;1800;12,7968;
190910;1900;11,6676;
190910;2000;10,3101;
190910;2100;9,59839;
190910;2200;8,58063;
190910;2300;6,26102;
190911;0000;4,88667;
190911;0100;4,08016;
190911;0200;3,88808;
190911;0300;2,7284;
190911;0400;2,17282;
190911;0500;1,8249;
190911;0600;1,13457;
190911;0700;0,619702;
190911;0800;1,07632;
190911;0900;4,72157;
190911;1000;8,40189;
190911;1100;10,932;
190911;1200;12,9346;
190911;1300;13,7253;
190911;1400;14,6595;
190911;1500;15,1219;
190911;1600;15,1952;
190911;1700;15,3018;
190911;1800;14,4693;
190911;1900;12,21;
190911;2000;9,98918;
190911;2100;8,41138;
190911;2200;7,66019;
190911;2300;7,70086;
190912;0000;7,4661;
190912;0100;7,01468;
190912;0200;6,72643;
190912;0300;5,84333;
190912;0400;5,0929;
190912;0500;4,35073;
190912;0600;4,21906;
190912;0700;4,67845;
190912;0800;5,10946;
190912;0900;6,38383;
190912;1000;9,02824;
190912;1100;10,8368;
190912;1200;12,5343;
190912;1300;13,9259;
190912;1400;14,5843;
190912;1500;14,5817;
190912;1600;15,3225;
190912;1700;15,3479;
190912;1800;14,9396;
190912;1900;13,7671;
190912;2000;11,5312;
190912;2100;9,36952;
190912;2200;8,06459;
190912;2300;7,25116;
190913;0000;6,51323;
190913;0100;6,41373;
190913;0200;6,18781;
190913;0300;6,10613;
190913;0400;6,31355;
190913;0500;6,70718;
190913;0600;6,70778;
190913;0700;6,69377;
190913;0800;6,60509;
190913;0900;6,90157;
190913;1000;7,28622;
190913;1100;8,35663;
190913;1200;10,6533;
190913;1300;12,4512;
190913;1400;14,1237;
190913;1500;15,382;
190913;1600;16,0156;
190913;1700;15,5244;
190913;1800;14,7102;
190913;1900;12,9285;
190913;2000;11,8419;
190913;2100;11,3219;
190913;2200;10,841;
190913;2300;10,341;
190914;0000;10,0784;
190914;0100;9,80179;
