FECHA (YYMMDD);HORA (HHMM);;
181201;0100;9,08417;
181201;0200;8,34772;
181201;0300;7,67538;
181201;0400;7,19146;
181201;0500;6,19667;
181201;0600;5,71854;
181201;0700;8,07942;
181201;0800;11,5519;
181201;0900;13,6452;
181201;1000;16,7761;
181201;1100;20,1552;
181201;1200;22,4526;
181201;1300;24,1843;
181201;1400;25,3534;
181201;1500;26,1733;
181201;1600;26,7358;
181201;1700;26,7632;
181201;1800;26,9007;
181201;1900;24,364;
181201;2000;21,2592;
181201;2100;17,5025;
181201;2200;15,4875;
181201;2300;14,375;
181202;0000;13,0617;
181202;0100;11,2575;
181202;0200;10,0692;
181202;0300;9,19501;
181202;0400;8,34834;
181202;0500;7,95183;
181202;0600;7,86342;
181202;0700;10,1325;
181202;0800;14,1783;
181202;0900;17,7367;
181202;1000;20,3417;
181202;1100;22,4133;
181202;1200;23,8558;
181202;1300;25,6531;
181202;1400;26,8498;
181202;1500;27,2573;
181202;1600;27,9113;
181202;1700;27,2388;
181202;1800;26,0671;
181202;1900;23,5287;
181202;2000;20,5221;
181202;2100;17,3203;
181202;2200;14,915;
181202;2300;12,8401;
181203;0000;11,3251;
181203;0100;10,5626;
181203;0200;10,0509;
181203;0300;9,38258;
181203;0400;8,64256;
181203;0500;7,88977;
181203;0600;7,38168;
181203;0700;10,0158;
181203;0800;14,5467;
181203;0900;16,37;
181203;1000;18,4142;
181203;1100;20,7767;
181203;1200;23,3417;
181203;1300;24,718;
181203;1400;25,7538;
181203;1500;26,8004;
181203;1600;26,7154;
181203;1700;25,6961;
181203;1800;23,9028;
181203;1900;21,5428;
181203;2000;18,3785;
181203;2100;15,2301;
181203;2200;13,6476;
181203;2300;12,3809;
181204;0000;11,4226;
181204;0100;10,6001;
181204;0200;10,5317;
181204;0300;10,5492;
181204;0400;10,5492;
181204;0500;10,4154;
181204;0600;10,2729;
181204;0700;10,4586;
181204;0800;10,8129;
181204;0900;11,7095;
181204;1000;15,3686;
181204;1100;18,6033;
181204;1200;20,8454;
181204;1300;22,7361;
181204;1400;24,242;
181204;1500;24,5295;
181204;1600;24,0536;
181204;1700;21,7869;
181204;1800;20,1294;
181204;1900;18,1335;
181204;2000;16,0251;
181204;2100;13,5318;
181204;2200;12,9892;
181204;2300;12,5933;
181205;0000;12,3983;
181205;0100;12,3755;
181205;0200;12,2679;
181205;0300;12,1179;
181205;0400;11,8946;
181205;0500;11,5896;
181205;0600;11,4812;
181205;0700;11,7178;
181205;0800;12,1895;
181205;0900;14,5753;
181205;1000;17,3321;
181205;1100;19,6095;
181205;1200;21,6186;
