FECHA (YYMMDD);HORA (HHMM);;
190301;0100;0,754164;
190301;0200;0,752797;
190301;0300;1,60108;
190301;0400;2,05305;
190301;0500;0,201273;
190301;0600;0,96369;
190301;0700;1,47863;
190301;0800;1,16336;
190301;0900;0,571946;
190301;1000;0,797536;
190301;1100;0,657862;
190301;1200;2,20609;
190301;1300;2,04887;
190301;1400;1,84127;
190301;1500;1,43184;
190301;1600;1,69641;
190301;1700;3,5729;
190301;1800;4,2121;
190301;1900;3,32443;
190301;2000;2,35133;
190301;2100;1,27718;
190301;2200;0,908258;
190301;2300;0,788857;
190302;0000;0,48731;
190302;0100;0,118187;
190302;0200;0,251437;
190302;0300;0,233943;
190302;0400;0,252955;
190302;0500;0,486013;
190302;0600;0,252195;
190302;0700;0,387795;
190302;0800;0,60587;
190302;0900;1,17548;
190302;1000;0,681031;
190302;1100;1,35867;
190302;1200;1,93607;
190302;1300;2,57352;
190302;1400;2,24837;
190302;1500;1,61378;
190302;1600;2,96083;
190302;1700;2,95952;
190302;1800;3,81818;
190302;1900;3,87474;
190302;2000;1,99462;
190302;2100;1,77077;
190302;2200;1,25908;
190302;2300;1,20562;
190303;0000;0,935267;
190303;0100;0,863965;
190303;0200;0,386099;
190303;0300;0,507285;
190303;0400;0,419034;
190303;0500;0,270111;
190303;0600;0,0899684;
190303;0700;0,0383872;
190303;0800;0,110343;
190303;0900;0,703908;
190303;1000;0,582398;
190303;1100;1,77008;
190303;1200;2,28908;
190303;1300;3,26537;
190303;1400;2,41037;
190303;1500;2,93298;
190303;1600;3,85047;
190303;1700;4,37557;
190303;1800;4,08259;
190303;1900;3,63148;
190303;2000;2,39064;
190303;2100;1,14952;
190303;2200;0,345676;
190303;2300;0,198195;
190304;0000;0,42992;
190304;0100;0,186852;
190304;0200;0,298602;
190304;0300;0,649443;
190304;0400;0,528833;
190304;0500;0,263866;
190304;0600;1,65756;
190304;0700;0,729017;
190304;0800;0,483289;
190304;0900;0,442465;
190304;1000;0,992465;
190304;1100;0,956162;
190304;1200;1,70767;
190304;1300;1,52547;
190304;1400;2,32629;
190304;1500;2,54108;
190304;1600;3,01023;
190304;1700;3,42572;
190304;1800;3,37417;
190304;1900;3,5795;
190304;2000;2,14393;
190304;2100;1,34834;
190304;2200;0,0525178;
190304;2300;0,35054;
190305;0000;0,0736815;
190305;0100;0,671889;
190305;0200;0,653511;
190305;0300;0,157615;
190305;0400;0,0669796;
190305;0500;0,45925;
190305;0600;0,077414;
190305;0700;0,0914936;
190305;0800;0,0516417;
190305;0900;0,435637;
190305;1000;0,404326;
190305;1100;1,06557;
190305;1200;1,09136;
190305;1300;1,56139;
190305;1400;1,4281;
190305;1500;1,65392;
190305;1600;2,15798;
190305;1700;2,79166;
190305;1800;2,98305;
190305;1900;2,35089;
190305;2000;1,21209;
190305;2100;0,443205;
190305;2200;0,50789;
190305;2300;0,564029;
190306;0000;0,0196636;
190306;0100;0,407305;
190306;0200;0,82705;
190306;0300;1,04848;
190306;0400;1,47271;
190306;0500;1,58436;
190306;0600;1,23773;
190306;0700;1,68824;
190306;0800;1,79785;
190306;0900;1,73;
190306;1000;3,16476;
190306;1100;4,96537;
190306;1200;4,29223;
190306;1300;4,15935;
190306;1400;4,76473;
190306;1500;4,62438;
190306;1600;4,11864;
190306;1700;2,75785;
190306;1800;5,11242;
190306;1900;5,38786;
190306;2000;4,72246;
190306;2100;4,46815;
190306;2200;4,52437;
190306;2300;4,279;
190307;0000;3,40686;
190307;0100;2,51389;
190307;0200;1,2941;
190307;0300;0,824395;
190307;0400;0,479047;
190307;0500;0,559246;
190307;0600;0,50069;
190307;0700;0,365923;
190307;0800;0,789829;
190307;0900;0,765082;
190307;1000;1,71941;
190307;1100;1,62851;
190307;1200;1,42914;
190307;1300;0,836118;
190307;1400;1,42725;
190307;1500;2,05851;
190307;1600;2,28316;
190307;1700;2,24242;
190307;1800;2,60272;
190307;1900;3,70725;
190307;2000;3,04522;
190307;2100;2,0987;
190307;2200;0,709707;
190307;2300;0,400112;
190308;0000;0,380081;
190308;0100;0,343846;
190308;0200;0,761951;
190308;0300;1,06804;
190308;0400;0,729698;
190308;0500;1,22469;
190308;0600;1,38865;
190308;0700;0,845554;
190308;0800;0,651321;
190308;0900;1,35003;
190308;1000;0,846918;
190308;1100;2,53832;
190308;1200;3,50966;
190308;1300;3,42754;
190308;1400;4,26605;
190308;1500;4,09658;
190308;1600;5,12637;
190308;1700;4,76948;
190308;1800;4,15584;
190308;1900;5,14867;
190308;2000;4,3913;
190308;2100;4,1391;
190308;2200;3,75187;
190308;2300;1,98152;
190309;0000;1,62316;
190309;0100;2,13604;
190309;0200;2,20319;
190309;0300;2,30721;
190309;0400;2,72822;
190309;0500;1,58699;
190309;0600;0,542719;
190309;0700;0,784675;
190309;0800;0,472593;
190309;0900;0,609477;
190309;1000;0,78803;
190309;1100;1,11167;
190309;1200;2,9085;
190309;1300;3,14338;
190309;1400;3,98923;
190309;1500;3,51187;
190309;1600;4,82873;
190309;1700;4,31279;
190309;1800;3,27146;
190309;1900;3,47876;
190309;2000;1,0847;
190309;2100;0,443939;
190309;2200;1,26219;
190309;2300;0,686391;
190310;0000;0,86752;
190310;0100;0,391633;
190310;0200;0,524244;
190310;0300;0,30208;
190310;0400;0,0883162;
190310;0500;0,0398221;
190310;0600;0,610844;
190310;0700;0,583359;
190310;0800;0,981909;
190310;0900;0,92099;
190310;1000;0,679011;
190310;1100;0,329872;
190310;1200;0,56824;
190310;1300;1,33386;
190310;1400;2,64037;
190310;1500;3,4598;
190310;1600;3,23759;
190310;1700;3,39198;
190310;1800;3,56498;
190310;1900;2,92627;
190310;2000;2,40133;
190310;2100;1,68196;
190310;2200;0,72385;
190310;2300;0,155801;
190311;0000;0,330134;
190311;0100;0,342737;
190311;0200;0,175358;
190311;0300;0,22904;
190311;0400;0,125744;
190311;0500;0,132027;
190311;0600;0,143638;
190311;0700;0,20228;
190311;0800;0,168533;
190311;0900;1,63521;
190311;1000;1,77979;
190311;1100;1,20211;
190311;1200;0,962216;
190311;1300;1,24047;
190311;1400;1,47794;
190311;1500;1,74386;
190311;1600;2,82691;
190311;1700;2,67707;
190311;1800;2,97065;
190311;1900;2,76562;
190311;2000;2,11303;
190311;2100;1,66809;
190311;2200;1,93325;
190311;2300;1,99269;
190312;0000;1,52147;
190312;0100;0,89788;
190312;0200;0,687726;
190312;0300;0,373157;
190312;0400;0,661436;
190312;0500;0,517558;
190312;0600;0,73871;
190312;0700;0,341864;
190312;0800;0,528547;
190312;0900;0,661085;
190312;1000;0,298065;
190312;1100;0,789763;
190312;1200;0,897594;
190312;1300;1,59225;
190312;1400;1,97183;
190312;1500;2,61252;
190312;1600;3,28201;
190312;1700;4,44705;
190312;1800;3,08958;
190312;1900;2,56875;
190312;2000;2,25696;
190312;2100;2,02716;
190312;2200;1,79036;
190312;2300;1,96255;
190313;0000;1,67324;
190313;0100;1,81454;
190313;0200;1,99975;
190313;0300;2,05512;
190313;0400;1,20084;
190313;0500;0,714374;
190313;0600;0,644819;
190313;0700;1,24317;
190313;0800;1,34146;
190313;0900;1,86298;
190313;1000;1,8815;
190313;1100;2,17174;
190313;1200;2,04939;
190313;1300;2,93877;
190313;1400;2,83046;
190313;1500;3,72372;
190313;1600;3,90185;
190313;1700;4,81202;
190313;1800;4,41196;
190313;1900;2,30588;
190313;2000;1,4823;
190313;2100;1,1014;
190313;2200;0,922215;
190313;2300;0,765225;
190314;0000;0,869789;
190314;0100;0,858699;
190314;0200;0,274311;
190314;0300;0,226061;
190314;0400;0,168721;
190314;0500;0,468681;
190314;0600;0,697618;
190314;0700;0,753215;
190314;0800;1,92617;
190314;0900;2,45198;
190314;1000;1,9845;
190314;1100;2,44992;
190314;1200;2,78663;
190314;1300;3,28796;
190314;1400;3,00125;
190314;1500;3,45187;
190314;1600;4,06328;
190314;1700;4,48176;
190314;1800;4,16799;
190314;1900;3,46328;
190314;2000;2,27753;
190314;2100;0,713362;
190314;2200;0,831677;
190314;2300;0,724985;
190315;0000;0,297588;
190315;0100;0,639012;
190315;0200;0,341353;
190315;0300;0,199544;
190315;0400;0,414209;
190315;0500;0,502029;
190315;0600;0,393127;
190315;0700;1,30099;
190315;0800;1,16667;
190315;0900;1,39847;
190315;1000;1,81161;
190315;1100;2,58195;
190315;1200;2,91795;
190315;1300;2,59681;
190315;1400;2,90104;
190315;1500;3,31882;
190315;1600;3,25129;
190315;1700;3,01524;
190315;1800;4,76628;
190315;1900;4,10482;
190315;2000;1,63154;
190315;2100;1,03737;
190315;2200;1,75317;
190315;2300;1,1597;
190316;0000;1,39913;
190316;0100;0,737536;
190316;0200;1,07059;
190316;0300;0,937808;
190316;0400;0,653131;
190316;0500;0,90066;
190316;0600;0,716155;
190316;0700;0,579797;
190316;0800;0,713683;
190316;0900;0,264337;
190316;1000;0,128425;
190316;1100;0,343864;
190316;1200;0,916194;
190316;1300;0,955462;
190316;1400;0,341396;
190316;1500;0,450284;
190316;1600;0,180633;
190316;1700;0,436002;
190316;1800;3,06723;
190316;1900;2,60995;
190316;2000;1,44266;
190316;2100;1,02116;
190316;2200;1,24156;
190316;2300;0,810339;
190317;0000;0,333128;
190317;0100;0,129234;
190317;0200;0,69421;
190317;0300;1,36911;
190317;0400;1,79536;
190317;0500;2,23933;
190317;0600;1,30363;
190317;0700;0,140353;
190317;0800;0,476651;
190317;0900;0,647656;
190317;1000;0,839776;
190317;1100;0,913298;
190317;1200;1,04688;
190317;1300;1,61527;
190317;1400;1,01289;
190317;1500;1,96909;
190317;1600;2,63139;
190317;1700;4,22791;
190317;1800;2,58458;
190317;1900;2,60224;
190317;2000;2,24554;
190317;2100;0,621959;
190317;2200;0,623285;
190317;2300;0,368801;
190318;0000;0,522384;
190318;0100;0,234512;
190318;0200;0,420163;
190318;0300;1,14308;
190318;0400;0,825132;
190318;0500;0,579519;
190318;0600;0,678399;
190318;0700;1,2552;
190318;0800;1,04889;
190318;0900;0,654716;
190318;1000;0,862043;
190318;1100;2,24331;
190318;1200;2,40946;
190318;1300;2,18857;
190318;1400;2,55174;
190318;1500;3,343;
190318;1600;4,49103;
190318;1700;5,30319;
190318;1800;4,58001;
190318;1900;3,82318;
190318;2000;2,49879;
190318;2100;1,26641;
190318;2200;0,580611;
190318;2300;0,410245;
190319;0000;0,281746;
190319;0100;0,487277;
190319;0200;0,258923;
190319;0300;0,0655178;
190319;0400;0,0904582;
190319;0500;0,0921768;
190319;0600;0,185632;
190319;0700;0,114449;
190319;0800;0,395667;
190319;0900;0,660108;
190319;1000;1,64361;
190319;1100;2,19391;
190319;1200;2,82519;
190319;1300;2,68324;
190319;1400;2,62103;
190319;1500;2,71765;
190319;1600;3,00279;
190319;1700;3,62082;
190319;1800;4,12091;
190319;1900;3,56567;
190319;2000;3,17976;
190319;2100;1,77642;
190319;2200;0,613828;
190319;2300;0,521446;
190320;0000;0,512693;
190320;0100;0,498579;
190320;0200;0,351533;
190320;0300;0,836197;
190320;0400;1,09972;
190320;0500;0,876076;
190320;0600;0,597918;
190320;0700;0,527635;
190320;0800;0,547201;
190320;0900;1,56955;
190320;1000;1,64669;
190320;1100;2,05747;
190320;1200;1,77361;
190320;1300;2,5498;
190320;1400;2,92573;
190320;1500;3,14993;
190320;1600;3,44181;
190320;1700;3,75238;
190320;1800;3,17691;
190320;1900;2,10765;
190320;2000;2,0405;
190320;2100;1,28207;
190320;2200;1,75094;
190320;2300;1,257;
190321;0000;1,11421;
190321;0100;0,971639;
190321;0200;0,858536;
190321;0300;0,50415;
190321;0400;0,55381;
190321;0500;0,49975;
190321;0600;0,235091;
190321;0700;0,300235;
