FECHA (YYMMDD);HORA (HHMM);;
190901;0100;0,221814;
190901;0200;0,306759;
190901;0300;0,466319;
190901;0400;0,356109;
190901;0500;0,361416;
190901;0600;0,401548;
190901;0700;0,252757;
190901;0800;0,190661;
190901;0900;0,957652;
190901;1000;2,12187;
190901;1100;2,60704;
190901;1200;3,0646;
190901;1300;3,83471;
190901;1400;3,83225;
190901;1500;3,70185;
190901;1600;3,87554;
190901;1700;4,00098;
190901;1800;3,20401;
190901;1900;2,30165;
190901;2000;2,2139;
190901;2100;2,64737;
190901;2200;2,05868;
190901;2300;1,45023;
190902;0000;1,419;
190902;0100;2,70781;
190902;0200;1,41114;
190902;0300;0,163235;
190902;0400;0,30669;
190902;0500;0,56377;
190902;0600;0,704492;
190902;0700;0,232695;
190902;0800;0,336213;
190902;0900;0,71028;
190902;1000;1,83249;
190902;1100;2,80543;
190902;1200;3,48057;
190902;1300;3,95658;
190902;1400;3,8769;
190902;1500;4,06309;
190902;1600;3,66422;
190902;1700;4,01546;
190902;1800;3,52392;
190902;1900;2,01328;
190902;2000;1,34445;
190902;2100;0,77435;
190902;2200;1,18907;
190902;2300;0,760043;
190903;0000;0,882014;
190903;0100;1,06864;
190903;0200;0,604368;
190903;0300;0,642376;
190903;0400;0,669959;
190903;0500;0,649243;
190903;0600;0,620823;
190903;0700;0,674778;
190903;0800;0,702816;
190903;0900;0,826162;
190903;1000;1,22783;
190903;1100;1,60066;
190903;1200;2,94723;
190903;1300;2,88332;
190903;1400;2,36255;
190903;1500;2,42257;
190903;1600;2,63565;
190903;1700;3,30473;
190903;1800;3,37488;
190903;1900;2,08574;
190903;2000;0,848496;
190903;2100;0,746012;
190903;2200;0,510367;
190903;2300;0,520506;
190904;0000;0,566552;
190904;0100;0,534012;
190904;0200;0,526089;
190904;0300;0,77237;
190904;0400;0,414767;
190904;0500;0,441428;
190904;0600;0,413676;
190904;0700;0,442036;
190904;0800;0,327206;
190904;0900;0,412544;
190904;1000;0,550308;
190904;1100;0,0478991;
190904;1200;1,33287;
190904;1300;1,8887;
190904;1400;2,10158;
190904;1500;2,02347;
190904;1600;2,06844;
190904;1700;1,45937;
190904;1800;1,41435;
190904;1900;0,866938;
190904;2000;0,532558;
190904;2100;0,776937;
190904;2200;0,40812;
190904;2300;0,308705;
190905;0000;0,0522757;
190905;0100;0,626407;
190905;0200;0,675644;
190905;0300;0,885385;
190905;0400;1,92222;
190905;0500;1,22468;
190905;0600;0,648719;
190905;0700;1,75105;
190905;0800;1,86632;
190905;0900;1,69484;
190905;1000;1,43626;
190905;1100;1,34116;
190905;1200;1,74276;
190905;1300;2,12402;
190905;1400;2,22619;
190905;1500;2,44511;
190905;1600;3,64287;
190905;1700;3,04614;
190905;1800;2,04802;
190905;1900;2,06962;
190905;2000;1,64771;
190905;2100;1,32195;
190905;2200;1,001;
190905;2300;0,786953;
190906;0000;0,935678;
190906;0100;0,974727;
190906;0200;0,981147;
190906;0300;0,731947;
190906;0400;0,601307;
190906;0500;0,715823;
190906;0600;0,699674;
190906;0700;0,47185;
190906;0800;0,23054;
190906;0900;0,581535;
190906;1000;1,00178;
190906;1100;1,63973;
190906;1200;1,97554;
190906;1300;3,78386;
190906;1400;2,38068;
190906;1500;1,81404;
190906;1600;1,21185;
190906;1700;1,02461;
190906;1800;0,908053;
190906;1900;0,614073;
190906;2000;0,453128;
190906;2100;0,202796;
190906;2200;0,420254;
190906;2300;0,569574;
190907;0000;0,716053;
190907;0100;0,659127;
190907;0200;0,749907;
190907;0300;0,321091;
190907;0400;0,657901;
190907;0500;0,445593;
190907;0600;0,525919;
190907;0700;0,835541;
190907;0800;0,843791;
190907;0900;0,974014;
190907;1000;1,16489;
190907;1100;1,48454;
190907;1200;1,83925;
190907;1300;1,65321;
190907;1400;1,71104;
190907;1500;1,63039;
190907;1600;1,24766;
190907;1700;1,345;
190907;1800;1,46689;
190907;1900;2,34713;
190907;2000;0,815352;
190907;2100;1,20406;
190907;2200;1,33254;
190907;2300;1,54543;
190908;0000;0,9831;
190908;0100;0,833859;
190908;0200;0,587252;
190908;0300;1,12888;
190908;0400;1,14035;
190908;0500;0,857311;
190908;0600;0,363042;
190908;0700;0,676549;
190908;0800;1,16694;
190908;0900;1,92155;
190908;1000;1,92218;
190908;1100;2,60916;
190908;1200;3,01669;
190908;1300;3,64651;
190908;1400;3,30959;
190908;1500;3,82951;
190908;1600;4,27295;
190908;1700;5,06491;
190908;1800;4,19379;
190908;1900;3,88995;
190908;2000;3,53015;
190908;2100;3,56958;
190908;2200;3,61114;
190908;2300;5,30338;
190909;0000;3,45006;
190909;0100;4,31237;
190909;0200;3,99542;
190909;0300;3,87433;
190909;0400;3,78869;
190909;0500;3,97617;
190909;0600;3,17265;
190909;0700;2,44374;
190909;0800;2,26774;
190909;0900;2,69971;
190909;1000;2,52046;
190909;1100;2,94152;
190909;1200;2,82106;
190909;1300;2,53206;
190909;1400;2,52443;
190909;1500;2,05612;
190909;1600;2,16076;
190909;1700;0,886391;
190909;1800;0,553447;
190909;1900;0,898444;
190909;2000;1,10613;
190909;2100;0,848503;
190909;2200;0,199828;
190909;2300;0,140007;
190910;0000;0,242988;
190910;0100;0,312003;
190910;0200;0,310434;
190910;0300;0,323202;
190910;0400;0,357664;
190910;0500;0,318384;
190910;0600;0,0873485;
190910;0700;0,0687526;
190910;0800;0,0646548;
190910;0900;0,730634;
190910;1000;1,13068;
190910;1100;1,4881;
190910;1200;1,57534;
190910;1300;1,81165;
190910;1400;1,4195;
190910;1500;2,22849;
190910;1600;2,14822;
190910;1700;2,91342;
190910;1800;2,13778;
190910;1900;1,92401;
190910;2000;1,8763;
190910;2100;0,695524;
190910;2200;0,675286;
190910;2300;0,194875;
190911;0000;0,173891;
190911;0100;0,115791;
190911;0200;0,664584;
190911;0300;0,174924;
190911;0400;0,49439;
190911;0500;0,418076;
190911;0600;0,249697;
190911;0700;0,171925;
190911;0800;0,341156;
190911;0900;0,923693;
190911;1000;0,491006;
190911;1100;0,153169;
190911;1200;1,08601;
190911;1300;1,4795;
190911;1400;1,41628;
190911;1500;1,29396;
190911;1600;1,66677;
190911;1700;1,57798;
190911;1800;2,67316;
190911;1900;2,54206;
190911;2000;0,939627;
190911;2100;0,830516;
190911;2200;0,466246;
190911;2300;0,130477;
190912;0000;0,107201;
190912;0100;0,0678352;
190912;0200;0,13135;
190912;0300;0,164243;
190912;0400;0,204647;
190912;0500;0,172397;
190912;0600;0,480925;
190912;0700;0,0555722;
190912;0800;0,159502;
190912;0900;0,107176;
190912;1000;0,45453;
190912;1100;1,02253;
190912;1200;1,0555;
190912;1300;1,59552;
190912;1400;1,66997;
190912;1500;1,86188;
190912;1600;2,22235;
190912;1700;2,07654;
190912;1800;1,99413;
190912;1900;1,76177;
190912;2000;1,15019;
190912;2100;1,23339;
190912;2200;0,62859;
190912;2300;0,303649;
190913;0000;0,277023;
190913;0100;0,598908;
190913;0200;0,505776;
190913;0300;0,401528;
190913;0400;0,368165;
190913;0500;0,554065;
190913;0600;0,321741;
190913;0700;0,291341;
190913;0800;0,131658;
190913;0900;0,20624;
190913;1000;0,629535;
190913;1100;0,218429;
190913;1200;1,04714;
190913;1300;1,60975;
190913;1400;1,53588;
190913;1500;1,81117;
190913;1600;1,67676;
190913;1700;1,62497;
190913;1800;1,95237;
190913;1900;2,19239;
190913;2000;1,53935;
190913;2100;1,25657;
190913;2200;1,47666;
190913;2300;1,34516;
190914;0000;1,27046;
190914;0100;0,772228;
190914;0200;0,349114;
190914;0300;0,20545;
190914;0400;0,417435;
190914;0500;0,381475;
190914;0600;0,137357;
190914;0700;0,144875;
190914;0800;0,450104;
190914;0900;0,456585;
190914;1000;0,740266;
190914;1100;0,868107;
190914;1200;0,849033;
190914;1300;1,12471;
190914;1400;1,32213;
190914;1500;1,75749;
190914;1600;1,66917;
190914;1700;1,52329;
190914;1800;0,725845;
190914;1900;0,646799;
190914;2000;2,2203;
