FECHA (YYMMDD);HORA (HHMM);;
181201;0100;1,12042;
181201;0200;0,769613;
181201;0300;0,63586;
181201;0400;0,572485;
181201;0500;0,664915;
181201;0600;0,594914;
181201;0700;0,723113;
181201;0800;1,03414;
181201;0900;1,56358;
181201;1000;1,51901;
181201;1100;1,84496;
181201;1200;2,44382;
181201;1300;2,80548;
181201;1400;2,9536;
181201;1500;2,82751;
181201;1600;3,07692;
181201;1700;2,81313;
181201;1800;2,57397;
181201;1900;3,73233;
181201;2000;1,86647;
181201;2100;0,963263;
181201;2200;0,537516;
181201;2300;0,558143;
181202;0000;0,468064;
181202;0100;;
181202;0200;0,313847;
181202;0300;0,608364;
181202;0400;0,476793;
181202;0500;;
181202;0600;0,939556;
181202;0700;0,811419;
181202;0800;0,254608;
181202;0900;0,507045;
181202;1000;0,900882;
181202;1100;1,30975;
181202;1200;1,69318;
181202;1300;1,62906;
181202;1400;1,74693;
181202;1500;2,05861;
181202;1600;2,19689;
181202;1700;2,7796;
181202;1800;2,98349;
181202;1900;3,12064;
181202;2000;1,6536;
181202;2100;1,18129;
181202;2200;1,05081;
181202;2300;1,44771;
181203;0000;0,908324;
181203;0100;0,485529;
181203;0200;0,361933;
181203;0300;0,223845;
181203;0400;;
181203;0500;;
181203;0600;;
181203;0700;0,334629;
181203;0800;;
181203;0900;1,0609;
181203;1000;1,23353;
181203;1100;1,29984;
181203;1200;1,54761;
181203;1300;1,8266;
181203;1400;2,29738;
181203;1500;2,35517;
181203;1600;3,17751;
181203;1700;3,52632;
181203;1800;3,50951;
181203;1900;2,50213;
181203;2000;1,90335;
181203;2100;1,51696;
181203;2200;1,09046;
181203;2300;0,987207;
181204;0000;1,04391;
181204;0100;0,907797;
181204;0200;0,958969;
181204;0300;0,672461;
181204;0400;0,442267;
181204;0500;0,36614;
181204;0600;0,440575;
181204;0700;0,356672;
181204;0800;0,678953;
181204;0900;0,622891;
181204;1000;0,505024;
181204;1100;0,636566;
181204;1200;0,895663;
181204;1300;1,65462;
181204;1400;1,65695;
181204;1500;2,47485;
181204;1600;4,46696;
181204;1700;4,33889;
181204;1800;3,84856;
181204;1900;2,90001;
181204;2000;2,47678;
181204;2100;2,16257;
181204;2200;2,15304;
181204;2300;2,14062;
181205;0000;1,36;
181205;0100;0,903332;
181205;0200;0,649556;
181205;0300;0,612266;
181205;0400;0,800836;
181205;0500;0,770943;
181205;0600;0,873813;
181205;0700;0,921126;
181205;0800;1,52473;
181205;0900;1,41138;
181205;1000;1,24356;
181205;1100;2,0177;
181205;1200;2,81086;
181205;1300;2,75054;
181205;1400;2,65528;
181205;1500;3,12069;
181205;1600;3,35256;
181205;1700;3,38893;
181205;1800;3,04527;
181205;1900;2,54869;
181205;2000;1,62207;
181205;2100;1,21087;
181205;2200;0,326199;
181205;2300;;
181206;0000;;
181206;0100;0,305419;
181206;0200;0,44684;
181206;0300;;
181206;0400;;
181206;0500;0,241151;
181206;0600;0,537598;
181206;0700;0,2713;
181206;0800;1,36042;
181206;0900;1,44947;
181206;1000;1,6925;
181206;1100;1,82715;
181206;1200;1,69858;
181206;1300;1,34869;
181206;1400;1,53555;
181206;1500;1,25622;
181206;1600;1,63976;
181206;1700;1,56852;
181206;1800;1,53727;
181206;1900;2,53129;
181206;2000;1,47123;
181206;2100;0,45458;
181206;2200;;
181206;2300;;
181207;0000;0,208545;
181207;0100;;
181207;0200;;
181207;0300;;
181207;0400;;
181207;0500;0,674488;
181207;0600;0,420446;
181207;0700;0,788336;
181207;0800;0,30747;
181207;0900;0,615641;
181207;1000;0,675927;
181207;1100;1,2747;
181207;1200;1,47817;
181207;1300;1,8651;
181207;1400;2,07734;
181207;1500;2,75797;
181207;1600;4,28825;
181207;1700;3,42031;
181207;1800;3,06769;
181207;1900;2,70358;
181207;2000;2,30435;
181207;2100;1,82889;
181207;2200;1,36294;
181207;2300;1,34932;
181208;0000;0,69697;
181208;0100;0,497294;
181208;0200;0,134145;
181208;0300;0,158713;
181208;0400;0,684073;
181208;0500;0,750336;
181208;0600;1,97656;
181208;0700;2,43029;
181208;0800;3,58744;
181208;0900;3,51311;
181208;1000;3,16008;
181208;1100;3,52681;
181208;1200;3,49148;
181208;1300;3,43207;
181208;1400;3,46013;
181208;1500;4,07818;
181208;1600;3,75514;
181208;1700;4,3358;
181208;1800;3,74863;
181208;1900;2,89094;
181208;2000;2,19693;
181208;2100;1,21549;
181208;2200;1,65489;
181208;2300;2,20913;
181209;0000;1,98956;
181209;0100;0,743415;
181209;0200;2,25838;
181209;0300;1,76026;
181209;0400;1,34155;
181209;0500;0,641285;
181209;0600;0,628603;
181209;0700;1,1595;
181209;0800;1,00981;
181209;0900;1,23212;
181209;1000;1,74896;
181209;1100;2,81999;
181209;1200;2,16307;
181209;1300;3,25851;
181209;1400;2,71057;
181209;1500;1,84861;
181209;1600;1,77983;
181209;1700;1,97035;
181209;1800;2,96844;
181209;1900;3,8017;
181209;2000;2,55998;
181209;2100;1,19573;
181209;2200;0,982529;
181209;2300;0,622019;
181210;0000;0,258172;
181210;0100;;
181210;0200;;
181210;0300;;
181210;0400;;
181210;0500;;
181210;0600;;
