FECHA (YYMMDD);HORA (HHMM);;
190301;0100;305,502;
190301;0200;294,639;
190301;0300;246,442;
190301;0400;236,016;
190301;0500;302,562;
190301;0600;37,6796;
190301;0700;44,5256;
190301;0800;32,4384;
190301;0900;21,7489;
190301;1000;56,2585;
190301;1100;77,6807;
190301;1200;187,339;
190301;1300;163,947;
190301;1400;174,438;
190301;1500;221,704;
190301;1600;219,412;
190301;1700;231,432;
190301;1800;225,955;
190301;1900;222,475;
190301;2000;239,393;
190301;2100;254,131;
190301;2200;282,271;
190301;2300;330,815;
190302;0000;334,382;
190302;0100;347,963;
190302;0200;339,856;
190302;0300;336,292;
190302;0400;347,306;
190302;0500;328,033;
190302;0600;268,317;
190302;0700;290,333;
190302;0800;300,489;
190302;0900;247,43;
190302;1000;286,938;
190302;1100;241,724;
190302;1200;219,131;
190302;1300;213,397;
190302;1400;215,834;
190302;1500;235,49;
190302;1600;226,744;
190302;1700;230,488;
190302;1800;233,789;
190302;1900;244,907;
190302;2000;258,27;
190302;2100;277,077;
190302;2200;292,536;
190302;2300;308,428;
190303;0000;319,451;
190303;0100;331,837;
190303;0200;345,174;
190303;0300;288,558;
190303;0400;279,233;
190303;0500;281,565;
190303;0600;306,809;
190303;0700;11,2501;
190303;0800;6,96808;
190303;0900;342,542;
190303;1000;266,424;
190303;1100;227,173;
190303;1200;220,001;
190303;1300;230,802;
190303;1400;260,72;
190303;1500;248,011;
190303;1600;240,588;
190303;1700;238,649;
190303;1800;220,892;
190303;1900;227,633;
190303;2000;222,681;
190303;2100;242,644;
190303;2200;246,484;
190303;2300;349,539;
190304;0000;16,58;
190304;0100;43,8863;
190304;0200;22,3115;
190304;0300;42,1188;
190304;0400;31,6662;
190304;0500;6,08638;
190304;0600;359,338;
190304;0700;10,0576;
190304;0800;86,7443;
190304;0900;100,733;
190304;1000;13,3111;
190304;1100;302,243;
190304;1200;267,775;
190304;1300;235,618;
190304;1400;247,071;
190304;1500;210,041;
190304;1600;220,089;
190304;1700;236,108;
190304;1800;237,784;
190304;1900;225,069;
190304;2000;221,737;
190304;2100;226,197;
190304;2200;208,839;
190304;2300;41,2629;
190305;0000;33,1;
190305;0100;36,4961;
190305;0200;39,3509;
190305;0300;124,975;
190305;0400;32,0905;
190305;0500;148,712;
190305;0600;22,0451;
190305;0700;48,1789;
190305;0800;194,21;
190305;0900;222,686;
190305;1000;239,033;
190305;1100;188,582;
190305;1200;238,689;
190305;1300;205,998;
190305;1400;227,561;
190305;1500;219,354;
190305;1600;213,704;
190305;1700;204,568;
190305;1800;218,065;
190305;1900;219,263;
190305;2000;206,134;
190305;2100;231,028;
190305;2200;255,876;
190305;2300;338,524;
190306;0000;358,244;
190306;0100;33,8619;
190306;0200;25,5505;
190306;0300;41,9409;
190306;0400;39,0275;
190306;0500;55,3768;
190306;0600;49,4715;
190306;0700;48,0959;
190306;0800;57,2317;
190306;0900;51,358;
190306;1000;4,07987;
190306;1100;359,551;
190306;1200;357,432;
190306;1300;352,166;
190306;1400;348,011;
190306;1500;342,372;
190306;1600;0,713612;
