FECHA (YYMMDD);HORA (HHMM);;
190901;0100;314,838;
190901;0200;239,488;
190901;0300;299,057;
190901;0400;319,76;
190901;0500;323,422;
190901;0600;342,056;
190901;0700;325,243;
190901;0800;313,698;
190901;0900;230,91;
190901;1000;218,037;
190901;1100;191,772;
190901;1200;204,932;
190901;1300;217,385;
190901;1400;207,501;
190901;1500;214,301;
190901;1600;200,127;
190901;1700;193,399;
190901;1800;195,818;
190901;1900;180,37;
190901;2000;197,989;
190901;2100;199,394;
190901;2200;242,53;
190901;2300;227,585;
190902;0000;231,998;
190902;0100;235,293;
190902;0200;210,02;
190902;0300;279,649;
190902;0400;334,067;
190902;0500;220,728;
190902;0600;210,62;
190902;0700;256,77;
190902;0800;285,337;
190902;0900;187,866;
190902;1000;179,651;
190902;1100;142,132;
190902;1200;157,335;
190902;1300;171,4;
190902;1400;169,644;
190902;1500;166,594;
190902;1600;170,921;
190902;1700;174,089;
190902;1800;165,409;
190902;1900;185,411;
190902;2000;178,192;
190902;2100;193,292;
190902;2200;194;
190902;2300;224,124;
190903;0000;254,721;
190903;0100;228,372;
190903;0200;309,454;
190903;0300;345,314;
190903;0400;335,608;
190903;0500;335,741;
190903;0600;351,652;
190903;0700;348,522;
190903;0800;353,553;
190903;0900;323,643;
190903;1000;261,22;
190903;1100;223,354;
190903;1200;196,953;
190903;1300;178,852;
190903;1400;177,656;
190903;1500;187,61;
190903;1600;198,288;
190903;1700;217,05;
190903;1800;232,537;
190903;1900;241,719;
190903;2000;288,416;
190903;2100;348,357;
190903;2200;326,331;
190903;2300;2,90845;
190904;0000;27,3266;
190904;0100;37,8683;
190904;0200;32,6945;
190904;0300;37,9679;
190904;0400;39,1819;
190904;0500;38,2549;
190904;0600;38,7356;
190904;0700;40,7;
190904;0800;39,2985;
190904;0900;33,4521;
190904;1000;13,4629;
190904;1100;49,4334;
190904;1200;155,801;
190904;1300;133,114;
190904;1400;144,473;
190904;1500;156,454;
190904;1600;148,923;
190904;1700;144,761;
190904;1800;143,528;
190904;1900;141,917;
190904;2000;167,507;
190904;2100;140,882;
190904;2200;151,053;
190904;2300;113,51;
190905;0000;315,821;
190905;0100;7,60687;
190905;0200;37,7241;
190905;0300;82,8409;
190905;0400;33,0049;
190905;0500;70,3533;
190905;0600;70,609;
190905;0700;19,3132;
190905;0800;50,2653;
190905;0900;46,7958;
190905;1000;63,2092;
190905;1100;66,8978;
190905;1200;62,2875;
190905;1300;40,5852;
190905;1400;54,4093;
190905;1500;46,1972;
190905;1600;22,4044;
190905;1700;23,1008;
190905;1800;31,8398;
190905;1900;31,5822;
