FECHA (YYMMDD);HORA (HHMM);;
181201;0100;247,581;
181201;0200;267,27;
181201;0300;286,308;
181201;0400;311,301;
181201;0500;327,41;
181201;0600;323,511;
181201;0700;325,889;
181201;0800;217,035;
181201;0900;217,052;
181201;1000;216,969;
181201;1100;195,556;
181201;1200;188,781;
181201;1300;186,341;
181201;1400;184,958;
181201;1500;185,427;
181201;1600;188,824;
181201;1700;192,195;
181201;1800;204,125;
181201;1900;234,032;
181201;2000;255,589;
181201;2100;280,294;
181201;2200;296,779;
181201;2300;318,478;
181202;0000;321,045;
181202;0100;;
181202;0200;327,651;
181202;0300;327,476;
181202;0400;351,525;
181202;0500;;
181202;0600;30,7836;
181202;0700;24,0339;
181202;0800;30,6526;
181202;0900;187,092;
181202;1000;214,538;
181202;1100;194,704;
181202;1200;211,187;
181202;1300;221,211;
181202;1400;208,146;
181202;1500;237,361;
181202;1600;230,529;
181202;1700;229,357;
181202;1800;220,663;
181202;1900;224,585;
181202;2000;265,814;
181202;2100;300,317;
181202;2200;274,33;
181202;2300;263,07;
181203;0000;272,908;
181203;0100;266,595;
181203;0200;301,999;
181203;0300;327,61;
181203;0400;;
181203;0500;;
181203;0600;;
181203;0700;7,87591;
181203;0800;;
181203;0900;210,765;
181203;1000;226,902;
181203;1100;212,398;
181203;1200;221,736;
181203;1300;220,692;
181203;1400;222,873;
181203;1500;216,432;
181203;1600;228,051;
181203;1700;236,546;
181203;1800;252,623;
181203;1900;265,32;
181203;2000;272,287;
181203;2100;274,233;
181203;2200;306,292;
181203;2300;279,369;
181204;0000;267,503;
181204;0100;280,023;
181204;0200;264,508;
181204;0300;277,227;
181204;0400;308,704;
181204;0500;298,067;
181204;0600;316,391;
181204;0700;324,419;
181204;0800;271,018;
181204;0900;280,055;
181204;1000;264,673;
181204;1100;236,46;
181204;1200;271,985;
181204;1300;250,378;
181204;1400;249,984;
181204;1500;234,105;
181204;1600;239,247;
181204;1700;246,446;
181204;1800;244,772;
181204;1900;259,066;
181204;2000;267,308;
181204;2100;265,927;
181204;2200;264,511;
181204;2300;258,352;
181205;0000;264,771;
181205;0100;280,312;
181205;0200;280,202;
181205;0300;189,193;
181205;0400;179,346;
181205;0500;171,096;
181205;0600;150,54;
181205;0700;174,728;
181205;0800;180,988;
181205;0900;196,472;
181205;1000;197,872;
181205;1100;205,914;
181205;1200;216,077;
181205;1300;212,838;
181205;1400;207,592;
181205;1500;224,549;
181205;1600;231,882;
181205;1700;253,294;
181205;1800;266,209;
181205;1900;276,751;
181205;2000;310,23;
181205;2100;298,091;
181205;2200;331,698;
181205;2300;;
181206;0000;;
181206;0100;102,63;
181206;0200;84,1123;
181206;0300;;
181206;0400;;
181206;0500;296,594;
181206;0600;348,001;
181206;0700;238,726;
181206;0800;154,79;
181206;0900;187,543;
181206;1000;184,979;
181206;1100;185,013;
181206;1200;191,224;
181206;1300;180,61;
181206;1400;222,969;
181206;1500;201,014;
181206;1600;228,681;
181206;1700;207,268;
181206;1800;217,903;
181206;1900;225,322;
181206;2000;201,207;
181206;2100;213,986;
181206;2200;;
181206;2300;;
181207;0000;347,912;
181207;0100;;
181207;0200;;
181207;0300;;
181207;0400;;
181207;0500;40,9366;
181207;0600;43,8946;
181207;0700;18,9878;
181207;0800;26,7694;
181207;0900;213,045;
181207;1000;209,657;
181207;1100;240,035;
181207;1200;218,009;
181207;1300;230,118;
181207;1400;211,471;
181207;1500;219,834;
181207;1600;227,507;
181207;1700;214,121;
181207;1800;212,957;
181207;1900;210,881;
181207;2000;217,058;
181207;2100;195,881;
181207;2200;172,374;
181207;2300;166,466;
181208;0000;144,126;
181208;0100;138,875;
181208;0200;123,001;
181208;0300;142,334;
181208;0400;344,471;
181208;0500;28,4429;
181208;0600;18,3846;
181208;0700;18,2148;
181208;0800;5,34168;
181208;0900;352,019;
181208;1000;351,676;
181208;1100;358,595;
181208;1200;350,826;
181208;1300;0,155184;
181208;1400;345,089;
181208;1500;349,799;
181208;1600;353,58;
181208;1700;344,423;
181208;1800;342,651;
181208;1900;337,272;
181208;2000;339,663;
181208;2100;315,791;
181208;2200;318,679;
181208;2300;341,729;
181209;0000;339,135;
181209;0100;352,463;
181209;0200;354,948;
181209;0300;347,883;
181209;0400;356,628;
181209;0500;358,819;
181209;0600;55,3802;
181209;0700;48,3035;
181209;0800;52,3149;
181209;0900;354,033;
181209;1000;329,583;
181209;1100;334,991;
181209;1200;325,225;
181209;1300;337,722;
181209;1400;322,934;
181209;1500;297,094;
181209;1600;327,848;
181209;1700;222,224;
181209;1800;238,712;
181209;1900;245,594;
181209;2000;226,272;
181209;2100;188,671;
181209;2200;159,859;
181209;2300;161,467;
181210;0000;104,682;
181210;0100;;
181210;0200;;
181210;0300;;
181210;0400;;
181210;0500;;
181210;0600;;
181210;0700;333,018;
181210;0800;351,547;
181210;0900;329,196;
181210;1000;274,558;
181210;1100;351,138;
181210;1200;348,246;
181210;1300;3,9164;
181210;1400;346,144;
181210;1500;236,941;
181210;1600;166,202;
181210;1700;150,877;
181210;1800;181,153;
181210;1900;167,03;
181210;2000;316,888;
181210;2100;348,987;
181210;2200;324,165;
181210;2300;346,021;
181211;0000;341,243;
181211;0100;288,399;
181211;0200;243,935;
181211;0300;247,283;
181211;0400;318,059;
181211;0500;348,084;
181211;0600;;
181211;0700;24,4164;
181211;0800;52,2635;
181211;0900;24,7833;
181211;1000;351,825;
181211;1100;339,877;
181211;1200;198,74;
181211;1300;224,564;
181211;1400;217,037;
181211;1500;242,511;
181211;1600;250,828;
181211;1700;235,123;
181211;1800;231,53;
181211;1900;232,502;
181211;2000;207,334;
181211;2100;214,773;
181211;2200;229,295;
181211;2300;;
181212;0000;323,056;
181212;0100;;
181212;0200;341,766;
181212;0300;331,622;
181212;0400;;
181212;0500;;
181212;0600;238,832;
181212;0700;285,057;
181212;0800;242,005;
181212;0900;200,878;
181212;1000;205,463;
181212;1100;224,166;
181212;1200;224,337;
181212;1300;219,344;
181212;1400;238,1;
181212;1500;228,994;
181212;1600;226,031;
181212;1700;229,875;
181212;1800;237,111;
181212;1900;244,426;
181212;2000;257,815;
181212;2100;263,086;
181212;2200;269,059;
181212;2300;275,522;
181213;0000;317,455;
181213;0100;318,634;
181213;0200;306,78;
181213;0300;317,774;
181213;0400;324,012;
181213;0500;359,811;
181213;0600;54,3377;
181213;0700;48,7042;
181213;0800;50,4692;
181213;0900;18,0157;
181213;1000;355,269;
181213;1100;4,6021;
181213;1200;1,48499;
181213;1300;4,08365;
181213;1400;344,169;
181213;1500;338,712;
181213;1600;358,635;
181213;1700;344,615;
181213;1800;341,565;
181213;1900;322,092;
181213;2000;341,983;
181213;2100;297,045;
181213;2200;342,451;
181213;2300;340,013;
181214;0000;346,597;
181214;0100;1,76465;
181214;0200;351,794;
181214;0300;346,983;
181214;0400;347,682;
181214;0500;341,877;
181214;0600;354,048;
181214;0700;0,156869;
181214;0800;345,95;
181214;0900;323,57;
181214;1000;237,462;
181214;1100;230,901;
181214;1200;241,732;
181214;1300;237,884;
181214;1400;243,233;
181214;1500;236,463;
181214;1600;218,399;
181214;1700;217,74;
181214;1800;213,231;
181214;1900;226,997;
181214;2000;232,163;
181214;2100;236,397;
181214;2200;312,951;
181214;2300;274,772;
181215;0000;348,977;
181215;0100;346,811;
181215;0200;;
181215;0300;339,493;
181215;0400;;
181215;0500;;
181215;0600;336,484;
181215;0700;23,1802;
181215;0800;181,306;
181215;0900;204;
181215;1000;224,143;
181215;1100;220,997;
181215;1200;225,547;
181215;1300;237,146;
181215;1400;216,558;
181215;1500;224,141;
181215;1600;226,177;
181215;1700;218,139;
181215;1800;218,416;
181215;1900;218,265;
181215;2000;252,574;
181215;2100;260,763;
181215;2200;277,195;
181215;2300;270,628;
181216;0000;282,765;
181216;0100;;
181216;0200;42,8518;
181216;0300;49,3319;
181216;0400;68,0142;
181216;0500;48,4681;
181216;0600;42,5847;
181216;0700;59,1022;
181216;0800;52,778;
181216;0900;52,6365;
181216;1000;5,06231;
181216;1100;291,959;
181216;1200;251,804;
181216;1300;247,73;
181216;1400;249,453;
181216;1500;232,314;
181216;1600;228,547;
181216;1700;231,523;
181216;1800;230,923;
181216;1900;232,413;
181216;2000;232,04;
181216;2100;256,5;
181216;2200;272,856;
181216;2300;291,719;
181217;0000;280,983;
181217;0100;259,803;
181217;0200;271,124;
181217;0300;255,214;
181217;0400;268,123;
181217;0500;254,845;
