FECHA (YYMMDD);HORA (HHMM);;
181201;0100;54,6692;
181201;0200;59,9545;
181201;0300;64,413;
181201;0400;70,0763;
181201;0500;77,975;
181201;0600;83,0768;
181201;0700;78,4683;
181201;0800;66,9258;
181201;0900;62,8307;
181201;1000;55,6707;
181201;1100;46,1761;
181201;1200;41,8677;
181201;1300;37,191;
181201;1400;33,0643;
181201;1500;31,2425;
181201;1600;29,6608;
181201;1700;29,774;
181201;1800;31,3474;
181201;1900;41,933;
181201;2000;52,8767;
181201;2100;59,3333;
181201;2200;64,2032;
181201;2300;68,2867;
181202;0000;71,9301;
181202;0100;78,8483;
181202;0200;84,9583;
181202;0300;87,9917;
181202;0400;90,4083;
181202;0500;89,4083;
181202;0600;91,0167;
181202;0700;87,3068;
181202;0800;69,5234;
181202;0900;51,035;
181202;1000;42,915;
181202;1100;39,5076;
181202;1200;37,7867;
181202;1300;30,3456;
181202;1400;26,6131;
181202;1500;22,7989;
181202;1600;18,7205;
181202;1700;24,5587;
181202;1800;31,5954;
181202;1900;36,7108;
181202;2000;48,7191;
181202;2100;52,3065;
181202;2200;62,6475;
181202;2300;76,6361;
181203;0000;86,9177;
181203;0100;90,6676;
181203;0200;92,734;
181203;0300;94,8173;
181203;0400;97,3337;
181203;0500;98,6421;
181203;0600;100,433;
181203;0700;96,6833;
181203;0800;77,88;
181203;0900;67,4525;
181203;1000;61,5267;
181203;1100;55,7442;
181203;1200;50,2917;
181203;1300;41,6068;
181203;1400;33,581;
181203;1500;25,153;
181203;1600;38,4341;
181203;1700;34,0832;
181203;1800;43,4814;
181203;1900;49,8864;
181203;2000;57,2547;
181203;2100;52,6379;
181203;2200;56,0596;
181203;2300;63,142;
181204;0000;76,1063;
181204;0100;89,567;
181204;0200;96,417;
181204;0300;98,9084;
181204;0400;99,9083;
181204;0500;100,42;
181204;0600;100,661;
181204;0700;100,203;
181204;0800;99,1696;
181204;0900;97,786;
181204;1000;81,7371;
181204;1100;61,6208;
181204;1200;48,0599;
181204;1300;45,7865;
181204;1400;40,7764;
181204;1500;41,488;
181204;1600;51,7905;
181204;1700;55,1021;
181204;1800;56,6761;
181204;1900;58,572;
181204;2000;72,7963;
181204;2100;91,067;
181204;2200;94,0586;
181204;2300;91,3002;
181205;0000;91,95;
181205;0100;94,4703;
181205;0200;96,9535;
181205;0300;99,7117;
181205;0400;101,528;
181205;0500;101,928;
181205;0600;101,878;
181205;0700;101,786;
181205;0800;99,7194;
181205;0900;90,2856;
181205;1000;77,1066;
181205;1100;69,4088;
181205;1200;61,8181;
181205;1300;54,5446;
181205;1400;51,2646;
181205;1500;54,1303;
181205;1600;51,6935;
181205;1700;53,3702;
181205;1800;55,5952;
181205;1900;57,54;
181205;2000;58,0633;
181205;2100;52,991;
181205;2200;52,2135;
181205;2300;72,2509;
181206;0000;75,7784;
181206;0100;81,9275;
181206;0200;88,7167;
181206;0300;96,5416;
181206;0400;98,0417;
181206;0500;98,1167;
181206;0600;96,6167;
181206;0700;75,1792;
181206;0800;54,3317;
181206;0900;51,4929;
181206;1000;47,4364;
181206;1100;42,7145;
181206;1200;40,837;
181206;1300;39,2502;
181206;1400;37,7285;
181206;1500;36,7126;
181206;1600;35,3817;
181206;1700;33,572;
181206;1800;33,5376;
181206;1900;40,5909;
181206;2000;47,275;
181206;2100;50,2917;
181206;2200;56,4458;
181206;2300;64,515;
181207;0000;69,8092;
181207;0100;77,0175;
181207;0200;81,0858;
181207;0300;81,5167;
181207;0400;86,2333;
181207;0500;90,3667;
181207;0600;93,3;
181207;0700;88,7833;
181207;0800;71,225;
181207;0900;60,2183;
181207;1000;53,8725;
181207;1100;49,4758;
181207;1200;42,5992;
181207;1300;38,6119;
181207;1400;36,2892;
181207;1500;34,8292;
181207;1600;51,7908;
181207;1700;60,675;
181207;1800;65,41;
181207;1900;75,1992;
181207;2000;81,9567;
181207;2100;87,8917;
181207;2200;91,3917;
181207;2300;92,525;
181208;0000;92,6167;
181208;0100;91,2417;
181208;0200;90,1917;
181208;0300;90,15;
181208;0400;85,1;
181208;0500;83,5083;
181208;0600;79,3125;
181208;0700;71,955;
181208;0800;65,8242;
181208;0900;63,5675;
181208;1000;59,3308;
181208;1100;56,0633;
181208;1200;52,0917;
181208;1300;51,22;
181208;1400;50,6375;
181208;1500;49,1425;
181208;1600;51,0767;
181208;1700;50,8183;
181208;1800;51,2783;
181208;1900;52,85;
181208;2000;54,5833;
181208;2100;62,0233;
181208;2200;71,08;
181208;2300;74,1592;
181209;0000;78,0616;
181209;0100;89,0583;
181209;0200;92,2334;
181209;0300;87,3667;
181209;0400;85,875;
181209;0500;85,7083;
181209;0600;91,2083;
181209;0700;91,15;
181209;0800;88,1417;
181209;0900;73,7258;
181209;1000;63,5592;
181209;1100;64,2491;
181209;1200;64,7491;
181209;1300;57,0617;
181209;1400;52,2308;
181209;1500;53,1225;
181209;1600;54,07;
181209;1700;53,7583;
181209;1800;53,3833;
181209;1900;55,4125;
181209;2000;64,4218;
181209;2100;76,54;
181209;2200;82,45;
181209;2300;83,425;
181210;0000;86,175;
181210;0100;87,5833;
181210;0200;89,9667;
181210;0300;91,3833;
181210;0400;95,0084;
181210;0500;97,6667;
181210;0600;99,2167;
181210;0700;95,5333;
181210;0800;92,525;
181210;0900;82,5642;
181210;1000;77,6108;
181210;1100;70,4558;
181210;1200;63,6717;
181210;1300;58,9142;
181210;1400;58,5983;
181210;1500;62,0875;
181210;1600;75,6176;
181210;1700;68,3042;
181210;1800;75,4943;
181210;1900;76,3983;
181210;2000;74,8726;
181210;2100;73,8633;
181210;2200;77,4991;
181210;2300;97,9583;
181211;0000;101,85;
