FECHA (YYMMDD);HORA (HHMM);;
190601;0100;0,0166669;
190601;0200;1,34525e-43;
190601;0300;0,0166669;
190601;0400;8,96831e-44;
190601;0500;6,72623e-44;
190601;0600;4,48416e-44;
190601;0700;2,24208e-44;
190601;0800;0;
190601;0900;0,0500014;
190601;1000;4,70836e-43;
190601;1100;4,03574e-43;
190601;1200;0,0166672;
190601;1300;3,36312e-43;
190601;1400;3,13891e-43;
190601;1500;2,9147e-43;
190601;1600;0,0666682;
190601;1700;0,116668;
190601;1800;2,24208e-43;
190601;1900;0,0833344;
190601;2000;1,56945e-43;
190601;2100;0,0166669;
190601;2200;0,383336;
190601;2300;0,450002;
190602;0000;8,96831e-44;
190602;0100;6,72623e-44;
190602;0200;4,48416e-44;
190602;0300;2,24208e-44;
190602;0400;0;
190602;0500;0,11667;
190602;0600;0,30001;
190602;0700;0,0833356;
190602;0800;0,116669;
190602;0900;0,0333343;
190602;1000;0,0166672;
190602;1100;3,13891e-43;
190602;1200;2,69049e-43;
190602;1300;2,46629e-43;
190602;1400;2,24208e-43;
190602;1500;2,01787e-43;
190602;1600;1,79366e-43;
190602;1700;1,56945e-43;
190602;1800;1,34525e-43;
190602;1900;1,12104e-43;
190602;2000;8,96831e-44;
190602;2100;6,72623e-44;
190602;2200;4,48416e-44;
190602;2300;2,24208e-44;
190603;0000;0;
190603;0100;6,72623e-43;
190603;0200;6,50202e-43;
190603;0300;6,27782e-43;
190603;0400;6,05361e-43;
190603;0500;5,8294e-43;
190603;0600;5,60519e-43;
190603;0700;5,38099e-43;
190603;0800;5,15678e-43;
190603;0900;4,93257e-43;
190603;1000;4,70836e-43;
190603;1100;4,25995e-43;
190603;1200;2,46629e-43;
190603;1300;2,24208e-43;
190603;1400;2,01787e-43;
190603;1500;1,79366e-43;
190603;1600;1,12104e-43;
190603;1700;8,96831e-44;
190603;1800;6,72623e-44;
190603;1900;4,48416e-44;
190603;2000;2,24208e-44;
190603;2100;8,96831e-43;
190603;2200;0,0333356;
190603;2300;8,51989e-43;
190604;0000;8,29569e-43;
190604;0100;8,07148e-43;
190604;0200;7,84727e-43;
190604;0300;7,62306e-43;
190604;0400;7,39886e-43;
190604;0500;7,17465e-43;
190604;0600;6,95044e-43;
190604;0700;6,72623e-43;
190604;0800;0,033335;
190604;0900;0,13334;
190604;1000;0,0500016;
190604;1100;0,0166674;
190604;1200;2,9147e-43;
190604;1300;2,69049e-43;
190604;1400;2,24208e-43;
190604;1500;8,96831e-44;
190604;1600;2,24208e-44;
190604;1700;6,50202e-43;
190604;1800;6,27782e-43;
190604;1900;5,8294e-43;
190604;2000;0,35001;
190604;2100;0,0333346;
190604;2200;0,0500013;
190604;2300;4,48416e-43;
190605;0000;0,0166673;
190605;0100;4,03574e-43;
190605;0200;3,81153e-43;
190605;0300;3,58732e-43;
190605;0400;0,100002;
