FECHA (YYMMDD);HORA (HHMM);;
180301;0100;0;
180301;0200;0;
180301;0300;0;
180301;0400;0;
180301;0500;0;
180301;0600;0;
180301;0700;0;
180301;0800;0;
180301;0900;0;
180301;1000;0;
180301;1100;0;
180301;1200;0;
180301;1300;0;
180301;1400;0;
180301;1500;0;
180301;1600;0;
180301;1700;0;
180301;1800;0;
180301;1900;0;
180301;2000;0;
180301;2100;0;
180301;2200;0;
180301;2300;0;
180302;0000;0;
180302;0100;0;
180302;0200;0;
180302;0300;0;
180302;0400;0;
180302;0500;0;
180302;0600;0;
180302;0700;0;
180302;0800;0;
180302;0900;0;
180302;1000;0;
180302;1100;0;
180302;1200;0;
180302;1300;0;
180302;1400;0;
180302;1500;0;
180302;1600;0;
180302;1700;0;
180302;1800;0;
180302;1900;0;
180302;2000;0;
180302;2100;0;
180302;2200;0;
180302;2300;0;
180303;0000;0;
180303;0100;0;
180303;0200;0;
180303;0300;0;
180303;0400;0;
180303;0500;0;
180303;0600;0;
180303;0700;0;
180303;0800;0;
180303;0900;0;
180303;1000;0;
180303;1100;0;
180303;1200;0;
180303;1300;0;
180303;1400;0;
180303;1500;0;
180303;1600;0;
180303;1700;0;
180303;1800;0;
180303;1900;0;
180303;2000;0;
180303;2100;0;
180303;2200;0;
180303;2300;0;
180304;0000;0;
180304;0100;0;
180304;0200;0;
180304;0300;0;
180304;0400;0;
180304;0500;0;
180304;0600;0;
180304;0700;0;
180304;0800;1,8;
180304;0900;0,4;
180304;1000;0;
180304;1100;0;
180304;1200;0;
180304;1300;0,2;
180304;1400;0;
180304;1500;0;
180304;1600;0;
180304;1700;0;
180304;1800;0;
180304;1900;0;
180304;2000;0;
180304;2100;0;
180304;2200;0;
180304;2300;0;
180305;0000;0;
180305;0100;0;
180305;0200;0;
180305;0300;0;
180305;0400;0;
180305;0500;0;
180305;0600;0;
180305;0700;0;
180305;0800;0;
180305;0900;0;
180305;1000;0;
180305;1100;0;
180305;1200;0;
180305;1300;0;
180305;1400;0;
180305;1500;0;
180305;1600;0;
180305;1700;0;
180305;1800;0;
180305;1900;0;
180305;2000;0;
180305;2100;0;
180305;2200;0;
180305;2300;0;
180306;0000;0;
180306;0100;0;
180306;0200;0;
180306;0300;0;
180306;0400;0;
180306;0500;0;
180306;0600;0;
180306;0700;0;
180306;0800;0;
180306;0900;0;
180306;1000;0;
180306;1100;0;
180306;1200;0;
180306;1300;0;
180306;1400;0;
180306;1500;0;
180306;1600;0;
180306;1700;0;
180306;1800;0;
180306;1900;0;
180306;2000;0;
180306;2100;0;
180306;2200;0;
180306;2300;0;
180307;0000;0;
180307;0100;0;
180307;0200;0;
180307;0300;0;
180307;0400;0;
180307;0500;0;
180307;0600;0;
180307;0700;0;
180307;0800;0;
180307;0900;0;
180307;1000;0;
180307;1100;0;
180307;1200;0;
180307;1300;0;
180307;1400;0;
180307;1500;0;
180307;1600;0;
180307;1700;0;
180307;1800;0;
180307;1900;0;
180307;2000;0;
180307;2100;0;
180307;2200;0;
180307;2300;0;
180308;0000;0;
180308;0100;0;
180308;0200;0;
180308;0300;0;
180308;0400;0;
180308;0500;0;
180308;0600;0;
180308;0700;0;
180308;0800;0;
180308;0900;0;
180308;1000;0;
180308;1100;0;
180308;1200;0;
180308;1300;0;
180308;1400;0;
180308;1500;0;
180308;1600;0;
180308;1700;0;
180308;1800;0;
180308;1900;0;
180308;2000;0;
180308;2100;0;
180308;2200;0;
180308;2300;0;
180309;0000;0;
180309;0100;0;
180309;0200;0;
180309;0300;0;
180309;0400;0;
180309;0500;0;
180309;0600;0;
180309;0700;0;
180309;0800;0,4;
180309;0900;0,8;
180309;1000;0,6;
180309;1100;1,2;
180309;1200;0;
180309;1300;0;
180309;1400;0;
180309;1500;0,4;
180309;1600;0;
180309;1700;0,4;
180309;1800;5;
180309;1900;3,6;
180309;2000;2,6;
180309;2100;2;
180309;2200;2,8;
180309;2300;2;
180310;0000;0,2;
180310;0100;0;
180310;0200;0,2;
180310;0300;0;
180310;0400;0;
180310;0500;0;
180310;0600;0;
180310;0700;0;
180310;0800;0;
180310;0900;0;
180310;1000;0;
180310;1100;0;
180310;1200;0;
180310;1300;0;
180310;1400;0;
180310;1500;0;
180310;1600;0;
180310;1700;0;
180310;1800;0;
180310;1900;0;
180310;2000;0;
180310;2100;0;
180310;2200;0;
180310;2300;0;
180311;0000;0;
180311;0100;0;
180311;0200;0;
180311;0300;0;
180311;0400;0;
180311;0500;0;
180311;0600;0;
180311;0700;0;
180311;0800;0;
180311;0900;0,6;
180311;1000;0,2;
180311;1100;0;
180311;1200;0;
180311;1300;0,2;
180311;1400;0;
180311;1500;0;
180311;1600;0;
180311;1700;0;
180311;1800;0;
180311;1900;0;
180311;2000;0;
180311;2100;0;
180311;2200;0;
180311;2300;0;
180312;0000;0;
180312;0100;0;
180312;0200;0;
180312;0300;0;
180312;0400;0;
180312;0500;0;
180312;0600;0;
180312;0700;0;
180312;0800;0;
180312;0900;4,8;
180312;1000;1,6;
180312;1100;0;
180312;1200;0;
180312;1300;0;
180312;1400;0;
180312;1500;0;
180312;1600;0;
180312;1700;0;
180312;1800;0;
180312;1900;0;
180312;2000;0;
180312;2100;0;
180312;2200;0;
180312;2300;0;
180313;0000;0;
180313;0100;0;
180313;0200;0;
180313;0300;0;
180313;0400;0;
180313;0500;0;
180313;0600;0;
180313;0700;0;
180313;0800;0;
180313;0900;0;
180313;1000;0;
180313;1100;0;
180313;1200;0;
180313;1300;0;
180313;1400;0;
180313;1500;0;
180313;1600;0;
180313;1700;0;
180313;1800;0;
180313;1900;0;
180313;2000;0;
180313;2100;0;
180313;2200;0;
180313;2300;0;
180314;0000;0;
180314;0100;0;
180314;0200;0;
180314;0300;0;
180314;0400;0;
180314;0500;0;
180314;0600;1,2;
180314;0700;0,8;
180314;0800;0;
180314;0900;3,2;
180314;1000;6,6;
180314;1100;0,4;
180314;1200;0,2;
180314;1300;0;
180314;1400;0;
180314;1500;0;
180314;1600;0;
180314;1700;0;
180314;1800;0;
180314;1900;0;
180314;2000;0;
180314;2100;0;
180314;2200;0;
180314;2300;0;
180315;0000;0;
180315;0100;0;
180315;0200;0;
180315;0300;0;
180315;0400;0;
180315;0500;0;
180315;0600;0;
180315;0700;0;
180315;0800;0;
180315;0900;0;
180315;1000;0;
180315;1100;0;
180315;1200;0;
180315;1300;0;
180315;1400;0;
180315;1500;0;
180315;1600;0;
180315;1700;0;
180315;1800;0;
180315;1900;0;
180315;2000;0;
180315;2100;0;
180315;2200;0;
180315;2300;0;
180316;0000;0;
180316;0100;0;
180316;0200;0;
180316;0300;0;
180316;0400;0;
180316;0500;0;
180316;0600;0;
180316;0700;0;
180316;0800;0;
180316;0900;0;
180316;1000;0;
180316;1100;0;
180316;1200;0;
180316;1300;0;
180316;1400;0;
180316;1500;0;
180316;1600;0;
180316;1700;0;
180316;1800;1,2;
180316;1900;1,2;
180316;2000;1,6;
180316;2100;1,4;
180316;2200;4,2;
180316;2300;13;
180317;0000;8,60001;
180317;0100;4,4;
180317;0200;3;
180317;0300;0,4;
180317;0400;0;
180317;0500;0;
180317;0600;0;
180317;0700;0;
180317;0800;0,4;
180317;0900;0,8;
180317;1000;1;
180317;1100;0,2;
180317;1200;0;
180317;1300;2,8;
180317;1400;0;
180317;1500;0;
180317;1600;0;
180317;1700;0;
180317;1800;0;
180317;1900;0,2;
180317;2000;0,2;
180317;2100;0;
180317;2200;0;
180317;2300;0;
180318;0000;0;
180318;0100;0;
180318;0200;0;
180318;0300;0;
180318;0400;0;
180318;0500;0;
180318;0600;0;
180318;0700;0;
180318;0800;0;
180318;0900;0;
180318;1000;0;
180318;1100;0;
180318;1200;0,2;
180318;1300;0;
180318;1400;0;
180318;1500;0;
180318;1600;0;
180318;1700;0;
180318;1800;0;
180318;1900;0;
180318;2000;0;
180318;2100;0;
180318;2200;0;
180318;2300;0;
180319;0000;0;
180319;0100;0;
180319;0200;0;
180319;0300;0;
180319;0400;0;
180319;0500;0;
180319;0600;0;
180319;0700;0;
180319;0800;0;
180319;0900;0;
180319;1000;0;
180319;1100;0;
180319;1200;0;
180319;1300;0;
180319;1400;0;
180319;1500;0;
180319;1600;0;
180319;1700;0;
180319;1800;0;
180319;1900;0;
180319;2000;0;
180319;2100;0;
180319;2200;0;
180319;2300;0;
180320;0000;0;
180320;0100;0;
180320;0200;0;
180320;0300;0;
180320;0400;0;
180320;0500;0;
180320;0600;0;
180320;0700;0;
180320;0800;0;
180320;0900;0;
180320;1000;0;
180320;1100;0;
180320;1200;0;
180320;1300;0;
180320;1400;0;
180320;1500;0;
180320;1600;0;
180320;1700;0;
180320;1800;0;
180320;1900;0;
180320;2000;0;
180320;2100;0;
180320;2200;0;
180320;2300;0;
180321;0000;0;
180321;0100;0;
180321;0200;0;
180321;0300;0;
180321;0400;0;
180321;0500;0;
180321;0600;0;
180321;0700;0;
180321;0800;0;
180321;0900;0;
180321;1000;0;
180321;1100;0;
180321;1200;0;
180321;1300;0;
180321;1400;0;
180321;1500;0;
180321;1600;0;
180321;1700;0;
180321;1800;0;
180321;1900;1;
180321;2000;6;
180321;2100;0,4;
180321;2200;0;
180321;2300;5,2;
180322;0000;0;
180322;0100;0;
180322;0200;0;
180322;0300;0,6;
180322;0400;4;
180322;0500;0;
180322;0600;0;
180322;0700;0;
180322;0800;0;
180322;0900;0;
180322;1000;0;
180322;1100;0;
180322;1200;0;
180322;1300;0;
180322;1400;0,2;
180322;1500;0;
180322;1600;0;
180322;1700;0;
180322;1800;0;
180322;1900;0,2;
180322;2000;0,2;
180322;2100;3,2;
180322;2200;3;
180322;2300;10;
180323;0000;0,6;
180323;0100;0,6;
180323;0200;1;
180323;0300;1,6;
180323;0400;0,2;
180323;0500;0;
180323;0600;0,4;
180323;0700;2;
180323;0800;1,6;
180323;0900;3;
180323;1000;1,2;
180323;1100;0,4;
180323;1200;0;
180323;1300;0;
180323;1400;0,4;
180323;1500;0;
180323;1600;0;
180323;1700;0;
180323;1800;0;
180323;1900;0;
180323;2000;0;
180323;2100;0;
180323;2200;0;
180323;2300;0;
180324;0000;0;
180324;0100;0;
180324;0200;0;
180324;0300;0;
180324;0400;0;
180324;0500;0;
180324;0600;0;
180324;0700;0;
180324;0800;0;
180324;0900;0;
180324;1000;0;
180324;1100;0;
180324;1200;0;
180324;1300;0;
180324;1400;0;
180324;1500;0;
180324;1600;0;
180324;1700;0;
180324;1800;0;
180324;1900;0;
180324;2000;0;
180324;2100;0;
180324;2200;0;
180324;2300;0;
180325;0000;0;
180325;0100;0;
180325;0200;0;
180325;0300;0;
180325;0400;0;
180325;0500;0;
180325;0600;0;
180325;0700;0;
180325;0800;0;
180325;0900;0;
180325;1000;0;
180325;1100;0;
180325;1200;0;
180325;1300;0;
180325;1400;0;
180325;1500;0;
180325;1600;0;
180325;1700;0;
180325;1800;0;
180325;1900;0;
180325;2000;0;
180325;2100;0;
180325;2200;0;
180325;2300;0;
180326;0000;0;
180326;0100;0;
180326;0200;0;
180326;0300;0;
180326;0400;0;
180326;0500;0;
180326;0600;0;
180326;0700;0;
180326;0800;0;
180326;0900;0;
180326;1000;0;
180326;1100;0;
180326;1200;0;
180326;1300;0;
180326;1400;0;
180326;1500;0;
180326;1600;0;
180326;1700;0;
180326;1800;0;
180326;1900;0;
180326;2000;0;
180326;2100;0;
180326;2200;0;
180326;2300;0;
180327;0000;0;
180327;0100;0;
180327;0200;0;
180327;0300;0;
180327;0400;0;
