FECHA (YYMMDD);HORA (HHMM);;
180901;0100;2,24208e-44;
180901;0200;2,24208e-44;
180901;0300;0;
180901;0400;0;
180901;0500;2,24208e-44;
180901;0600;0;
180901;0700;0;
180901;0800;0;
180901;0900;0;
180901;1000;0;
180901;1100;6,72623e-44;
180901;1200;0;
180901;1300;0;
180901;1400;0,0166667;
180901;1500;8,96831e-44;
180901;1600;8,96831e-44;
180901;1700;6,72623e-44;
180901;1800;0;
180901;1900;0;
180901;2000;0;
180901;2100;0;
180901;2200;0;
180901;2300;0;
180902;0000;0;
180902;0100;0;
180902;0200;0;
180902;0300;0;
180902;0400;0;
180902;0500;0;
180902;0600;3,58732e-43;
180902;0700;0,0666685;
180902;0800;3,13891e-43;
180902;0900;2,9147e-43;
180902;1000;2,69049e-43;
180902;1100;1,34525e-43;
180902;1200;1,12104e-43;
180902;1300;8,96831e-44;
180902;1400;6,72623e-44;
180902;1500;0,133333;
180902;1600;0,15;
180902;1700;0,0833334;
180902;1800;0;
180902;1900;0;
180902;2000;0;
180902;2100;0;
180902;2200;0;
180902;2300;0;
180903;0000;0;
180903;0100;0;
180903;0200;0;
180903;0300;0;
180903;0400;0,0166667;
180903;0500;0;
180903;0600;0;
180903;0700;0;
180903;0800;0;
180903;0900;0;
180903;1000;0;
180903;1100;0;
180903;1200;0;
180903;1300;0;
180903;1400;2,24208e-44;
180903;1500;0;
180903;1600;0;
180903;1700;0;
180903;1800;0;
180903;1900;0;
180903;2000;0;
180903;2100;0;
180903;2200;0;
180903;2300;0;
180904;0000;0;
180904;0100;0;
180904;0200;0;
180904;0300;0;
180904;0400;0;
180904;0500;0;
180904;0600;0;
180904;0700;0;
180904;0800;0;
180904;0900;0;
180904;1000;0;
180904;1100;0;
180904;1200;0;
180904;1300;0,0166667;
180904;1400;0;
180904;1500;0;
180904;1600;3,36312e-43;
180904;1700;2,69049e-43;
180904;1800;1,79366e-43;
180904;1900;0;
180904;2000;0;
180904;2100;0;
180904;2200;0;
180904;2300;0;
180905;0000;0;
180905;0100;0;
180905;0200;0;
180905;0300;0;
180905;0400;0;
180905;0500;0;
180905;0600;0;
180905;0700;0;
180905;0800;4,48416e-44;
180905;0900;0;
180905;1000;5,15678e-43;
180905;1100;4,25995e-43;
180905;1200;4,03574e-43;
180905;1300;0,166667;
180905;1400;0,233333;
180905;1500;2,69049e-43;
180905;1600;2,24208e-43;
180905;1700;1,56945e-43;
180905;1800;0;
180905;1900;0,0333333;
180905;2000;0,0166667;
180905;2100;0;
180905;2200;0,0166667;
180905;2300;0;
180906;0000;0;
180906;0100;0;
180906;0200;0;
180906;0300;0,0333333;
180906;0400;0;
180906;0500;4,70836e-43;
180906;0600;4,48416e-43;
180906;0700;0;
180906;0800;0;
180906;0900;0;
180906;1000;2,9147e-43;
180906;1100;2,46629e-43;
180906;1200;2,24208e-43;
180906;1300;2,01787e-43;
180906;1400;1,79366e-43;
180906;1500;1,12104e-43;
180906;1600;1,12104e-43;
180906;1700;8,96831e-44;
180906;1800;6,72623e-44;
180906;1900;0;
180906;2000;0;
180906;2100;2,24208e-44;
