FECHA (YYMMDD);HORA (HHMM);;
181201;0100;0;
181201;0200;4,25995e-43;
181201;0300;4,03574e-43;
181201;0400;3,81153e-43;
181201;0500;0;
181201;0600;3,36312e-43;
181201;0700;2,24208e-44;
181201;0800;2,9147e-43;
181201;0900;2,69049e-43;
181201;1000;2,46629e-43;
181201;1100;1,56945e-43;
181201;1200;8,96831e-44;
181201;1300;6,72623e-44;
181201;1400;4,48416e-44;
181201;1500;2,24208e-44;
181201;1600;0;
181201;1700;5,15678e-43;
181201;1800;4,93257e-43;
181201;1900;4,70836e-43;
181201;2000;0;
181201;2100;0;
181201;2200;0;
181201;2300;0;
181202;0000;0;
181202;0100;0;
181202;0200;0;
181202;0300;0;
181202;0400;0;
181202;0500;0;
181202;0600;0;
181202;0700;2,24208e-44;
181202;0800;0;
181202;0900;0;
181202;1000;2,24208e-44;
181202;1100;2,24208e-44;
181202;1200;0;
181202;1300;4,48416e-43;
181202;1400;4,25995e-43;
181202;1500;4,03574e-43;
181202;1600;3,58732e-43;
181202;1700;3,36312e-43;
181202;1800;3,13891e-43;
181202;1900;2,9147e-43;
181202;2000;2,69049e-43;
181202;2100;2,46629e-43;
181202;2200;0;
181202;2300;2,01787e-43;
181203;0000;1,79366e-43;
181203;0100;1,56945e-43;
181203;0200;1,34525e-43;
181203;0300;1,12104e-43;
181203;0400;8,96831e-44;
181203;0500;6,72623e-44;
181203;0600;4,48416e-44;
181203;0700;2,24208e-44;
181203;0800;0;
181203;0900;0;
181203;1000;4,48416e-44;
181203;1100;0;
181203;1200;0;
181203;1300;3,81153e-43;
181203;1400;3,58732e-43;
181203;1500;3,36312e-43;
181203;1600;3,13891e-43;
181203;1700;2,46629e-43;
181203;1800;2,24208e-43;
181203;1900;2,01787e-43;
181203;2000;1,79366e-43;
181203;2100;1,56945e-43;
181203;2200;1,34525e-43;
181203;2300;1,12104e-43;
181204;0000;8,96831e-44;
181204;0100;6,72623e-44;
181204;0200;4,48416e-44;
181204;0300;2,24208e-44;
181204;0400;0;
181204;0500;5,8294e-43;
181204;0600;5,60519e-43;
181204;0700;5,38099e-43;
181204;0800;5,15678e-43;
181204;0900;4,93257e-43;
181204;1000;4,25995e-43;
181204;1100;0;
181204;1200;2,69049e-43;
181204;1300;2,46629e-43;
181204;1400;2,24208e-43;
181204;1500;2,01787e-43;
181204;1600;1,79366e-43;
181204;1700;1,56945e-43;
181204;1800;1,34525e-43;
181204;1900;1,12104e-43;
181204;2000;8,96831e-44;
181204;2100;6,72623e-44;
181204;2200;4,48416e-44;
181204;2300;2,24208e-44;
181205;0000;0;
181205;0100;6,72623e-43;
181205;0200;6,50202e-43;
181205;0300;6,27782e-43;
181205;0400;6,05361e-43;
181205;0500;5,8294e-43;
181205;0600;5,60519e-43;
181205;0700;5,38099e-43;
181205;0800;4,93257e-43;
181205;0900;4,48416e-43;
181205;1000;3,36312e-43;
181205;1100;2,46629e-43;
181205;1200;2,01787e-43;
181205;1300;1,56945e-43;
181205;1400;1,34525e-43;
181205;1500;1,12104e-43;
181205;1600;8,96831e-44;
181205;1700;6,72623e-44;
181205;1800;4,48416e-44;
181205;1900;2,24208e-44;
181205;2000;0;
181205;2100;6,95044e-43;
181205;2200;6,72623e-43;
181205;2300;0;
181206;0000;0;
181206;0100;0;
181206;0200;0;
181206;0300;0;
181206;0400;0;
