FECHA (YYMMDD);HORA (HHMM);;
180301;0100;0,3;
180301;0200;0,5;
180301;0300;0,1;
180301;0400;;
180301;0500;0,2;
180301;0600;0,3;
180301;0700;0,2;
180301;0800;0;
180301;0900;0,5;
180301;1000;0,9;
180301;1100;1,3;
180301;1200;1,7;
180301;1300;1,8;
180301;1400;1,7;
180301;1500;2,1;
180301;1600;2,1;
180301;1700;2,5;
180301;1800;4;
180301;1900;3,5;
180301;2000;2,3;
180301;2100;1,6;
180301;2200;1,4;
180301;2300;1,1;
180302;0000;0,9;
180302;0100;0,7;
180302;0200;0,4;
180302;0300;0,7;
180302;0400;0,7;
180302;0500;1,2;
180302;0600;0,8;
180302;0700;0,7;
180302;0800;0,6;
180302;0900;0,7;
180302;1000;1,2;
180302;1100;1,2;
180302;1200;1,3;
180302;1300;1,2;
180302;1400;1,7;
180302;1500;2,2;
180302;1600;4,4;
180302;1700;4;
180302;1800;3,8;
180302;1900;3,1;
180302;2000;1,8;
180302;2100;1,9;
180302;2200;1,6;
180302;2300;1,2;
180303;0000;0,8;
180303;0100;0,8;
180303;0200;0,7;
180303;0300;0,7;
180303;0400;0,5;
180303;0500;0,5;
180303;0600;0,7;
180303;0700;1,1;
180303;0800;0,6;
180303;0900;0,8;
180303;1000;1;
180303;1100;1,1;
180303;1200;1,2;
180303;1300;1,6;
180303;1400;2;
180303;1500;2,4;
180303;1600;3,6;
180303;1700;3,7;
180303;1800;3,3;
180303;1900;3,7;
180303;2000;2,1;
180303;2100;1,5;
180303;2200;0,5;
180303;2300;0,1;
180304;0000;0,2;
180304;0100;0,3;
180304;0200;0,6;
180304;0300;0,8;
180304;0400;1,7;
180304;0500;1,5;
180304;0600;1,3;
180304;0700;1,4;
180304;0800;0,8;
180304;0900;0,4;
180304;1000;1;
180304;1100;3;
180304;1200;3,2;
180304;1300;2,2;
180304;1400;2;
180304;1500;2,5;
180304;1600;3;
180304;1700;2,9;
180304;1800;2,6;
180304;1900;2,7;
180304;2000;3;
180304;2100;2;
180304;2200;0,6;
180304;2300;0,8;
180305;0000;0,4;
180305;0100;0,6;
180305;0200;0,7;
180305;0300;0,2;
180305;0400;0,3;
180305;0500;0,7;
180305;0600;0,6;
180305;0700;0,7;
180305;0800;0,6;
180305;0900;1,2;
180305;1000;1,8;
180305;1100;2,5;
180305;1200;3,2;
180305;1300;3,4;
180305;1400;3,6;
180305;1500;3,7;
180305;1600;4,2;
180305;1700;4,8;
180305;1800;5;
180305;1900;4,1;
180305;2000;2,2;
180305;2100;1,1;
180305;2200;0,9;
180305;2300;1,1;
180306;0000;0,7;
180306;0100;0,5;
180306;0200;1,1;
180306;0300;0,8;
180306;0400;1;
180306;0500;1,2;
180306;0600;0,5;
180306;0700;0,8;
180306;0800;1,1;
180306;0900;1,5;
180306;1000;1,9;
180306;1100;2;
180306;1200;2,4;
180306;1300;2,7;
180306;1400;3;
180306;1500;3;
180306;1600;3,7;
180306;1700;3,7;
180306;1800;3,2;
180306;1900;2,6;
180306;2000;1,9;
180306;2100;1,2;
180306;2200;0,6;
180306;2300;0,3;
180307;0000;0,2;
180307;0100;0,4;
180307;0200;0,2;
180307;0300;0;
180307;0400;0;
180307;0500;0,1;
180307;0600;0;
180307;0700;0;
180307;0800;0,1;
180307;0900;0,2;
180307;1000;0,6;
180307;1100;1,1;
180307;1200;1,4;
180307;1300;1,5;
180307;1400;1,8;
180307;1500;3,1;
180307;1600;5;
180307;1700;4,7;
180307;1800;3,2;
180307;1900;2,3;
180307;2000;1,9;
180307;2100;1,6;
180307;2200;1,6;
180307;2300;1,9;
180308;0000;1,4;
180308;0100;0,9;
180308;0200;0,8;
180308;0300;0,7;
180308;0400;0,8;
180308;0500;0,2;
180308;0600;0,7;
180308;0700;0,7;
180308;0800;0,9;
180308;0900;1,1;
180308;1000;0,6;
180308;1100;1,2;
180308;1200;0,9;
180308;1300;1,4;
180308;1400;1,6;
180308;1500;2;
180308;1600;2,8;
180308;1700;4,8;
180308;1800;4,3;
180308;1900;3;
180308;2000;2;
180308;2100;1,4;
180308;2200;1;
180308;2300;0,6;
180309;0000;0,5;
180309;0100;0,2;
180309;0200;0,7;
180309;0300;0,2;
180309;0400;1,1;
180309;0500;1;
180309;0600;0,6;
180309;0700;3,2;
180309;0800;2;
180309;0900;1,5;
180309;1000;0,9;
180309;1100;1,6;
180309;1200;1,2;
180309;1300;0,8;
180309;1400;2,6;
180309;1500;2;
180309;1600;2;
180309;1700;2,2;
180309;1800;2,8;
180309;1900;1,8;
180309;2000;1,5;
180309;2100;1,3;
180309;2200;1,3;
180309;2300;0,5;
180310;0000;0,6;
180310;0100;0,7;
180310;0200;0,4;
180310;0300;0,1;
180310;0400;0,2;
180310;0500;0,1;
180310;0600;0,4;
180310;0700;0,6;
180310;0800;0,6;
180310;0900;0,6;
180310;1000;0,4;
180310;1100;0,9;
