FECHA (YYMMDD);HORA (HHMM);;
171201;0100;0,6;
171201;0200;0,5;
171201;0300;0,7;
171201;0400;0,5;
171201;0500;0,7;
171201;0600;0,6;
171201;0700;1,4;
171201;0800;2,8;
171201;0900;3;
171201;1000;3,1;
171201;1100;3,4;
171201;1200;3,6;
171201;1300;3,7;
171201;1400;3,5;
171201;1500;3,6;
171201;1600;3,6;
171201;1700;4;
171201;1800;3,3;
171201;1900;2,6;
171201;2000;2,5;
171201;2100;1,8;
171201;2200;1,5;
171201;2300;1;
171202;0000;0,8;
171202;0100;0,6;
171202;0200;0,5;
171202;0300;0,6;
171202;0400;0,6;
171202;0500;0,3;
171202;0600;0,3;
171202;0700;0,9;
171202;0800;1,3;
171202;0900;1,2;
171202;1000;1,3;
171202;1100;1,8;
171202;1200;1,8;
171202;1300;2,1;
171202;1400;2,4;
171202;1500;3,2;
171202;1600;3,8;
171202;1700;4;
171202;1800;3,7;
171202;1900;2,9;
171202;2000;2,6;
171202;2100;2,1;
171202;2200;1,7;
171202;2300;1,5;
171203;0000;1,4;
171203;0100;1,6;
171203;0200;1,4;
171203;0300;1;
171203;0400;0,5;
171203;0500;0,7;
171203;0600;0,7;
171203;0700;0,6;
171203;0800;0,7;
171203;0900;0,9;
171203;1000;0,8;
171203;1100;1,1;
171203;1200;1,4;
171203;1300;1,3;
171203;1400;1,6;
171203;1500;2;
171203;1600;2,3;
171203;1700;3;
171203;1800;3,9;
171203;1900;3,5;
171203;2000;2,1;
171203;2100;1,7;
171203;2200;1,7;
171203;2300;1,6;
171204;0000;2,2;
171204;0100;1,5;
171204;0200;1,2;
171204;0300;1,4;
171204;0400;1,1;
171204;0500;1,4;
171204;0600;1,1;
171204;0700;1,2;
171204;0800;1,8;
171204;0900;1,8;
171204;1000;1,4;
171204;1100;1,8;
171204;1200;2,3;
171204;1300;2,8;
171204;1400;2,9;
171204;1500;3,2;
171204;1600;3,3;
171204;1700;3,2;
171204;1800;2,9;
171204;1900;2,4;
171204;2000;2,6;
171204;2100;2;
171204;2200;1,2;
171204;2300;1;
171205;0000;0,6;
171205;0100;0,4;
171205;0200;0,6;
171205;0300;0,4;
171205;0400;0,5;
171205;0500;0,6;
171205;0600;0,2;
171205;0700;0,4;
171205;0800;0,7;
171205;0900;1,1;
171205;1000;1,5;
171205;1100;1,8;
171205;1200;2,1;
171205;1300;2,5;
171205;1400;3;
171205;1500;3,5;
171205;1600;3,7;
171205;1700;3,6;
171205;1800;3,1;
171205;1900;3,1;
171205;2000;3;
171205;2100;2,5;
171205;2200;2,6;
171205;2300;2,1;
171206;0000;2,1;
171206;0100;2,2;
171206;0200;1,9;
171206;0300;1;
171206;0400;1,1;
171206;0500;1;
171206;0600;0,5;
171206;0700;0,6;
171206;0800;1,2;
171206;0900;1;
171206;1000;1,4;
171206;1100;1,3;
171206;1200;1,6;
171206;1300;2;
171206;1400;2,4;
171206;1500;2,8;
171206;1600;3,3;
171206;1700;4,2;
171206;1800;3,2;
171206;1900;2,8;
171206;2000;2,9;
171206;2100;1,7;
171206;2200;1,7;
171206;2300;1,6;
171207;0000;1,5;
171207;0100;1,2;
171207;0200;1,7;
171207;0300;1;
171207;0400;1,2;
171207;0500;0,9;
171207;0600;0,8;
171207;0700;0,7;
171207;0800;1;
171207;0900;1,4;
171207;1000;1,4;
171207;1100;2,1;
171207;1200;2,4;
171207;1300;2,6;
171207;1400;2,8;
171207;1500;3,6;
171207;1600;4,1;
171207;1700;3,3;
171207;1800;3,2;
171207;1900;2,9;
171207;2000;2,7;
171207;2100;2,1;
171207;2200;1,7;
171207;2300;1,3;
171208;0000;1,2;
171208;0100;0,9;
171208;0200;0,7;
171208;0300;0,4;
171208;0400;0,4;
171208;0500;1,2;
171208;0600;1,2;
171208;0700;0,9;
171208;0800;0,8;
171208;0900;1;
171208;1000;1,2;
171208;1100;1,7;
171208;1200;2,1;
171208;1300;2,6;
171208;1400;2,5;
171208;1500;3,9;
171208;1600;4;
171208;1700;4,4;
171208;1800;4,6;
171208;1900;3,6;
171208;2000;3,6;
171208;2100;3,5;
171208;2200;2,5;
171208;2300;0,9;
171209;0000;0,6;
171209;0100;0,7;
171209;0200;0,9;
171209;0300;0,9;
171209;0400;1;
171209;0500;0,9;
171209;0600;1,2;
171209;0700;1,3;
171209;0800;1,1;
171209;0900;1,1;
171209;1000;1,4;
171209;1100;2;
171209;1200;2,4;
171209;1300;2,4;
171209;1400;3,1;
171209;1500;2,8;
171209;1600;3,3;
171209;1700;3,3;
171209;1800;3,3;
171209;1900;3,2;
171209;2000;2,4;
171209;2100;2,2;
171209;2200;1,8;
171209;2300;1,3;
171210;0000;1,1;
171210;0100;1,1;
171210;0200;1;
171210;0300;0,7;
171210;0400;0,8;
171210;0500;1,3;
171210;0600;1,7;
171210;0700;2,7;
171210;0800;2,3;
171210;0900;2,2;
171210;1000;2,7;
171210;1100;2,8;
171210;1200;3,2;
171210;1300;3,3;
171210;1400;4;
171210;1500;4,8;
171210;1600;4,5;
171210;1700;4,2;
171210;1800;3,8;
171210;1900;3;
171210;2000;2,2;
171210;2100;1,8;
171210;2200;1,4;
171210;2300;1,2;
171211;0000;1;
171211;0100;0,9;
171211;0200;0,8;
171211;0300;0,2;
171211;0400;0,4;
171211;0500;0,4;
171211;0600;0,7;
171211;0700;0,9;
171211;0800;0,4;
171211;0900;0,6;
171211;1000;1,4;
171211;1100;2,4;
171211;1200;2,5;
171211;1300;3,6;
171211;1400;3,5;
171211;1500;4;
171211;1600;3,2;
171211;1700;3;
171211;1800;2,4;
171211;1900;2,6;
171211;2000;3,7;
171211;2100;2,8;
171211;2200;1,5;
171211;2300;0,5;
171212;0000;0,2;
171212;0100;0,7;
171212;0200;0,6;
171212;0300;0;
171212;0400;0,2;
171212;0500;0,6;
171212;0600;0,2;
171212;0700;0,4;
171212;0800;0,3;
171212;0900;0,3;
171212;1000;0,6;
171212;1100;0,2;
171212;1200;0,3;
171212;1300;0,9;
171212;1400;1,5;
171212;1500;1,5;
171212;1600;1,5;
171212;1700;1;
171212;1800;1,3;
171212;1900;1,6;
171212;2000;1,1;
171212;2100;1,1;
171212;2200;1;
171212;2300;0,8;
171213;0000;1,4;
171213;0100;1;
171213;0200;0,9;
171213;0300;0,6;
171213;0400;0,3;
171213;0500;0,3;
171213;0600;0;
171213;0700;0;
171213;0800;0;
171213;0900;0,3;
171213;1000;1,1;
171213;1100;0,9;
171213;1200;1,3;
171213;1300;1,1;
171213;1400;2,2;
171213;1500;2,3;
171213;1600;1,9;
171213;1700;2,7;
171213;1800;3,3;
171213;1900;2,9;
171213;2000;2,4;
171213;2100;1,6;
171213;2200;1,5;
171213;2300;0,9;
171214;0000;0,8;
171214;0100;1,5;
171214;0200;0,8;
171214;0300;0,6;
171214;0400;1,2;
171214;0500;0,8;
171214;0600;0,4;
171214;0700;0,5;
171214;0800;0,8;
171214;0900;1,3;
171214;1000;1,3;
171214;1100;1;
171214;1200;1,1;
171214;1300;1,5;
171214;1400;2;
171214;1500;3,1;
171214;1600;2;
171214;1700;1;
171214;1800;0,7;
171214;1900;0,5;
171214;2000;0,6;
171214;2100;0,9;
171214;2200;0,9;
171214;2300;1,3;
171215;0000;0,8;
171215;0100;0,6;
171215;0200;0,5;
171215;0300;0,5;
171215;0400;0,5;
171215;0500;1,3;
171215;0600;1;
171215;0700;1;
171215;0800;1,2;
171215;0900;0,9;
171215;1000;0,9;
171215;1100;1,2;
171215;1200;1,6;
171215;1300;2,5;
171215;1400;3,2;
171215;1500;3,4;
171215;1600;3,3;
171215;1700;3,8;
171215;1800;4,7;
171215;1900;3,4;
171215;2000;1,5;
171215;2100;1;
171215;2200;1,3;
171215;2300;0,8;
171216;0000;0,6;
171216;0100;0,8;
171216;0200;0,5;
171216;0300;0,3;
171216;0400;1,3;
171216;0500;3,2;
171216;0600;3;
171216;0700;4,2;
171216;0800;4,9;
171216;0900;5,4;
171216;1000;5,1;
171216;1100;5,2;
171216;1200;5;
171216;1300;2,4;
171216;1400;4,2;
171216;1500;5,9;
171216;1600;6;
171216;1700;5,9;
171216;1800;5,5;
171216;1900;5,3;
171216;2000;4,3;
171216;2100;2;
171216;2200;0,6;
171216;2300;0,5;
171217;0000;0,7;
171217;0100;0,3;
171217;0200;0,7;
171217;0300;0,7;
171217;0400;0,2;
171217;0500;0,2;
171217;0600;0,2;
171217;0700;0,8;
171217;0800;0,9;
171217;0900;2,2;
171217;1000;2,7;
171217;1100;3,1;
171217;1200;3,8;
171217;1300;3,8;
171217;1400;4,1;
171217;1500;4,4;
171217;1600;5,3;
171217;1700;5;
171217;1800;4,6;
171217;1900;3,6;
171217;2000;2,6;
171217;2100;1,7;
171217;2200;1,4;
171217;2300;0,7;
171218;0000;0,4;
171218;0100;0,3;
171218;0200;0,4;
171218;0300;0,1;
171218;0400;0,3;
171218;0500;0,2;
171218;0600;0,4;
171218;0700;0,9;
171218;0800;2,1;
171218;0900;1,9;
171218;1000;2,8;
171218;1100;2,6;
171218;1200;3,4;
171218;1300;2,9;
171218;1400;2,9;
171218;1500;2,9;
171218;1600;3,2;
171218;1700;4;
171218;1800;3,6;
171218;1900;3;
171218;2000;2,6;
171218;2100;2;
171218;2200;1,7;
171218;2300;1,2;
171219;0000;1;
171219;0100;0,8;
171219;0200;0,5;
171219;0300;0,3;
171219;0400;0,4;
171219;0500;0,6;
171219;0600;0,9;
171219;0700;0,8;
171219;0800;0,9;
171219;0900;1,2;
171219;1000;1,4;
171219;1100;1,8;
171219;1200;2,3;
171219;1300;2,6;
171219;1400;3,2;
171219;1500;3,7;
171219;1600;3,7;
171219;1700;4;
171219;1800;3,4;
171219;1900;2,7;
171219;2000;2,1;
171219;2100;1,9;
171219;2200;1,4;
171219;2300;1;
171220;0000;0,9;
171220;0100;0,8;
171220;0200;0,5;
171220;0300;1,1;
171220;0400;0,8;
171220;0500;0,7;
171220;0600;0,3;
171220;0700;0,5;
171220;0800;1,2;
171220;0900;1;
171220;1000;1,1;
171220;1100;1,6;
171220;1200;2,5;
171220;1300;2,5;
171220;1400;4,5;
171220;1500;3,9;
171220;1600;3,8;
171220;1700;3,5;
171220;1800;2,9;
171220;1900;3;
171220;2000;2,4;
171220;2100;2,7;
171220;2200;0,9;
171220;2300;0,3;
