FECHA (YYMMDD),HORA (HHMM),Registros validados,Registros preliminares,Registros no validados
140101,100,11,,
140101,200,11,,
140101,300,9,,
140101,400,6,,
140101,500,7,,
140101,600,4,,
140101,700,5,,
140101,800,7,,
140101,900,5,,
140101,1000,8,,
140101,1100,7,,
140101,1200,7,,
140101,1300,8,,
140101,1400,7,,
140101,1500,5,,
140101,1600,6,,
140101,1700,7,,
140101,1800,4,,
140101,1900,4,,
140101,2000,21,,
140101,2100,11,,
140101,2200,5,,
140101,2300,4,,
140102,0,4,,
140102,100,5,,
140102,200,5,,
140102,300,4,,
140102,400,4,,
140102,500,4,,
140102,600,4,,
140102,700,4,,
140102,800,4,,
140102,900,4,,
140102,1000,4,,
140102,1100,4,,
140102,1200,4,,
140102,1300,4,,
140102,1400,4,,
140102,1500,4,,
140102,1600,4,,
140102,1700,4,,
140102,1800,4,,
140102,1900,4,,
140102,2000,5,,
140102,2100,13,,
140102,2200,11,,
140102,2300,18,,
140103,0,16,,
140103,100,10,,
140103,200,5,,
140103,300,7,,
140103,400,5,,
140103,500,6,,
140103,600,5,,
140103,700,4,,
140103,800,4,,
140103,900,4,,
140103,1000,4,,
140103,1100,4,,
140103,1200,4,,
140103,1300,4,,
140103,1400,4,,
140103,1500,4,,
140103,1600,4,,
140103,1700,4,,
140103,1800,4,,
140103,1900,4,,
140103,2000,4,,
140103,2100,4,,
140103,2200,5,,
140103,2300,4,,
140104,0,4,,
140104,100,4,,
140104,200,4,,
140104,300,15,,
140104,400,4,,
140104,500,4,,
140104,600,4,,
140104,700,5,,
140104,800,4,,
140104,900,4,,
140104,1000,4,,
140104,1100,4,,
140104,1200,4,,
140104,1300,4,,
140104,1400,4,,
140104,1500,4,,
140104,1600,4,,
140104,1700,4,,
140104,1800,4,,
140104,1900,4,,
140104,2000,4,,
140104,2100,4,,
140104,2200,4,,
140104,2300,6,,
140105,0,4,,
140105,100,4,,
140105,200,4,,
140105,300,4,,
140105,400,4,,
140105,500,4,,
140105,600,4,,
140105,700,4,,
140105,800,4,,
140105,900,4,,
140105,1000,4,,
140105,1100,4,,
140105,1200,4,,
140105,1300,4,,
140105,1400,4,,
140105,1500,10,,
140105,1600,5,,
140105,1700,4,,
140105,1800,4,,
140105,1900,4,,
140105,2000,4,,
140105,2100,5,,
140105,2200,4,,
140105,2300,4,,
140106,0,4,,
140106,100,4,,
140106,200,4,,
140106,300,4,,
140106,400,4,,
140106,500,4,,
140106,600,4,,
140106,700,4,,
140106,800,4,,
140106,900,4,,
140106,1000,4,,
140106,1100,4,,
140106,1200,4,,
140106,1300,4,,
140106,1400,4,,
140106,1500,4,,
140106,1600,4,,
140106,1700,4,,
140106,1800,4,,
140106,1900,4,,
140106,2000,4,,
140106,2100,4,,
140106,2200,4,,
140106,2300,4,,
140107,0,4,,
140107,100,4,,
140107,200,4,,
140107,300,4,,
140107,400,4,,
140107,500,4,,
140107,600,4,,
140107,700,4,,
140107,800,4,,
140107,900,4,,
140107,1000,4,,
140107,1100,4,,
140107,1200,4,,
140107,1300,4,,
140107,1400,4,,
140107,1500,4,,
140107,1600,4,,
140107,1700,6,,
140107,1800,4,,
140107,1900,6,,
140107,2000,7,,
140107,2100,5,,
140107,2200,4,,
140107,2300,5,,
140108,0,7,,
140108,100,6,,
140108,200,6,,
140108,300,6,,
140108,400,6,,
140108,500,8,,
140108,600,9,,
140108,700,17,,
140108,800,12,,
140108,900,8,,
140108,1000,7,,
140108,1100,4,,
140108,1200,4,,
140108,1300,4,,
140108,1400,4,,
140108,1500,4,,
140108,1600,4,,
140108,1700,5,,
140108,1800,4,,
140108,1900,4,,
140108,2000,4,,
140108,2100,4,,
140108,2200,5,,
140108,2300,8,,
140109,0,9,,
140109,100,8,,
140109,200,4,,
140109,300,4,,
140109,400,4,,
140109,500,5,,
140109,600,7,,
140109,700,7,,
140109,800,6,,
140109,900,7,,
140109,1000,6,,
140109,1100,5,,
140109,1200,13,,
140109,1300,7,,
140109,1400,4,,
140109,1500,4,,
140109,1600,4,,
140109,1700,4,,
140109,1800,4,,
140109,1900,4,,
140109,2000,6,,
140109,2100,9,,
140109,2200,8,,
140109,2300,8,,
140110,0,10,,
140110,100,8,,
140110,200,8,,
140110,300,6,,
140110,400,4,,
140110,500,4,,
140110,600,8,,
140110,700,10,,
