FECHA (YYMMDD);HORA (HHMM);;
190603;0100;75,8011;
190603;0200;56,6494;
190603;0300;43,616;
190603;0400;74,3873;
190603;0500;72,8704;
190603;0600;64,7694;
190603;0700;52,1715;
190603;0800;31,5514;
190603;0900;354,097;
190603;1000;74,3608;
190603;1100;63,7977;
190603;1200;39,4399;
190603;1300;14,1412;
190603;1400;273,164;
190603;1500;1,76672;
190603;1600;306,233;
190603;1700;310,526;
190603;1800;345,464;
190603;1900;11,7428;
190603;2000;17,5671;
190603;2100;301,755;
190603;2200;342,91;
190603;2300;73,9342;
190604;0000;65,5323;
190604;0100;50,1784;
190604;0200;36,835;
190604;0300;325,319;
190604;0400;349,403;
190604;0500;31,7679;
190604;0600;47,2955;
190604;0700;77,6259;
190604;0800;76,1981;
190604;0900;75,6935;
190604;1000;76,059;
190604;1100;76,7399;
190604;1200;76,9417;
190604;1300;77,7759;
190604;1400;68,874;
190604;1500;73,2371;
190604;1600;76,5974;
190604;1700;75,8083;
190604;1800;74,5856;
190604;1900;76,6484;
190604;2000;70,799;
190604;2100;73,1854;
190604;2200;51,0781;
190604;2300;37,8201;
190605;0000;0,448652;
190605;0100;4,34428;
190605;0200;7,88704;
190605;0300;19,8035;
190605;0400;19,1009;
190605;0500;52,651;
190605;0600;28,4656;
190605;0700;40,0294;
190605;0800;44,2315;
190605;0900;50,807;
190605;1000;50,1415;
190605;1100;64,6663;
190605;1200;74,9623;
190605;1300;71,8567;
190605;1400;68,8527;
190605;1500;74,825;
190605;1600;71,03;
190605;1700;62,1446;
190605;1800;310,1;
190605;1900;241,764;
190605;2000;201,682;
190605;2100;229,133;
190605;2200;205,132;
190605;2300;237,325;
190606;0000;348,539;
190606;0100;18,2119;
190606;0200;356,487;
190606;0300;51,8126;
190606;0400;247,749;
190606;0500;164,663;
190606;0600;351,8;
190606;0700;11,5952;
190606;0800;6,78762;
190606;0900;353,23;
190606;1000;343,602;
190606;1100;226,759;
190606;1200;216,414;
190606;1300;235,75;
190606;1400;235,709;
190606;1500;228,235;
190606;1600;236,859;
190606;1700;236,293;
190606;1800;253,287;
190606;1900;337,123;
190606;2000;3,93099;
190606;2100;31,8133;
190606;2200;53,3661;
190606;2300;52,9286;
190607;0000;56,9791;
190607;0100;58,1908;
190607;0200;41,1904;
190607;0300;43,432;
190607;0400;55,858;
190607;0500;58,4274;
190607;0600;63,0553;
190607;0700;58,0469;
190607;0800;58,3411;
190607;0900;62,0486;
190607;1000;68,6917;
190607;1100;76,8405;
190607;1200;75,5656;
190607;1300;62,7558;
190607;1400;73,6743;
190607;1500;74,3826;
190607;1600;74,9022;
190607;1700;345,576;
190607;1800;327,134;
190607;1900;354,269;
190607;2000;6,3295;
190607;2100;21,5079;
190607;2200;318,129;
190607;2300;331,653;
190608;0000;315,705;
190608;0100;33,7107;
190608;0200;45,9297;
190608;0300;47,1494;
190608;0400;62,1616;
190608;0500;65,4509;
190608;0600;70,826;
190608;0700;68,7064;
190608;0800;65,2587;
190608;0900;63,5444;
190608;1000;63,4201;
190608;1100;67,321;
190608;1200;72,2034;
190608;1300;69,795;
190608;1400;67,2109;
190608;1500;90,3058;
190608;1600;246,155;
190608;1700;349,595;
190608;1800;351,44;
190608;1900;22,8789;
190608;2000;321,273;
190608;2100;106,703;
190608;2200;66,7502;
190608;2300;60,2859;
190609;0000;53,9763;
190609;0100;351,652;
190609;0200;337,994;
190609;0300;9,22778;
190609;0400;341,943;
190609;0500;358,825;
190609;0600;359,929;
190609;0700;296,481;
190609;0800;85,5647;
190609;0900;79,8649;
190609;1000;75,1401;
190609;1100;77,4517;
190609;1200;75,4835;
190609;1300;75,0455;
190609;1400;70,8544;
190609;1500;77,0833;
190609;1600;73,6842;
190609;1700;37,4476;
190609;1800;233,115;
190609;1900;220,814;
190609;2000;234,556;
190609;2100;236,359;
190609;2200;261,242;
190609;2300;247,126;
190610;0000;257,213;
190610;0100;279,292;
190610;0200;253,444;
190610;0300;252,493;
190610;0400;303,806;
190610;0500;47,4855;
190610;0600;71,9965;
190610;0700;66,2811;
190610;0800;350,692;
190610;0900;348,16;
190610;1000;227,093;
190610;1100;239,357;
190610;1200;242,501;
190610;1300;242,937;
190610;1400;239,303;
190610;1500;214,752;
190610;1600;223,551;
190610;1700;252,952;
190610;1800;309,758;
190610;1900;269,189;
190610;2000;254,839;
190610;2100;255,802;
190610;2200;260,427;
190610;2300;278,445;
190611;0000;259,197;
190611;0100;242,663;
190611;0200;244,682;
190611;0300;291,676;
190611;0400;252,736;
190611;0500;254,595;
190611;0600;248,281;
190611;0700;280,786;
190611;0800;247,462;
190611;0900;236,498;
190611;1000;233,128;
190611;1100;233,922;
190611;1200;240,332;
190611;1300;246,574;
190611;1400;251,947;
190611;1500;263,003;
190611;1600;298,366;
190611;1700;313,091;
190611;1800;50,205;
190611;1900;17,1079;
190611;2000;28,8448;
190611;2100;7,89127;
190611;2200;343,84;
190611;2300;330,383;
190612;0000;295,291;
190612;0100;15,6367;
190612;0200;13,8818;
190612;0300;58,2322;
190612;0400;69,7806;
190612;0500;68,2467;
190612;0600;75,0342;
190612;0700;71,4967;
190612;0800;73,5027;
190612;0900;73,0165;
190612;1000;76,5609;
190612;1100;71,593;
190612;1200;76,9379;
190612;1300;77,4904;
190612;1400;72,4039;
190612;1500;70,0492;
190612;1600;60,0751;
190612;1700;52,7177;
190612;1800;64,2751;
190612;1900;61,4291;
190612;2000;68,6064;
190612;2100;51,7013;
190612;2200;69,15;
190612;2300;15,6924;
190613;0000;74,4216;
190613;0100;228,199;
190613;0200;234,783;
190613;0300;228,983;
190613;0400;15,7769;
190613;0500;7,21622;
190613;0600;5,2082;
190613;0700;78,097;
190613;0800;41,0254;
190613;0900;30,6478;
190613;1000;74,5824;
190613;1100;72,85;
190613;1200;75,4902;
190613;1300;66,8156;
190613;1400;334,971;
190613;1500;322,249;
190613;1600;325,175;
190613;1700;341,753;
190613;1800;8,10796;
190613;1900;16,6799;
190613;2000;21,4068;
190613;2100;62,1031;
190613;2200;48,8519;
190613;2300;83,1423;
190614;0000;73,9384;
190614;0100;68,3483;
190614;0200;68,6978;
190614;0300;26,1528;
190614;0400;337,252;
190614;0500;336,246;
190614;0600;38,3433;
190614;0700;62,168;
190614;0800;275,006;
190614;0900;257,565;
190614;1000;277,374;
190614;1100;268,166;
190614;1200;267,363;
190614;1300;228,094;
190614;1400;229,742;
190614;1500;228,058;
190614;1600;241,877;
190614;1700;246,398;
190614;1800;257,079;
190614;1900;261,774;
190614;2000;269,797;
190614;2100;273,856;
190614;2200;255,876;
190614;2300;330,703;
190615;0000;353,822;
190615;0100;304,761;
190615;0200;242,747;
190615;0300;235,919;
190615;0400;241,725;
190615;0500;232,779;
190615;0600;241,873;
190615;0700;248,949;
190615;0800;271,964;
190615;0900;310,741;
190615;1000;239,883;
190615;1100;279,62;
190615;1200;328,085;
190615;1300;352,463;
190615;1400;36,3827;
190615;1500;74,9979;
190615;1600;87,5969;
190615;1700;56,3179;
190615;1800;52,2675;
190615;1900;1,6783;
190615;2000;15,2056;
190615;2100;58,6295;
190615;2200;63,7774;
190615;2300;62,2256;
190616;0000;51,6455;
190616;0100;35,2368;
190616;0200;10,1613;
190616;0300;327,129;
190616;0400;33,3609;
190616;0500;38,434;
190616;0600;29,7918;
190616;0700;45,8484;
190616;0800;42,3587;
190616;0900;21,014;
190616;1000;310,277;
190616;1100;264,632;
190616;1200;75,6775;
190616;1300;74,6418;
190616;1400;75,8455;
190616;1500;72,4707;
190616;1600;70,29;
190616;1700;62,9947;
190616;1800;349,022;
190616;1900;353,845;
190616;2000;5,02187;
190616;2100;344,978;
190616;2200;250,906;
190616;2300;342,808;
