FECHA (YYMMDD);HORA (HHMM);;
190603;0100;1006,61;
190603;0200;1006,7;
190603;0300;1006,11;
190603;0400;1005,78;
190603;0500;1005,52;
190603;0600;1005,19;
190603;0700;1005,19;
190603;0800;1005,35;
190603;0900;1005,33;
190603;1000;1004,67;
190603;1100;1004;
190603;1200;1004;
190603;1300;1003,08;
190603;1400;1002,75;
190603;1500;1002;
190603;1600;1002;
190603;1700;1001,67;
190603;1800;1001,67;
190603;1900;1001,75;
190603;2000;1002;
190603;2100;1001,71;
190603;2200;1001,79;
190603;2300;1000,96;
190604;0000;1000,46;
190604;0100;1000,87;
190604;0200;1000,04;
190604;0300;999,785;
190604;0400;999,034;
190604;0500;999,033;
190604;0600;998,365;
190604;0700;997,698;
190604;0800;997,613;
190604;0900;998,029;
190604;1000;998;
190604;1100;998,002;
190604;1200;998,001;
190604;1300;996,583;
190604;1400;996,25;
190604;1500;996,183;
190604;1600;996,092;
190604;1700;996;
190604;1800;995,86;
190604;1900;995,44;
190604;2000;996,271;
190604;2100;996,021;
190604;2200;996,353;
190604;2300;997,019;
190605;0000;997,851;
190605;0100;998,017;
190605;0200;998,266;
190605;0300;998,515;
190605;0400;998,847;
190605;0500;999,013;
190605;0600;999,012;
190605;0700;999,428;
190605;0800;1000,01;
190605;0900;1000,01;
190605;1000;1000;
190605;1100;1000;
190605;1200;999,583;
190605;1300;998,917;
190605;1400;997,75;
190605;1500;996,781;
190605;1600;996;
190605;1700;995,75;
190605;1800;995,014;
190605;1900;995,763;
190605;2000;997,012;
190605;2100;997,094;
190605;2200;998,01;
190605;2300;998,509;
190606;0000;999,008;
190606;0100;999,007;
190606;0200;999,006;
190606;0300;999,005;
190606;0400;999,004;
190606;0500;999,003;
190606;0600;999,002;
190606;0700;999,334;
190606;0800;1000,33;
190606;0900;1001,42;
190606;1000;1002,17;
190606;1100;1003;
190606;1200;1003,09;
190606;1300;1004;
190606;1400;1004;
190606;1500;1004,83;
190606;1600;1005,5;
190606;1700;1006,5;
