FECHA (YYMMDD);HORA (HHMM);;
190603;0100;10,2654;
190603;0200;9,70042;
190603;0300;9,68791;
190603;0400;9,50372;
190603;0500;9,26706;
190603;0600;9,29036;
190603;0700;9,23618;
190603;0800;9,13533;
190603;0900;9,20833;
190603;1000;10,1708;
190603;1100;11,295;
190603;1200;12,9675;
190603;1300;14,3608;
190603;1400;14,6342;
190603;1500;14,4858;
190603;1600;13,7817;
190603;1700;13,16;
190603;1800;12,7492;
190603;1900;12,5475;
190603;2000;12,3917;
190603;2100;12,4331;
190603;2200;12,5048;
190603;2300;13,1581;
190604;0000;13,3248;
190604;0100;13,0673;
190604;0200;13,0498;
190604;0300;12,5488;
190604;0400;12,6655;
190604;0500;12,8613;
190604;0600;12,7488;
190604;0700;13,9597;
190604;0800;14,0413;
190604;0900;13,1963;
190604;1000;13,0758;
190604;1100;13,1325;
190604;1200;13,37;
190604;1300;13,7392;
190604;1400;13,86;
190604;1500;13,8158;
190604;1600;13,6392;
190604;1700;13,925;
190604;1800;13,3754;
190604;1900;12,9337;
190604;2000;12,5486;
190604;2100;12,2195;
190604;2200;12,3061;
190604;2300;11,9745;
190605;0000;11,8711;
190605;0100;11,472;
190605;0200;10,8935;
190605;0300;10,5035;
190605;0400;10,8085;
190605;0500;10,8494;
190605;0600;10,6719;
190605;0700;10,0119;
190605;0800;9,11432;
190605;0900;9,0993;
190605;1000;10,215;
190605;1100;12,5567;
190605;1200;14,94;
190605;1300;15,4142;
190605;1400;16,2242;
190605;1500;17,1475;
190605;1600;16,395;
190605;1700;15,5717;
190605;1800;14,3494;
190605;1900;13,6435;
190605;2000;11,6919;
190605;2100;11,6335;
190605;2200;11,9052;
190605;2300;10,9801;
190606;0000;10,2976;
190606;0100;9,56677;
190606;0200;8,9726;
190606;0300;10,5509;
190606;0400;11,1926;
190606;0500;9,85172;
190606;0600;9,03836;
190606;0700;8,83835;
190606;0800;8,89667;
190606;0900;8,72749;
190606;1000;9,68167;
190606;1100;11,1192;
190606;1200;11,9717;
190606;1300;10,4167;
190606;1400;10,8625;
190606;1500;10,9383;
190606;1600;11,6133;
190606;1700;11,3433;
190606;1800;9,8802;
190606;1900;8,49852;
190606;2000;8,17763;
190606;2100;7,84597;
190606;2200;7,22729;
190606;2300;6,58804;
190607;0000;6,53878;
190607;0100;6,12727;
190607;0200;6,37127;
190607;0300;6,35193;
190607;0400;6,75983;
190607;0500;6,91758;
190607;0600;6,62;
190607;0700;6,60099;
190607;0800;6,96798;
190607;0900;7,43767;
190607;1000;8,159;
190607;1100;9,64751;
190607;1200;10,8808;
190607;1300;12,145;
190607;1400;13,2117;
190607;1500;13,0633;
190607;1600;12,805;
190607;1700;12,2583;
190607;1800;11,3726;
190607;1900;10,7859;
190607;2000;9,65173;
190607;2100;9,04172;
190607;2200;8,91753;
190607;2300;8,80168;
190608;0000;9,24251;
190608;0100;9,14037;
190608;0200;8,93285;
190608;0300;8,12091;
190608;0400;8,19949;
190608;0500;7,79115;
190608;0600;7,19647;
190608;0700;6,4593;
190608;0800;5,67105;
190608;0900;6,11042;
190608;1000;7,22308;
190608;1100;9,34833;
190608;1200;12,1367;
190608;1300;13,9108;
190608;1400;14,4933;
190608;1500;15,0283;
190608;1600;14,6375;
190608;1700;13,6075;
190608;1800;12,1817;
190608;1900;11,8983;
190608;2000;11,6583;
190608;2100;11,4654;
190608;2200;11,2987;
190608;2300;10,8321;
190609;0000;10,8221;
190609;0100;10,8621;
190609;0200;10,6904;
190609;0300;10,0312;
190609;0400;9,46867;
190609;0500;8,81949;
190609;0600;8,61281;
190609;0700;8,54945;
190609;0800;8,5836;
190609;0900;9,82918;
190609;1000;11,185;
190609;1100;11,6283;
190609;1200;12,5333;
190609;1300;13,3708;
190609;1400;13,8933;
190609;1500;13,3925;
190609;1600;13,43;
190609;1700;12,985;
190609;1800;12,0796;
190609;1900;11,4462;
190609;2000;10,877;
190609;2100;10,7078;
190609;2200;10,6686;
190609;2300;10,6045;
190610;0000;10,392;
190610;0100;10,292;
190610;0200;10,1236;
190610;0300;9,84192;
190610;0400;9,72772;
190610;0500;9,47522;
190610;0600;9,18604;
190610;0700;8,34285;
190610;0800;7,15566;
190610;0900;6,56492;
190610;1000;7,21608;
190610;1100;7,50667;
190610;1200;7,90458;
190610;1300;8,88083;
190610;1400;10,4425;
190610;1500;11,5067;
190610;1600;11,3675;
190610;1700;9,9075;
190610;1800;7,92912;
190610;1900;8,58521;
190610;2000;8,32936;
190610;2100;7,75651;
190610;2200;7,04358;
190610;2300;6,83265;
190611;0000;6,04906;
190611;0100;6,11198;
190611;0200;5,93163;
190611;0300;5,58171;
190611;0400;5,72545;
190611;0500;5,50727;
190611;0600;4,78909;
190611;0700;4,23418;
190611;0800;4,252;
190611;0900;4,65279;
190611;1000;5,00208;
190611;1100;5,78092;
190611;1200;7,12033;
190611;1300;7,87208;
190611;1400;8,955;
190611;1500;10,1808;
190611;1600;10,1958;
190611;1700;9,56332;
190611;1800;9,34766;
190611;1900;8,16447;
190611;2000;7,86948;
190611;2100;7,07005;
190611;2200;6,68747;
190611;2300;5,96846;
190612;0000;5,86728;
190612;0100;5,84969;
190612;0200;6,27293;
190612;0300;7,57951;
190612;0400;8,314;
190612;0500;8,8289;
190612;0600;9,01889;
190612;0700;9,08888;
190612;0800;9,51387;
190612;0900;9,85052;
190612;1000;9,94881;
190612;1100;9,97833;
190612;1200;10,3733;
190612;1300;12,7392;
190612;1400;13,2075;
190612;1500;12,985;
190612;1600;12,155;
190612;1700;11,9117;
190612;1800;11,2859;
190612;1900;10,4651;
190612;2000;10,0868;
190612;2100;9,49338;
190612;2200;9,42587;
190612;2300;9,18585;
190613;0000;9,33167;
190613;0100;9,20657;
190613;0200;8,87407;
190613;0300;8,05763;
190613;0400;7,58652;
190613;0500;7,23943;
190613;0600;7,04976;
190613;0700;7,03591;
190613;0800;6,8604;
190613;0900;7,01831;
190613;1000;7,39883;
190613;1100;7,96675;
190613;1200;9,55917;
190613;1300;10,63;
190613;1400;10,8642;
190613;1500;10,8433;
190613;1600;9,96918;
190613;1700;8,62784;
190613;1800;7,45954;
190613;1900;7,47076;
190613;2000;7,22908;
190613;2100;7,47493;
190613;2200;7,5585;
190613;2300;7,71333;
190614;0000;7,76416;
190614;0100;7,1774;
190614;0200;6,27439;
190614;0300;6,12104;
190614;0400;5,22629;
190614;0500;5,18578;
190614;0600;4,25069;
190614;0700;4,07701;
190614;0800;3,63326;
190614;0900;3,95092;
190614;1000;5,83242;
190614;1100;6,74775;
190614;1200;7,80583;
190614;1300;10,295;
190614;1400;11,2517;
190614;1500;11,4292;
190614;1600;10,3342;
190614;1700;10,3617;
190614;1800;9,31627;
190614;1900;8,05064;
190614;2000;7,19884;
190614;2100;6,34275;
190614;2200;5,99033;
190614;2300;5,8254;
190615;0000;4,41398;
190615;0100;3,60424;
190615;0200;3,15799;
190615;0300;2,41723;
190615;0400;2,50198;
190615;0500;3,00613;
190615;0600;3,6638;
190615;0700;4,22209;
190615;0800;3,54704;
190615;0900;2,38983;
190615;1000;2,87483;
190615;1100;4,99992;
190615;1200;8,08008;
190615;1300;10,7333;
190615;1400;12,4167;
190615;1500;13,7367;
190615;1600;13,5608;
190615;1700;12,2267;
190615;1800;11,2427;
190615;1900;9,72769;
190615;2000;10,1377;
190615;2100;11,4502;
190615;2200;12,3459;
190615;2300;12,4493;
190616;0000;11,6784;
190616;0100;10,4051;
190616;0200;9,6926;
190616;0300;8,20291;
190616;0400;9,02106;
190616;0500;10,4583;
190616;0600;10,11;
190616;0700;9,59836;
190616;0800;10,4667;
190616;0900;10,315;
190616;1000;10,8383;
190616;1100;12,3467;
190616;1200;15,7642;
190616;1300;16,8925;
190616;1400;18,5767;
190616;1500;18,4025;
190616;1600;16,975;
190616;1700;15,0483;
190616;1800;11,7393;
190616;1900;11,7001;
190616;2000;10,6634;
190616;2100;9,3401;
190616;2200;6,72488;
190616;2300;5,54745;
