FECHA (YYMMDD);HORA (HHMM);;
190603;0100;1,67265;
190603;0200;0,819973;
190603;0300;0,6041;
190603;0400;1,00613;
190603;0500;0,931334;
190603;0600;1,17155;
190603;0700;0,569289;
190603;0800;0,285428;
190603;0900;0,35979;
190603;1000;1,55458;
190603;1100;0,984848;
190603;1200;0,735044;
190603;1300;0,207828;
190603;1400;0,489989;
190603;1500;0,0910697;
190603;1600;0,321079;
190603;1700;0,230289;
190603;1800;0,239761;
190603;1900;0,201724;
190603;2000;0,265418;
190603;2100;0,424186;
190603;2200;0,492505;
190603;2300;1,39491;
190604;0000;1,49879;
190604;0100;0,524246;
190604;0200;0,727026;
190604;0300;0,204963;
190604;0400;0,208359;
190604;0500;0,168496;
190604;0600;0,371015;
190604;0700;3,31732;
190604;0800;2,90663;
190604;0900;4,25527;
190604;1000;4,95045;
190604;1100;4,91296;
190604;1200;5,02827;
190604;1300;4,94014;
190604;1400;1,85327;
190604;1500;2,57841;
190604;1600;3,43163;
190604;1700;4,17675;
190604;1800;4,4672;
190604;1900;4,67021;
190604;2000;3,03009;
190604;2100;3,81124;
190604;2200;1,01774;
190604;2300;0,396707;
190605;0000;0,434869;
190605;0100;0,285442;
190605;0200;0,409016;
190605;0300;0,519953;
190605;0400;0,350797;
190605;0500;0,482414;
190605;0600;0,314937;
190605;0700;0,206058;
190605;0800;0,47408;
190605;0900;0,761919;
190605;1000;0,195779;
190605;1100;1,33007;
190605;1200;3,20239;
190605;1300;2,35719;
190605;1400;1,30962;
190605;1500;2,38224;
190605;1600;2,07125;
190605;1700;1,27795;
190605;1800;0,560863;
190605;1900;0,709512;
190605;2000;1,15678;
190605;2100;0,189016;
190605;2200;0,52988;
190605;2300;0,537533;
190606;0000;0,258005;
190606;0100;0,575031;
190606;0200;0,360648;
190606;0300;0,0821899;
190606;0400;0,333415;
190606;0500;0,171485;
190606;0600;0,385036;
190606;0700;0,517091;
190606;0800;0,533464;
190606;0900;0,346453;
190606;1000;0,234494;
190606;1100;0,817479;
190606;1200;1,42833;
190606;1300;1,13488;
190606;1400;2,69865;
190606;1500;1,0902;
190606;1600;1,0378;
190606;1700;1,40095;
190606;1800;0,761177;
190606;1900;0,296053;
190606;2000;0,508797;
190606;2100;0,604698;
190606;2200;0,744571;
190606;2300;0,816995;
190607;0000;0,973162;
190607;0100;1,05409;
190607;0200;0,78103;
190607;0300;0,609537;
190607;0400;0,770602;
190607;0500;0,61385;
190607;0600;0,989425;
190607;0700;0,829493;
190607;0800;0,62704;
190607;0900;0,416568;
190607;1000;1,40658;
190607;1100;1,7367;
190607;1200;1,99284;
190607;1300;0,889956;
190607;1400;0,756503;
190607;1500;1,07216;
190607;1600;0,868295;
190607;1700;0,0537063;
190607;1800;0,142938;
190607;1900;0,115313;
190607;2000;0,218502;
190607;2100;0,307945;
190607;2200;0,10093;
190607;2300;0,252689;
190608;0000;0,0905076;
190608;0100;0,207446;
190608;0200;0,394059;
190608;0300;0,315264;
190608;0400;0,845089;
190608;0500;1,11159;
190608;0600;1,34516;
190608;0700;1,59617;
190608;0800;1,15697;
190608;0900;1,32837;
190608;1000;1,31999;
190608;1100;1,75949;
190608;1200;2,16986;
190608;1300;1,47159;
190608;1400;0,388078;
190608;1500;0,373488;
190608;1600;0,32362;
190608;1700;0,0548795;
190608;1800;0,200679;
190608;1900;0,179628;
190608;2000;0,0950534;
190608;2100;0,12219;
190608;2200;0,351804;
190608;2300;0,497018;
190609;0000;0,205253;
190609;0100;0,0700974;
190609;0200;0,290754;
190609;0300;0,238427;
190609;0400;0,249137;
190609;0500;0,443155;
190609;0600;0,193931;
190609;0700;0,0466853;
190609;0800;0,330661;
190609;0900;1,45151;
190609;1000;3,01224;
190609;1100;3,63052;
190609;1200;3,13768;
190609;1300;2,75034;
190609;1400;2,05122;
190609;1500;1,93146;
190609;1600;1,57636;
190609;1700;0,165373;
190609;1800;0,889416;
190609;1900;1,60679;
190609;2000;1,81752;
190609;2100;1,09858;
190609;2200;0,904355;
190609;2300;1,72649;
190610;0000;0,875833;
190610;0100;0,901314;
190610;0200;0,751511;
190610;0300;0,394266;
190610;0400;0,155744;
190610;0500;0,146247;
190610;0600;0,99357;
190610;0700;0,682326;
190610;0800;0,138501;
190610;0900;0,073929;
190610;1000;0,622925;
190610;1100;1,86261;
190610;1200;1,685;
190610;1300;1,71245;
190610;1400;1,84532;
190610;1500;1,87876;
190610;1600;2,07645;
190610;1700;1,27302;
