FECHA (YYMMDD);HORA (HHMM);;
190603;0100;56,6602;
190603;0200;56,5849;
190603;0300;45,6058;
190603;0400;52,7646;
190603;0500;47,9153;
190603;0600;50,4511;
190603;0700;51,5701;
190603;0800;63,0875;
190603;0900;55,7622;
190603;1000;53,6144;
190603;1100;54,3688;
190603;1200;354,677;
190603;1300;341,757;
190603;1400;336,306;
190603;1500;358,532;
190603;1600;318,713;
190603;1700;341,715;
190603;1800;0,731517;
190603;1900;90,3492;
190603;2000;17,5256;
190603;2100;351,854;
190603;2200;18,3748;
190603;2300;37,1333;
190604;0000;31,9191;
190604;0100;27,2866;
190604;0200;45,2271;
190604;0300;45,7832;
190604;0400;64,4872;
190604;0500;3,45856;
190604;0600;51,2914;
190604;0700;37,1239;
190604;0800;23,5505;
190604;0900;35,4224;
190604;1000;22,9573;
190604;1100;33,4712;
190604;1200;27,4247;
190604;1300;28,8188;
190604;1400;20,5334;
190604;1500;12,9636;
190604;1600;49,717;
190604;1700;43,479;
190604;1800;25,3108;
190604;1900;17,5544;
190604;2000;19,274;
190604;2100;28,0019;
190604;2200;0,799749;
190604;2300;352,766;
190605;0000;349,086;
190605;0100;7,8544;
190605;0200;2,16229;
190605;0300;358,786;
190605;0400;355,911;
190605;0500;55,2688;
190605;0600;53,9339;
190605;0700;46,9112;
190605;0800;68,1655;
190605;0900;53,6332;
190605;1000;43,5285;
190605;1100;17,7365;
190605;1200;18,2468;
190605;1300;13,6089;
190605;1400;5,90657;
190605;1500;4,03307;
190605;1600;0,149953;
190605;1700;358,736;
190605;1800;352,141;
190605;1900;322,109;
190605;2000;327,317;
190605;2100;346,659;
190605;2200;345,039;
190605;2300;345,479;
190606;0000;350,508;
190606;0100;356,064;
190606;0200;351,498;
190606;0300;343,381;
190606;0400;296,791;
190606;0500;354,531;
190606;0600;349,061;
190606;0700;353,611;
190606;0800;351,182;
190606;0900;349,466;
190606;1000;334,27;
190606;1100;276,37;
190606;1200;306,291;
190606;1300;291,148;
190606;1400;256,023;
190606;1500;288,714;
190606;1600;273,772;
190606;1700;264,169;
190606;1800;259,043;
190606;1900;316,412;
190606;2000;357,033;
190606;2100;12,6398;
190606;2200;27,9062;
190606;2300;30,334;
190607;0000;33,8265;
190607;0100;43,5556;
190607;0200;42,1437;
190607;0300;37,886;
190607;0400;43,8;
190607;0500;53,5552;
190607;0600;59,4548;
190607;0700;52,0177;
190607;0800;62,7699;
190607;0900;46,8404;
190607;1000;55,8657;
190607;1100;55,8203;
190607;1200;0,198109;
190607;1300;349,628;
190607;1400;352,2;
190607;1500;354,095;
190607;1600;0,516681;
190607;1700;1,19555;
190607;1800;26,7917;
190607;1900;42,967;
190607;2000;28,6208;
190607;2100;42,1702;
190607;2200;45,9493;
190607;2300;45,7897;
190608;0000;62,7436;
190608;0100;36,1646;
190608;0200;47,8407;
190608;0300;40,2865;
190608;0400;46,0162;
190608;0500;57,6573;
190608;0600;56,6012;
190608;0700;59,9202;
190608;0800;54,3056;
190608;0900;58,3418;
190608;1000;60,783;
190608;1100;50,9987;
190608;1200;48,4735;
190608;1300;348,622;
190608;1400;341,549;
190608;1500;346,277;
190608;1600;338,9;
190608;1700;349,666;
190608;1800;10,0907;
190608;1900;6,57479;
190608;2000;31,972;
190608;2100;38,6682;
190608;2200;66,3876;
190608;2300;51,516;
190609;0000;71,2775;
190609;0100;27,6194;
190609;0200;0,00849225;
190609;0300;10,2013;
190609;0400;9,5787;
190609;0500;18,1704;
190609;0600;54,0277;
190609;0700;39,0338;
190609;0800;37,3542;
190609;0900;13,1572;
190609;1000;15,0567;
190609;1100;17,2404;
190609;1200;8,06871;
190609;1300;347,077;
190609;1400;348,291;
190609;1500;351,532;
190609;1600;352,293;
190609;1700;343,447;
190609;1800;262,206;
190609;1900;265,207;
190609;2000;268,467;
190609;2100;308,22;
190609;2200;323,305;
190609;2300;250,52;
190610;0000;285,505;
190610;0100;317,025;
190610;0200;249,125;
190610;0300;164,351;
190610;0400;133,823;
190610;0500;91,8458;
190610;0600;76,0608;
190610;0700;68,1641;
190610;0800;99,7443;
190610;0900;161,093;
190610;1000;163,671;
190610;1100;178,827;
190610;1200;142,675;
190610;1300;215,786;
190610;1400;182,248;
190610;1500;186,884;
190610;1600;168,351;
190610;1700;177,288;
190610;1800;194,375;
190610;1900;196,033;
190610;2000;225,6;
190610;2100;247,181;
190610;2200;287,182;
190610;2300;321,902;
190611;0000;335,218;
190611;0100;246,852;
190611;0200;222,811;
190611;0300;260,79;
190611;0400;243,612;
190611;0500;240,55;
190611;0600;283,469;
190611;0700;326,607;
190611;0800;196,377;
190611;0900;206,299;
190611;1000;217,173;
190611;1100;225,635;
190611;1200;182,125;
190611;1300;190,511;
190611;1400;169,099;
190611;1500;283,338;
190611;1600;302,085;
190611;1700;324,56;
190611;1800;30,5161;
190611;1900;59,6453;
190611;2000;68,2644;
190611;2100;56,8453;
190611;2200;34,2795;
190611;2300;357,257;
190612;0000;22,758;
190612;0100;35,2813;
190612;0200;181,987;
190612;0300;94,1207;
190612;0400;67,7092;
190612;0500;71,5713;
190612;0600;61,0801;
190612;0700;63,2199;
190612;0800;57,7115;
190612;0900;59,1913;
190612;1000;71,9116;
190612;1100;73,7498;
190612;1200;59,0636;
190612;1300;30,7941;
190612;1400;10,2607;
190612;1500;12,0829;
190612;1600;22,022;
190612;1700;26,7372;
190612;1800;5,64102;
190612;1900;40,9394;
190612;2000;48,8302;
190612;2100;66,8481;
190612;2200;75,0717;
190612;2300;12,5881;
190613;0000;349,394;
190613;0100;294,891;
190613;0200;270,658;
190613;0300;312,915;
190613;0400;0,231467;
190613;0500;356,313;
190613;0600;357,242;
190613;0700;42,9743;
190613;0800;22,5132;
190613;0900;43,6872;
190613;1000;46,264;
190613;1100;48,6611;
190613;1200;21,3004;
190613;1300;7,63094;
190613;1400;349,777;
190613;1500;344,743;
190613;1600;359,667;
190613;1700;321,448;
190613;1800;70,8851;
190613;1900;81,5352;
190613;2000;91,0868;
190613;2100;52,0107;
190613;2200;52,141;
190613;2300;60,7845;
190614;0000;56,8853;
190614;0100;51,2845;
190614;0200;60,857;
190614;0300;43,2438;
190614;0400;82,5601;
190614;0500;137,643;
190614;0600;110,101;
190614;0700;123,74;
190614;0800;23,5312;
190614;0900;353,941;
190614;1000;219,868;
190614;1100;194,921;
190614;1200;185,325;
190614;1300;192,647;
190614;1400;190,723;
190614;1500;199,891;
190614;1600;206,439;
190614;1700;217,561;
190614;1800;222,011;
190614;1900;244,565;
190614;2000;287,622;
190614;2100;347,664;
190614;2200;7,24533;
190614;2300;8,26671;
190615;0000;121,998;
190615;0100;126,393;
190615;0200;319,544;
190615;0300;218,562;
190615;0400;292,248;
190615;0500;320,21;
190615;0600;314,827;
190615;0700;292,322;
190615;0800;307,633;
190615;0900;346,025;
190615;1000;329,42;
190615;1100;258,001;
190615;1200;142,63;
190615;1300;72,8387;
190615;1400;125,583;
190615;1500;132,851;
190615;1600;118,773;
190615;1700;114,502;
190615;1800;113,526;
190615;1900;122,181;
190615;2000;153,798;
190615;2100;129,087;
190615;2200;128,731;
190615;2300;135,148;
190616;0000;154,089;
190616;0100;145,598;
190616;0200;44,2868;
190616;0300;120,651;
190616;0400;7,28568;
190616;0500;64,6265;
190616;0600;107,547;
190616;0700;120,18;
190616;0800;305,013;
190616;0900;31,8984;
190616;1000;141,611;
190616;1100;141,628;
190616;1200;135,454;
190616;1300;123,086;
190616;1400;117,361;
190616;1500;114,07;
190616;1600;109,825;
190616;1700;116,401;
190616;1800;79,1724;
190616;1900;93,2158;
190616;2000;110,409;
190616;2100;87,9689;
190616;2200;354,303;
190616;2300;40,6712;
