FECHA (YYMMDD);HORA (HHMM);;
190603;0100;;
190603;0200;;
190603;0300;;
190603;0400;;
190603;0500;;
190603;0600;;
190603;0700;;
190603;0800;;
190603;0900;;
190603;1000;;
190603;1100;;
190603;1200;;
190603;1300;;
190603;1400;;
190603;1500;;
190603;1600;;
190603;1700;;
190603;1800;;
190603;1900;;
190603;2000;;
190603;2100;;
190603;2200;;
190603;2300;;
190604;0000;;
190604;0100;;
190604;0200;;
190604;0300;;
190604;0400;;
190604;0500;;
190604;0600;;
190604;0700;;
190604;0800;;
190604;0900;;
190604;1000;;
190604;1100;;
190604;1200;;
190604;1300;;
190604;1400;;
190604;1500;;
190604;1600;;
190604;1700;;
190604;1800;;
190604;1900;;
190604;2000;;
190604;2100;;
190604;2200;;
190604;2300;;
190605;0000;;
190605;0100;;
190605;0200;;
190605;0300;;
190605;0400;;
190605;0500;;
190605;0600;;
190605;0700;;
190605;0800;;
190605;0900;;
190605;1000;;
190605;1100;;
190605;1200;;
190605;1300;;
190605;1400;;
190605;1500;;
190605;1600;;
190605;1700;;
190605;1800;;
190605;1900;;
190605;2000;;
190605;2100;;
190605;2200;;
190605;2300;;
190606;0000;;
190606;0100;;
190606;0200;;
190606;0300;;
190606;0400;;
190606;0500;;
190606;0600;;
190606;0700;;
190606;0800;;
190606;0900;;
190606;1000;;
190606;1100;;
190606;1200;;
190606;1300;;
190606;1400;;
190606;1500;;
190606;1600;;
190606;1700;;
190606;1800;;
190606;1900;;
190606;2000;;
190606;2100;;
190606;2200;;
190606;2300;;
190607;0000;;
190607;0100;;
190607;0200;;
190607;0300;;
190607;0400;;
190607;0500;;
190607;0600;;
190607;0700;;
190607;0800;;
190607;0900;;
190607;1000;;
190607;1100;;
190607;1200;;
190607;1300;;
190607;1400;;
190607;1500;;
190607;1600;;
190607;1700;;
190607;1800;;
190607;1900;;
190607;2000;;
190607;2100;;
190607;2200;;
190607;2300;;
190608;0000;;
190608;0100;;
190608;0200;;
190608;0300;;
190608;0400;;
190608;0500;;
190608;0600;;
190608;0700;;
190608;0800;;
190608;0900;;
190608;1000;;
190608;1100;;
190608;1200;;
190608;1300;;
190608;1400;;
190608;1500;;
190608;1600;;
190608;1700;;
190608;1800;;
190608;1900;;
190608;2000;;
190608;2100;;
190608;2200;;
190608;2300;;
190609;0000;;
190609;0100;;
190609;0200;;
190609;0300;;
190609;0400;;
190609;0500;;
190609;0600;;
190609;0700;;
190609;0800;;
190609;0900;;
190609;1000;;
190609;1100;;
190609;1200;;
190609;1300;;
190609;1400;;
190609;1500;;
190609;1600;;
190609;1700;;
190609;1800;;
190609;1900;;
190609;2000;;
190609;2100;;
190609;2200;;
190609;2300;;
190610;0000;;
190610;0100;;
190610;0200;;
190610;0300;;
190610;0400;;
190610;0500;;
190610;0600;;
190610;0700;;
190610;0800;;
190610;0900;;
190610;1000;;
190610;1100;;
190610;1200;;
190610;1300;;
190610;1400;;
190610;1500;;
190610;1600;;
190610;1700;;
190610;1800;;
190610;1900;;
190610;2000;;
190610;2100;;
190610;2200;;
190610;2300;;
190611;0000;;
190611;0100;;
190611;0200;;
190611;0300;;
190611;0400;;
190611;0500;;
190611;0600;;
190611;0700;;
190611;0800;;
190611;0900;;
190611;1000;;
190611;1100;;
190611;1200;;
190611;1300;;
190611;1400;;
190611;1500;;
190611;1600;;
190611;1700;;
190611;1800;;
190611;1900;;
190611;2000;;
190611;2100;;
190611;2200;;
190611;2300;;
190612;0000;;
190612;0100;;
190612;0200;;
190612;0300;;
190612;0400;;
190612;0500;;
190612;0600;;
190612;0700;;
190612;0800;;
190612;0900;;
190612;1000;;
190612;1100;;
190612;1200;;
190612;1300;;
190612;1400;;
190612;1500;;
190612;1600;;
190612;1700;;
190612;1800;;
190612;1900;;
190612;2000;;
190612;2100;;
190612;2200;;
190612;2300;;
190613;0000;;
190613;0100;;
190613;0200;;
190613;0300;;
190613;0400;;
190613;0500;;
190613;0600;;
190613;0700;;
190613;0800;;
190613;0900;;
190613;1000;;
190613;1100;;
190613;1200;;
190613;1300;;
190613;1400;;
190613;1500;;
190613;1600;;
190613;1700;;
190613;1800;;
190613;1900;;
190613;2000;;
190613;2100;;
190613;2200;;
190613;2300;;
190614;0000;;
190614;0100;;
190614;0200;;
190614;0300;;
190614;0400;;
190614;0500;;
190614;0600;;
190614;0700;;
190614;0800;;
190614;0900;;
190614;1000;;
190614;1100;;
190614;1200;;
190614;1300;;
190614;1400;;
190614;1500;;
190614;1600;;
190614;1700;;
190614;1800;;
190614;1900;;
190614;2000;;
190614;2100;;
190614;2200;;
190614;2300;;
190615;0000;;
190615;0100;;
190615;0200;;
190615;0300;;
190615;0400;;
190615;0500;;
190615;0600;;
190615;0700;;
190615;0800;;
190615;0900;;
190615;1000;;
190615;1100;;
190615;1200;;
190615;1300;;
190615;1400;;
190615;1500;;
190615;1600;;
190615;1700;;
190615;1800;;
190615;1900;;
190615;2000;;
190615;2100;;
190615;2200;;
190615;2300;;
190616;0000;;
190616;0100;;
190616;0200;;
190616;0300;;
190616;0400;;
190616;0500;;
190616;0600;;
190616;0700;;
190616;0800;;
190616;0900;;
190616;1000;;
190616;1100;;
190616;1200;;
190616;1300;;
190616;1400;;
190616;1500;;
190616;1600;;
190616;1700;;
190616;1800;;
190616;1900;;
190616;2000;;
190616;2100;;
190616;2200;;
190616;2300;;
