FECHA (YYMMDD);HORA (HHMM);;
190603;0100;1011,53;
190603;0200;1011,78;
190603;0300;1011,03;
190603;0400;1010,7;
190603;0500;1010,11;
190603;0600;1010,19;
190603;0700;1010,19;
190603;0800;1010,35;
190603;0900;1010,35;
190603;1000;1009,44;
190603;1100;1009,02;
190603;1200;1009,01;
190603;1300;1008,34;
190603;1400;1008,18;
190603;1500;1007,18;
190603;1600;1007;
190603;1700;1006,92;
190603;1800;1006,83;
190603;1900;1006,83;
190603;2000;1007;
190603;2100;1006,87;
190603;2200;1006,71;
190603;2300;1005,62;
190604;0000;1005,54;
190604;0100;1005,87;
190604;0200;1005,03;
190604;0300;1004,95;
190604;0400;1004,11;
190604;0500;1004,03;
190604;0600;1003,2;
190604;0700;1002,86;
190604;0800;1003,03;
190604;0900;1003,2;
190604;1000;1003,53;
190604;1100;1003,02;
190604;1200;1003,01;
190604;1300;1002,01;
190604;1400;1001,26;
190604;1500;1001,58;
190604;1600;1001,18;
190604;1700;1001,03;
190604;1800;1000,95;
190604;1900;1000,62;
190604;2000;1001,02;
190604;2100;1001,02;
190604;2200;1001,27;
190604;2300;1002,02;
190605;0000;1002,77;
190605;0100;1003,02;
190605;0200;1003,19;
190605;0300;1003,52;
190605;0400;1003,76;
190605;0500;1004,01;
190605;0600;1004,01;
190605;0700;1004,34;
190605;0800;1005,01;
190605;0900;1005,01;
190605;1000;1005,01;
190605;1100;1005,01;
190605;1200;1004,58;
190605;1300;1003,94;
190605;1400;1002,77;
190605;1500;1001,8;
190605;1600;1001,02;
190605;1700;1000,76;
190605;1800;1000,01;
190605;1900;1001,01;
190605;2000;1002,01;
190605;2100;1002,09;
190605;2200;1003,01;
190605;2300;1003,46;
190606;0000;1004,01;
190606;0100;1004,01;
190606;0200;1004,01;
190606;0300;1004;
190606;0400;1004;
190606;0500;1004;
190606;0600;1004;
190606;0700;1004,33;
190606;0800;1005,33;
190606;0900;1006,3;
190606;1000;1007,21;
190606;1100;1008,04;
190606;1200;1008,36;
190606;1300;1009,03;
190606;1400;1009,03;
190606;1500;1009,95;
190606;1600;1010,47;
190606;1700;1011,6;
190606;1800;1012,8;
190606;1900;1013,93;
190606;2000;1014,51;
190606;2100;1015,34;
190606;2200;1016,26;
190606;2300;1017;
190607;0000;1017,33;
190607;0100;1018;
190607;0200;1018;
190607;0300;1018;
190607;0400;1018;
190607;0500;1017,11;
190607;0600;1017,03;
190607;0700;1017,03;
190607;0800;1017,03;
190607;0900;1017,28;
190607;1000;1017,03;
190607;1100;1017,03;
190607;1200;1016,44;
190607;1300;1016,02;
190607;1400;1015,34;
190607;1500;1014,59;
190607;1600;1014,01;
190607;1700;1014,01;
190607;1800;1014,01;
190607;1900;1014;
