FECHA (YYMMDD);HORA (HHMM);;
190603;0100;25,325;
190603;0200;8,58571;
190603;0300;18,7846;
190603;0400;18,97;
190603;0500;31,5746;
190603;0600;315,162;
190603;0700;28,9189;
190603;0800;26,6312;
190603;0900;5,06114;
190603;1000;42,3911;
190603;1100;43,5202;
190603;1200;27,888;
190603;1300;20,3714;
190603;1400;327,834;
190603;1500;12,4375;
190603;1600;21,862;
190603;1700;339,526;
190603;1800;352,476;
190603;1900;24,2324;
190603;2000;355,337;
190603;2100;327,828;
190603;2200;34,3428;
190603;2300;39,6714;
190604;0000;52,6643;
190604;0100;46,6771;
190604;0200;44,4739;
190604;0300;32,1536;
190604;0400;29,1971;
190604;0500;29,2205;
190604;0600;42,3011;
190604;0700;39,7962;
190604;0800;22,4232;
190604;0900;38,418;
190604;1000;31,9891;
190604;1100;42,0712;
190604;1200;44,0693;
190604;1300;38,9484;
190604;1400;38,7595;
190604;1500;44,1091;
190604;1600;47,7055;
190604;1700;41,2157;
190604;1800;38,2511;
190604;1900;33,9707;
190604;2000;34,8577;
190604;2100;40,9823;
190604;2200;18,4352;
190604;2300;21,3469;
190605;0000;10,7911;
190605;0100;18,9283;
190605;0200;16,5305;
190605;0300;15,654;
190605;0400;23,5092;
190605;0500;29,2867;
190605;0600;24,0554;
190605;0700;21,3492;
190605;0800;28,7994;
190605;0900;38,6326;
190605;1000;38,3927;
190605;1100;36,0814;
190605;1200;40,7233;
190605;1300;31,1205;
190605;1400;26,9969;
190605;1500;25,6638;
190605;1600;17,7893;
190605;1700;11,4471;
190605;1800;2,68954;
190605;1900;319,937;
190605;2000;314,29;
190605;2100;343,838;
190605;2200;337,713;
190605;2300;343,525;
190606;0000;353,262;
190606;0100;17,8877;
190606;0200;14,3256;
190606;0300;337,554;
190606;0400;292,035;
190606;0500;3,63042;
190606;0600;354,704;
190606;0700;9,64774;
190606;0800;14,1924;
190606;0900;356,123;
190606;1000;332,306;
190606;1100;266,132;
190606;1200;297,982;
190606;1300;289,108;
190606;1400;259,464;
190606;1500;288,148;
190606;1600;269,271;
190606;1700;257,559;
190606;1800;261,694;
190606;1900;295,967;
190606;2000;357,361;
190606;2100;14,8845;
190606;2200;19,7008;
190606;2300;15,2812;
190607;0000;19,2287;
190607;0100;23,5285;
190607;0200;21,4654;
190607;0300;20,9963;
190607;0400;28,307;
190607;0500;31,1181;
190607;0600;32,6402;
190607;0700;32,7799;
190607;0800;38,1808;
190607;0900;27,6532;
190607;1000;26,5964;
190607;1100;18,0008;
190607;1200;25,4485;
190607;1300;19,3901;
190607;1400;12,9072;
190607;1500;9,75317;
190607;1600;36,7321;
190607;1700;30,5463;
190607;1800;42,9175;
190607;1900;35,076;
190607;2000;33,9788;
190607;2100;27,7915;
190607;2200;19,2194;
190607;2300;24,6796;
190608;0000;23,4571;
190608;0100;19,2604;
190608;0200;17,9205;
190608;0300;27,0926;
190608;0400;20,9865;
190608;0500;23,2868;
190608;0600;26,0257;
190608;0700;29,8317;
190608;0800;43,1402;
190608;0900;38,1596;
190608;1000;31,7123;
190608;1100;33,241;
190608;1200;32,389;
190608;1300;31,1111;
190608;1400;339,315;
190608;1500;342,009;
190608;1600;331,171;
190608;1700;353,998;
190608;1800;25,2754;
190608;1900;32,9503;
190608;2000;37,8978;
190608;2100;38,8163;
190608;2200;35,256;
190608;2300;32,406;
190609;0000;31,332;
190609;0100;21,67;
190609;0200;12,255;
190609;0300;22,515;
190609;0400;30,4728;
190609;0500;29,6557;
190609;0600;43,6993;
190609;0700;45,6522;
190609;0800;44,7652;
190609;0900;34,8561;
190609;1000;36,3107;
190609;1100;38,9749;
190609;1200;37,6545;
190609;1300;13,7328;
190609;1400;348,681;
190609;1500;16,4369;
190609;1600;24,3689;
190609;1700;351,166;
190609;1800;263,624;
190609;1900;269,252;
190609;2000;271,946;
190609;2100;289,121;
190609;2200;298,35;
190609;2300;253,237;
190610;0000;90;
190610;0100;90;
190610;0200;90;
190610;0300;90;
190610;0400;90;
190610;0500;90;
190610;0600;90;
190610;0700;90;
190610;0800;90;
190610;0900;90;
190610;1000;175,4;
190610;1100;163,603;
190610;1200;142,082;
190610;1300;227,488;
190610;1400;185,155;
190610;1500;182,357;
190610;1600;183,623;
190610;1700;184,92;
190610;1800;200,674;
190610;1900;156,1;
190610;2000;195,232;
190610;2100;206,435;
190610;2200;90;
190610;2300;90;
190611;0000;90;
190611;0100;205;
190611;0200;206,511;
190611;0300;90;
190611;0400;229,534;
190611;0500;240,02;
190611;0600;90;
190611;0700;316,541;
190611;0800;179,444;
190611;0900;341,963;
190611;1000;190,879;
190611;1100;223,21;
190611;1200;185,269;
190611;1300;199,883;
190611;1400;252,902;
190611;1500;275,809;
190611;1600;336,411;
190611;1700;240,402;
190611;1800;38,9244;
190611;1900;38,6185;
190611;2000;31,4195;
190611;2100;43,6667;
190611;2200;35,429;
190611;2300;33,8;
190612;0000;358,6;
190612;0100;65,83;
190612;0200;90;
190612;0300;90;
190612;0400;31,99;
190612;0500;37,3771;
190612;0600;46,2428;
190612;0700;36,482;
190612;0800;49,0097;
190612;0900;52,3082;
190612;1000;52,2115;
190612;1100;61,0791;
190612;1200;55,3247;
190612;1300;49,4189;
190612;1400;20,6646;
190612;1500;23,2329;
190612;1600;29,5666;
190612;1700;21,6006;
190612;1800;26,236;
190612;1900;45,2107;
190612;2000;46,4387;
190612;2100;41,134;
190612;2200;30,6684;
190612;2300;42,8777;
190613;0000;15,7274;
190613;0100;277,794;
190613;0200;269,442;
190613;0300;296,633;
190613;0400;11,1543;
190613;0500;15,9662;
190613;0600;9,43427;
190613;0700;37,923;
190613;0800;30,62;
190613;0900;33,4369;
190613;1000;42,9063;
190613;1100;43,4201;
190613;1200;44,7002;
190613;1300;37,0018;
190613;1400;7,30827;
190613;1500;343,061;
190613;1600;23,361;
190613;1700;327,439;
190613;1800;40,0696;
190613;1900;16,3438;
190613;2000;133,955;
190613;2100;20,6988;
190613;2200;36,256;
190613;2300;42,6706;
190614;0000;50,8855;
190614;0100;48,0403;
190614;0200;42,3174;
190614;0300;29,5239;
190614;0400;330,8;
190614;0500;90;
190614;0600;90;
190614;0700;130,9;
190614;0800;309,54;
190614;0900;52,0228;
190614;1000;180,211;
190614;1100;178,209;
190614;1200;187,429;
190614;1300;185,289;
190614;1400;189,217;
190614;1500;189,923;
190614;1600;194,136;
190614;1700;208,424;
190614;1800;225,665;
190614;1900;256,942;
190614;2000;277,203;
190614;2100;355,115;
190614;2200;90;
190614;2300;339,513;
190615;0000;51,55;
190615;0100;152,294;
190615;0200;18,0216;
190615;0300;90;
190615;0400;312;
190615;0500;322,167;
190615;0600;336,337;
190615;0700;244,221;
190615;0800;315,422;
190615;0900;7,10923;
190615;1000;16,0012;
190615;1100;139,586;
190615;1200;139,586;
190615;1300;122,357;
190615;1400;140,951;
190615;1500;135,214;
190615;1600;133,357;
190615;1700;110,725;
190615;1800;104,862;
190615;1900;124,763;
190615;2000;146,363;
190615;2100;142,796;
190615;2200;128,542;
190615;2300;142,602;
190616;0000;154,49;
190616;0100;159,878;
190616;0200;175,967;
