FECHA (YYMMDD);HORA (HHMM);;
190603;0100;86,2257;
190603;0200;88,7257;
190603;0300;90,7424;
190603;0400;89,5508;
190603;0500;79,9731;
190603;0600;85,9948;
190603;0700;88,6361;
190603;0800;87,4172;
190603;0900;90,5673;
190603;1000;84,9174;
190603;1100;81,4495;
190603;1200;79,3608;
190603;1300;77,3643;
190603;1400;80,6042;
190603;1500;80,3558;
190603;1600;80,9659;
190603;1700;85,475;
190603;1800;88,3;
190603;1900;87,2917;
190603;2000;87,2584;
190603;2100;88,5773;
190603;2200;90,1523;
190603;2300;83,4855;
190604;0000;86,6772;
190604;0100;82,413;
190604;0200;79,5463;
190604;0300;80,3977;
190604;0400;81,9875;
190604;0500;81,6008;
190604;0600;80,9883;
190604;0700;82,7114;
190604;0800;83,462;
190604;0900;90,5537;
190604;1000;92,2853;
190604;1100;90,8848;
190604;1200;87,0836;
190604;1300;87,1337;
190604;1400;88,592;
190604;1500;90,0587;
190604;1600;91,0168;
190604;1700;88,4012;
190604;1800;86,3378;
190604;1900;85,3345;
190604;2000;90,2428;
190604;2100;91,0676;
190604;2200;92,2592;
190604;2300;91,1007;
190605;0000;94,1841;
190605;0100;93,5922;
190605;0200;91,2506;
190605;0300;89,1256;
190605;0400;89,9589;
190605;0500;93,6519;
190605;0600;94,9268;
190605;0700;90,0416;
190605;0800;91,8838;
190605;0900;90,7336;
190605;1000;87,2587;
190605;1100;80,5254;
190605;1200;79,5717;
190605;1300;71,3701;
190605;1400;69,4159;
190605;1500;64,5492;
190605;1600;67,4996;
190605;1700;68,2163;
190605;1800;65,183;
190605;1900;76,0455;
190605;2000;93,4254;
190605;2100;84,4086;
190605;2200;81,8086;
190605;2300;79,9495;
190606;0000;78,2061;
190606;0100;80,7361;
190606;0200;79,5544;
190606;0300;75,2806;
190606;0400;81,1198;
190606;0500;85,3253;
190606;0600;82,8169;
190606;0700;87,1167;
190606;0800;85,475;
190606;0900;84,3616;
190606;1000;78,2592;
190606;1100;85,3781;
190606;1200;81,527;
190606;1300;87,91;
190606;1400;86,993;
190606;1500;84,4012;
190606;1600;77,5902;
190606;1700;79,5583;
190606;1800;83,2919;
190606;1900;81,1919;
190606;2000;83,9667;
190606;2100;85,9335;
190606;2200;85,8667;
190606;2300;88,0585;
190607;0000;87,6168;
190607;0100;88,3085;
190607;0200;86,2671;
190607;0300;86,5253;
190607;0400;85,7168;
190607;0500;87,3295;
190607;0600;88,8711;
190607;0700;89,4125;
190607;0800;88,1792;
190607;0900;89,2175;
190607;1000;87,5675;
190607;1100;82,2222;
190607;1200;77,241;
190607;1300;73,2676;
190607;1400;69,1218;
190607;1500;69,4319;
190607;1600;73,2819;
190607;1700;74,5508;
190607;1800;75,9301;
190607;1900;76,62;
190607;2000;79,5575;
190607;2100;82,7333;
190607;2200;82,25;
190607;2300;84,9167;
190608;0000;83,8333;
190608;0100;82,1504;
190608;0200;82,8503;
190608;0300;83,3837;
190608;0400;83,942;
190608;0500;84,3586;
190608;0600;84,0356;
190608;0700;85,452;
190608;0800;85,8771;
190608;0900;83,8853;
190608;1000;82,6837;
190608;1100;79,1866;
190608;1200;74,845;
190608;1300;75,7358;
190608;1400;73,0892;
190608;1500;70,3142;
190608;1600;71,2983;
190608;1700;71,8109;
190608;1800;74,731;
190608;1900;73,9058;
190608;2000;75,1367;
190608;2100;77,5438;
190608;2200;79,9646;
190608;2300;83,3263;
190609;0000;85,5845;
190609;0100;93,1595;
190609;0200;93,1095;
190609;0300;86,5282;
190609;0400;86,228;
190609;0500;84,6697;
