FECHA (YYMMDD);HORA (HHMM);;
190603;0100;1009,01;
190603;0200;1009,18;
190603;0300;1008,76;
190603;0400;1008,34;
190603;0500;1008,03;
190603;0600;1007,94;
190603;0700;1007,72;
190603;0800;1008;
190603;0900;1008;
190603;1000;1007,25;
190603;1100;1007;
190603;1200;1006,75;
190603;1300;1006;
190603;1400;1005,42;
190603;1500;1004,83;
190603;1600;1004,42;
190603;1700;1004;
190603;1800;1004,5;
190603;1900;1004,08;
190603;2000;1004,58;
190603;2100;1004,02;
190603;2200;1004,1;
190603;2300;1003,02;
190604;0000;1003,1;
190604;0100;1003,04;
190604;0200;1002,79;
190604;0300;1002,04;
190604;0400;1001,86;
190604;0500;1001,03;
190604;0600;1001,03;
190604;0700;1000,66;
190604;0800;1000,7;
190604;0900;1001,03;
190604;1000;1001,02;
190604;1100;1000,74;
190604;1200;1000;
190604;1300;999,253;
190604;1400;999,003;
190604;1500;999,004;
190604;1600;999,001;
190604;1700;998,927;
190604;1800;998,284;
190604;1900;998,011;
190604;2000;998,842;
190604;2100;998,341;
190604;2200;999,09;
190604;2300;999,756;
190605;0000;1000,01;
190605;0100;1000,58;
190605;0200;1001;
190605;0300;1001;
190605;0400;1001;
190605;0500;1001,01;
190605;0600;1001,26;
190605;0700;1002,01;
190605;0800;1002;
190605;0900;1002;
190605;1000;1002;
190605;1100;1002;
190605;1200;1002;
190605;1300;1001,43;
190605;1400;1000,43;
190605;1500;999,23;
190605;1600;998,587;
190605;1700;997,587;
190605;1800;995,004;
190605;1900;998,421;
190605;2000;999,42;
190605;2100;999,835;
190605;2200;1000,42;
190605;2300;1001;
190606;0000;1001,67;
190606;0100;1002;
190606;0200;1000;
190606;0300;990,922;
190606;0400;991,504;
190606;0500;991,086;
190606;0600;987,169;
190606;0700;1001,9;
190606;0800;1002,92;
190606;0900;1003,95;
190606;1000;1004,78;
190606;1100;1005,44;
190606;1200;1006,02;
190606;1300;1006,19;
190606;1400;1007,01;
190606;1500;1007,09;
190606;1600;1008,18;
190606;1700;1009,34;
190606;1800;1010,2;
190606;1900;1011,42;
190606;2000;1012,17;
190606;2100;1013;
190606;2200;1013,92;
190606;2300;1014,75;
190607;0000;1015;
190607;0100;1015;
190607;0200;1015;
190607;0300;1015;
190607;0400;1015;
190607;0500;1015,04;
190607;0600;1015,04;
190607;0700;1015,03;
190607;0800;1015,03;
190607;0900;1015,01;
190607;1000;1014,84;
190607;1100;1014,01;
190607;1200;1014;
190607;1300;1013,42;
190607;1400;1012,67;
190607;1500;1012;
190607;1600;1011,67;
190607;1700;1012;
190607;1800;1011,42;
190607;1900;1012;
190607;2000;1012;
190607;2100;1012;
190607;2200;1012;
190607;2300;1012;
190608;0000;1011,92;
190608;0100;1011,08;
190608;0200;1010,92;
190608;0300;1011;
190608;0400;1011;
190608;0500;1010,33;
190608;0600;1010,02;
190608;0700;1010,02;
190608;0800;1009,85;
190608;0900;1009,85;
190608;1000;1009,83;
190608;1100;1010;
190608;1200;1009,67;
190608;1300;1009;
190608;1400;1008,08;
190608;1500;1007,08;
190608;1600;1007;
190608;1700;1007;
190608;1800;1006,25;
190608;1900;1006;
190608;2000;1006,25;
190608;2100;1006,09;
190608;2200;1006,01;
190608;2300;1006,01;
190609;0000;1006,01;
190609;0100;1005,84;
190609;0200;1005,01;
190609;0300;1005,03;
190609;0400;1005,02;
190609;0500;1005,02;
190609;0600;1005,02;
190609;0700;1005,02;
190609;0800;1005,02;
190609;0900;1005,94;
190609;1000;1006,02;
190609;1100;1006,01;
190609;1200;1006,01;
190609;1300;1005,09;
190609;1400;1005,01;
190609;1500;1004,22;
190609;1600;1004,33;
190609;1700;1005,01;
190609;1800;1005,68;
190609;1900;1006,18;
190609;2000;1007,01;
190609;2100;1007,26;
190609;2200;1008,01;
190609;2300;1008,68;
190610;0000;1009;
190610;0100;1009;
190610;0200;1009,94;
190610;0300;1010,02;
190610;0400;1010;
190610;0500;1010;
190610;0600;1010;
190610;0700;1010,01;
190610;0800;1010,33;
190610;0900;1011;
190610;1000;1011;
190610;1100;1011,58;
190610;1200;1011,33;
190610;1300;1010,6;
190610;1400;1009,6;
190610;1500;1008,77;
190610;1600;1008,02;
190610;1700;1008;
190610;1800;1008;
190610;1900;1008;
190610;2000;1008;
190610;2100;1007,33;
190610;2200;1007;
190610;2300;1007;
190611;0000;1006,83;
190611;0100;1006;
190611;0200;1005,25;
190611;0300;1004,83;
190611;0400;1003,92;
190611;0500;1003,25;
190611;0600;1002,17;
190611;0700;1002;
190611;0800;1002;
190611;0900;1002;
190611;1000;1001,75;
190611;1100;1001;
190611;1200;1000,67;
190611;1300;999,765;
190611;1400;999;
190611;1500;999;
190611;1600;999,333;
190611;1700;1000,25;
190611;1800;1001;
190611;1900;1001,92;
190611;2000;1002;
190611;2100;1002;
190611;2200;1002;
190611;2300;1002;
190612;0000;1002,08;
190612;0100;1003;
190612;0200;1002,5;
190612;0300;1002;
190612;0400;1001,25;
190612;0500;1000,78;
190612;0600;1000,04;
190612;0700;1000,03;
190612;0800;994,778;
190612;0900;998,277;
190612;1000;998,661;
190612;1100;995,601;
190612;1200;994,012;
190612;1300;995,178;
190612;1400;995,51;
190612;1500;996,01;
190612;1600;996,01;
190612;1700;996,593;
190612;1800;997,254;
190612;1900;997,503;
190612;2000;998,003;
190612;2100;997,753;
190612;2200;997,169;
190612;2300;998,584;
190613;0000;1000;
190613;0100;1000,96;
190613;0200;1001,8;
190613;0300;1003,22;
190613;0400;1004,05;
190613;0500;1004,8;
190613;0600;1005,05;
190613;0700;1006,05;
190613;0800;1006,63;
190613;0900;1007,03;
190613;1000;1007,95;
190613;1100;1008,03;
190613;1200;1008,02;
190613;1300;1008,02;
190613;1400;1008,02;
190613;1500;1007,77;
190613;1600;1007,02;
190613;1700;1007,68;
190613;1800;1008,01;
190613;1900;1008,5;
190613;2000;1009;
190613;2100;1009,01;
190613;2200;1009,01;
190613;2300;1009,92;
190614;0000;1010;
190614;0100;1010,03;
190614;0200;1009,36;
190614;0300;1009,03;
190614;0400;1009;
190614;0500;1009;
190614;0600;1009;
190614;0700;1009,37;
190614;0800;1010;
190614;0900;1010,01;
190614;1000;1011,01;
190614;1100;1011,01;
190614;1200;1011;
190614;1300;1010,08;
190614;1400;1009,25;
190614;1500;1009;
190614;1600;1009;
190614;1700;1009,01;
190614;1800;1010,09;
190614;1900;1011,01;
190614;2000;1011,51;
190614;2100;1012,84;
190614;2200;1013,01;
190614;2300;1013,01;
190615;0000;1013,18;
190615;0100;1014,01;
190615;0200;1014,01;
190615;0300;1013,34;
190615;0400;1013,18;
190615;0500;1013,01;
190615;0600;1013,01;
190615;0700;1013,01;
190615;0800;1013,01;
190615;0900;1013,01;
190615;1000;1013,74;
190615;1100;1014,01;
190615;1200;1014;
190615;1300;1013,58;
190615;1400;1013;
190615;1500;1013;
190615;1600;1013;
190615;1700;1013;
190615;1800;1013,5;
190615;1900;1014;
190615;2000;1014;
190615;2100;1014;
190615;2200;1014;
190615;2300;1014;
190616;0000;1013,33;
190616;0100;1013;
190616;0200;1013;
190616;0300;1013;
190616;0400;1012,5;
190616;0500;1011,92;
190616;0600;1012;
190616;0700;1012;
190616;0800;1011,17;
190616;0900;1011,19;
190616;1000;1011,35;
190616;1100;1011;
190616;1200;1010,94;
190616;1300;1009,93;
190616;1400;1008,84;
190616;1500;1008;
190616;1600;1008;
190616;1700;1008;
190616;1800;1007,83;
190616;1900;1008;
190616;2000;1008;
190616;2100;1008;
190616;2200;1008;
190616;2300;1008;
