FECHA (YYMMDD);HORA (HHMM);;
190603;0100;11,7726;
190603;0200;10,8843;
190603;0300;10,2768;
190603;0400;10,2876;
190603;0500;11,3987;
190603;0600;10,2404;
190603;0700;10,4628;
190603;0800;10,3409;
190603;0900;9,76425;
190603;1000;11,4518;
190603;1100;12,4642;
190603;1200;13,6067;
190603;1300;14,4717;
190603;1400;14,3333;
190603;1500;14,465;
190603;1600;14,1742;
190603;1700;13,6558;
190603;1800;13,2275;
190603;1900;13,2308;
190603;2000;12,9942;
190603;2100;12,7295;
190603;2200;12,6695;
190603;2300;13,3061;
190604;0000;12,8803;
190604;0100;13,3756;
190604;0200;13,9156;
190604;0300;13,7231;
190604;0400;13,4255;
190604;0500;13,5355;
190604;0600;13,6813;
190604;0700;13,5003;
190604;0800;13,3455;
190604;0900;12,638;
190604;1000;12,4686;
190604;1100;12,5935;
190604;1200;13,025;
190604;1300;13,185;
190604;1400;13,23;
190604;1500;13,0318;
190604;1600;13,0625;
190604;1700;13,1794;
190604;1800;12,6935;
190604;1900;12,2202;
190604;2000;11,5168;
190604;2100;11,6309;
190604;2200;11,8468;
190604;2300;12,2709;
190605;0000;12,1151;
190605;0100;12,2434;
190605;0200;12,0784;
190605;0300;11,7143;
190605;0400;11,4701;
190605;0500;11,2835;
190605;0600;11,1252;
190605;0700;11,0827;
190605;0800;11,0034;
190605;0900;11,425;
190605;1000;12,4043;
190605;1100;13,7551;
190605;1200;14,21;
190605;1300;15,5676;
190605;1400;16,071;
190605;1500;16,7885;
190605;1600;16,0934;
190605;1700;15,5518;
190605;1800;15,4109;
190605;1900;13,7368;
190605;2000;11,0609;
190605;2100;11,8383;
190605;2200;11,9175;
190605;2300;11,6425;
190606;0000;11,605;
190606;0100;10,9433;
190606;0200;10,6775;
190606;0300;11,5293;
190606;0400;10,6901;
190606;0500;9,18588;
190606;0600;9,42087;
190606;0700;9,48083;
190606;0800;9,77917;
190606;0900;10,0237;
190606;1000;11,4029;
190606;1100;10,8279;
190606;1200;11,3785;
190606;1300;10,051;
190606;1400;10,3269;
190606;1500;10,3744;
190606;1600;11,5384;
190606;1700;11,0326;
190606;1800;9,66837;
190606;1900;9,01753;
190606;2000;8,43651;
190606;2100;8,23494;
190606;2200;8,42252;
190606;2300;7,88268;
190607;0000;8,12834;
190607;0100;7,71468;
190607;0200;8,07162;
190607;0300;7,67918;
190607;0400;8,01535;
190607;0500;7,78195;
190607;0600;7,45802;
190607;0700;7,37693;
190607;0800;7,53876;
190607;0900;7,56264;
190607;1000;8,07236;
190607;1100;9,39088;
190607;1200;10,5792;
190607;1300;11,5725;
190607;1400;12,5517;
190607;1500;12,6542;
190607;1600;12,4692;
190607;1700;12,325;
