FECHA (YYMMDD);HORA (HHMM);;
190603;0100;0,807008;
190603;0200;0,35408;
190603;0300;0,762668;
190603;0400;1,2133;
190603;0500;2,95978;
190603;0600;0,519744;
190603;0700;0,470722;
190603;0800;0,720564;
190603;0900;0,353304;
190603;1000;2,30307;
190603;1100;4,06966;
190603;1200;2,24715;
190603;1300;1,69878;
190603;1400;0,319507;
190603;1500;0,414639;
190603;1600;0,665033;
190603;1700;0,229364;
190603;1800;0,610509;
190603;1900;0,36803;
190603;2000;0,903133;
190603;2100;0,111676;
190603;2200;0,779587;
190603;2300;4,52297;
190604;0000;3,47014;
190604;0100;3,30399;
190604;0200;3,6958;
190604;0300;1,69071;
190604;0400;1,53313;
190604;0500;2,1071;
190604;0600;3,48035;
190604;0700;3,24385;
190604;0800;2,66072;
190604;0900;4,39822;
190604;1000;3,86523;
190604;1100;5,86545;
190604;1200;7,50448;
190604;1300;5,56026;
190604;1400;4,43379;
190604;1500;4,25527;
190604;1600;4,78611;
190604;1700;5,25386;
190604;1800;5,40543;
190604;1900;5,32428;
190604;2000;4,89599;
190604;2100;4,41508;
190604;2200;2,29991;
190604;2300;1,69267;
190605;0000;0,748286;
190605;0100;1,2866;
190605;0200;1,01116;
190605;0300;0,727201;
190605;0400;0,32124;
190605;0500;1,11035;
190605;0600;1,30505;
190605;0700;1,18409;
190605;0800;1,59035;
190605;0900;1,81357;
190605;1000;2,99034;
190605;1100;2,98299;
190605;1200;3,74223;
190605;1300;3,3146;
190605;1400;3,05186;
190605;1500;3,94809;
190605;1600;3,68753;
190605;1700;2,99599;
190605;1800;3,02052;
190605;1900;2,3535;
190605;2000;2,59207;
190605;2100;2,75941;
190605;2200;2,46845;
190605;2300;2,54454;
190606;0000;2,29402;
190606;0100;2,04194;
190606;0200;1,60474;
190606;0300;2,5253;
190606;0400;1,72892;
190606;0500;0,571971;
190606;0600;1,79632;
190606;0700;1,27918;
190606;0800;0,658651;
190606;0900;1,29322;
190606;1000;1,72039;
190606;1100;0,797029;
190606;1200;1,77263;
190606;1300;1,22875;
190606;1400;2,01787;
190606;1500;1,65921;
190606;1600;2,41032;
190606;1700;1,79808;
190606;1800;1,11973;
190606;1900;0,63076;
190606;2000;0,0577311;
190606;2100;0,393244;
190606;2200;1,41919;
190606;2300;1,50429;
190607;0000;1,31485;
190607;0100;2,25597;
190607;0200;1,6579;
190607;0300;1,84777;
190607;0400;2,10697;
190607;0500;2,54283;
190607;0600;2,76993;
190607;0700;2,37282;
190607;0800;2,29792;
190607;0900;2,12206;
190607;1000;2,07405;
190607;1100;1,94904;
190607;1200;2,00217;
190607;1300;2,18147;
190607;1400;2,14714;
190607;1500;1,56216;
190607;1600;2,0263;
190607;1700;1,71548;
190607;1800;1,43579;
190607;1900;1,63961;
190607;2000;1,54076;
190607;2100;1,90523;
190607;2200;1,09202;
190607;2300;0,994534;
190608;0000;1,29141;
190608;0100;0,211099;
190608;0200;1,44238;
190608;0300;1,68577;
190608;0400;1,34727;
190608;0500;2,1888;
190608;0600;3,21391;
190608;0700;3,0966;
190608;0800;3,07185;
190608;0900;2,55063;
190608;1000;3,0803;
190608;1100;3,37806;
190608;1200;3,30352;
190608;1300;2,41354;
190608;1400;2,94084;
190608;1500;3,14284;
190608;1600;2,75466;
190608;1700;2,24973;
190608;1800;1,74753;
190608;1900;1,72437;
190608;2000;2,12579;
190608;2100;2,59248;
190608;2200;1,75533;
190608;2300;1,74407;
190609;0000;0,455789;
190609;0100;0,00841667;
190609;0200;0,854184;
190609;0300;1,16213;
190609;0400;1,134;
190609;0500;2,04363;
190609;0600;2,57642;
190609;0700;3,04592;
190609;0800;3,47659;
190609;0900;2,58358;
190609;1000;3,68375;
190609;1100;4,43293;
190609;1200;3,2887;
190609;1300;2,89677;
190609;1400;2,67278;
190609;1500;2,67705;
190609;1600;2,7314;
190609;1700;1,98493;
190609;1800;1,57479;
190609;1900;1,01483;
190609;2000;1,006;
190609;2100;0,324041;
190609;2200;0,043244;
190609;2300;0,12346;
190610;0000;0;
190610;0100;0;
190610;0200;0;
190610;0300;0;
190610;0400;0;
190610;0500;0;
190610;0600;0;
190610;0700;0;
190610;0800;0;
190610;0900;0;
190610;1000;0,00116667;
190610;1100;0,680646;
190610;1200;0,201929;
190610;1300;0,493606;
190610;1400;1,01988;
190610;1500;2,05509;
190610;1600;2,42446;
190610;1700;1,60734;
190610;1800;0,797393;
190610;1900;0,000166667;
190610;2000;0,16505;
190610;2100;0,385827;
190610;2200;0;
190610;2300;0;
190611;0000;0;
190611;0100;0,0431666;
190611;0200;0,0794779;
190611;0300;0;
190611;0400;0,223225;
190611;0500;0,0897557;
190611;0600;0;
190611;0700;0,258573;
190611;0800;0,0853496;
190611;0900;0,00265384;
190611;1000;0,015624;
190611;1100;0,294128;
190611;1200;0,567474;
190611;1300;0,862985;
190611;1400;0,0864706;
190611;1500;0,135807;
190611;1600;0,0474564;
190611;1700;0,341679;
190611;1800;2,13273;
190611;1900;2,04098;
190611;2000;1,51394;
190611;2100;2,41706;
190611;2200;0,249739;
190611;2300;0,0285;
190612;0000;0,00158333;
190612;0100;0,0281667;
190612;0200;0;
190612;0300;0;
190612;0400;0,0438333;
190612;0500;0,85163;
190612;0600;2,04337;
190612;0700;1,59491;
190612;0800;1,41645;
190612;0900;1,77832;
190612;1000;2,02669;
190612;1100;0,844891;
190612;1200;3,16603;
190612;1300;6,71906;
190612;1400;5,60807;
190612;1500;4,95352;
190612;1600;3,07091;
190612;1700;3,32115;
190612;1800;3,11639;
190612;1900;3,19014;
190612;2000;3,24229;
190612;2100;0,838614;
190612;2200;0,125389;
190612;2300;2,4914;
190613;0000;1,89883;
190613;0100;0,850716;
190613;0200;2,03847;
190613;0300;1,43722;
190613;0400;0,875504;
190613;0500;1,46965;
190613;0600;0,427965;
190613;0700;1,83479;
190613;0800;1,26859;
190613;0900;0,783605;
190613;1000;2,58285;
190613;1100;2,98052;
190613;1200;3,42045;
190613;1300;2,87804;
190613;1400;1,43706;
190613;1500;1,68639;
190613;1600;0,816163;
190613;1700;0,455295;
190613;1800;0,382245;
190613;1900;0,208727;
190613;2000;0,368758;
190613;2100;0,262048;
190613;2200;2,77779;
190613;2300;3,55927;
190614;0000;4,11133;
190614;0100;4,065;
190614;0200;2,85314;
190614;0300;0,747211;
190614;0400;0,012;
190614;0500;0;
190614;0600;0;
190614;0700;0,39979;
190614;0800;0,0919956;
190614;0900;0,0429326;
190614;1000;0,280153;
190614;1100;0,699423;
190614;1200;2,37697;
190614;1300;2,74381;
190614;1400;3,26489;
190614;1500;2,34793;
190614;1600;2,27691;
190614;1700;2,63745;
190614;1800;1,77097;
190614;1900;0,894144;
190614;2000;0,234786;
190614;2100;0,349325;
190614;2200;0;
190614;2300;0,321805;
190615;0000;0,00283333;
190615;0100;0,0520255;
190615;0200;0,175106;
190615;0300;0;
190615;0400;0,0203333;
190615;0500;0,14858;
190615;0600;0,106301;
190615;0700;0,0513498;
190615;0800;0,251382;
190615;0900;0,172523;
190615;1000;0,51007;
190615;1100;0,937517;
190615;1200;2,13166;
190615;1300;2,1987;
190615;1400;2,59817;
190615;1500;1,75842;
190615;1600;2,1216;
190615;1700;0,703281;
190615;1800;0,491646;
190615;1900;0,530757;
190615;2000;1,38865;
190615;2100;2,13423;
190615;2200;2,72302;
190615;2300;3,3177;
190616;0000;2,10902;
190616;0100;1,05806;
190616;0200;0,603021;
190616;0300;1,70065;
190616;0400;0,550194;
190616;0500;0,22349;
190616;0600;0,335716;
190616;0700;1,06786;
190616;0800;1,03082;
190616;0900;0,64816;
190616;1000;1,03577;
190616;1100;2,13888;
190616;1200;1,81634;
190616;1300;3,1178;
190616;1400;3,34295;
190616;1500;3,4705;
190616;1600;3,29484;
190616;1700;1,69106;
190616;1800;1,49748;
190616;1900;1,10343;
190616;2000;1,93116;
190616;2100;0,469384;
190616;2200;0,243468;
190616;2300;0,288674;
