FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
140101;0000;4,45833;;;
140102;0000;4,125;;;
140103;0000;4,33333;;;
140104;0000;4,04166;;;
140105;0000;5,875;;;
140106;0000;4;;;
140107;0000;4,29166;;;
140108;0000;4,83333;;;
140109;0000;5,5;;;
140110;0000;4,16666;;;
140111;0000;4;;;
140112;0000;4,33333;;;
140113;0000;4;;;
140114;0000;4,08333;;;
140115;0000;7,83333;;;
140116;0000;9,45833;;;
140117;0000;9;;;
140118;0000;4,66666;;;
140119;0000;5,33333;;;
140120;0000;4,54166;;;
140121;0000;4;;;
140122;0000;4,16666;;;
140123;0000;4,41666;;;
140124;0000;5,60869;;;
140125;0000;4,29166;;;
140126;0000;4,04166;;;
140127;0000;4,375;;;
140128;0000;4,20833;;;
140129;0000;4,20833;;;
140130;0000;4,56522;;;
140131;0000;4,04166;;;
140201;0000;4,54166;;;
140202;0000;5,29166;;;
140203;0000;4,33333;;;
140204;0000;5,70833;;;
140205;0000;4,16666;;;
140206;0000;5,83333;;;
140207;0000;4,75;;;
140208;0000;4,29166;;;
140209;0000;4,08333;;;
140210;0000;4,16666;;;
140211;0000;4,125;;;
140212;0000;5,875;;;
140213;0000;5,5;;;
140214;0000;9,16666;;;
140215;0000;5,91666;;;
140216;0000;5,04166;;;
140217;0000;4,04166;;;
140218;0000;4,25;;;
140219;0000;5,08695;;;
140220;0000;5,04166;;;
140221;0000;4,95833;;;
140222;0000;4,41666;;;
140223;0000;4,08333;;;
140224;0000;7,41666;;;
140225;0000;8,41666;;;
140226;0000;6,04166;;;
140227;0000;5,54166;;;
140228;0000;8;;;
140301;0000;5,20833;;;
140302;0000;5,29166;;;
140303;0000;4,54166;;;
140304;0000;7,33333;;;
140305;0000;5,16666;;;
140306;0000;7,41666;;;
140307;0000;5,58333;;;
140308;0000;12,2083;;;
140309;0000;6,04166;;;
140310;0000;10,0952;;;
140311;0000;4,20833;;;
140312;0000;4,58333;;;
140313;0000;4,45833;;;
140314;0000;5,875;;;
140315;0000;4,20833;;;
140316;0000;5;;;
140317;0000;7,15789;;;
140318;0000;13;;;
140319;0000;9,63635;;;
140320;0000;14,5;;;
140321;0000;34,6086;;;
140322;0000;18,8333;;;
140323;0000;8,5;;;
140324;0000;9,95651;;;
140325;0000;21,3333;;;
140326;0000;25,875;;;
140327;0000;22,0833;;;
140328;0000;27,25;;;
140329;0000;13,5417;;;
140330;0000;15,3043;;;
140331;0000;42,826;;;
140401;0000;45,7083;;;
140402;0000;42,826;;;
140403;0000;22,75;;;
140404;0000;33,375;;;
140405;0000;32,25;;;
140406;0000;17,8421;;;
140407;0000;48,619;;;
140408;0000;19,5833;;;
140409;0000;25,8333;;;
140410;0000;27,7083;;;
140411;0000;27,75;;;
140412;0000;;;;
140413;0000;;;;
140414;0000;;;;
140415;0000;16,9167;;;
140416;0000;30,125;;;
140417;0000;47,7391;;;
140418;0000;61,75;;;
140419;0000;75,25;;;
140420;0000;70,7083;;;
140421;0000;15,5417;;;
140422;0000;12,6667;;;
140423;0000;14,375;;;
140424;0000;48,8333;;;
140425;0000;93;;;
140426;0000;33,4166;;;
140427;0000;77,9166;;;
140428;0000;79,4166;;;
140429;0000;101,5;;;
140430;0000;32,25;;;
140501;0000;55,7916;;;
140502;0000;29;;;
140503;0000;8,58333;;;
140504;0000;46,5;;;
140505;0000;58,0435;;;
140506;0000;22,5833;;;
140507;0000;11,9167;;;
140508;0000;14,2083;;;
140509;0000;32,25;;;
140510;0000;49,5;;;
140511;0000;70,7083;;;
140512;0000;43,826;;;
140513;0000;50,2916;;;
140514;0000;42,7916;;;
140515;0000;22,4583;;;
140516;0000;94,0833;;;
140517;0000;198,958;;;
140518;0000;20,2917;;;
140519;0000;29,5;;;
140520;0000;23,9167;;;
140521;0000;52,8333;;;
140522;0000;94,5833;;;
140523;0000;121,667;;;
140524;0000;134,583;;;
140525;0000;64,875;;;
140526;0000;51,2916;;;
140527;0000;97,375;;;
140528;0000;25,0435;;;
140529;0000;35,5416;;;
140530;0000;19,6667;;;
140531;0000;13,5417;;;
140601;0000;8,5;;;
140602;0000;8,08333;;;
140603;0000;32,2083;;;
140604;0000;23,8333;;;
140605;0000;28,375;;;
140606;0000;16,1667;;;
140607;0000;16,0833;;;
140608;0000;19,2083;;;
140609;0000;34,5217;;;
140610;0000;9,25;;;
140611;0000;61,2916;;;
140612;0000;75,4166;;;
140613;0000;23;;;
140614;0000;14,75;;;
140615;0000;67,8333;;;
140616;0000;127,478;;;
140617;0000;173,833;;;
140618;0000;121,208;;;
140619;0000;100,083;;;
140620;0000;73,2916;;;
140621;0000;16,125;;;
140622;0000;18;;;
140623;0000;76,2609;;;
140624;0000;181,458;;;
140625;0000;202,958;;;
140626;0000;66,0416;;;
140627;0000;139,833;;;
140628;0000;124,958;;;
140629;0000;36,875;;;
140630;0000;37,4583;;;
140701;0000;36,2916;;;
140702;0000;38,9583;;;
140703;0000;35,125;;;
140704;0000;56,8333;;;
140705;0000;75,2916;;;
140706;0000;52,4166;;;
140707;0000;67,826;;;
140708;0000;126,042;;;
140709;0000;230,25;;;
140710;0000;142,958;;;
140711;0000;58,5833;;;
140712;0000;38,875;;;
140713;0000;42,9583;;;
140714;0000;15,2917;;;
140715;0000;29,7083;;;
140716;0000;31,125;;;
140717;0000;98,75;;;
140718;0000;151,125;;;
140719;0000;159,083;;;
140720;0000;86;;;
140721;0000;45,5416;;;
140722;0000;80,75;;;
140723;0000;143,417;;;
140724;0000;51,5833;;;
140725;0000;39,8333;;;
140726;0000;49,2916;;;
140727;0000;5,91666;;;
