FECHA (YYMMDD);HORA (HHMM);;
140322;0100;;
140322;0200;;
140322;0300;;
140322;0400;;
140322;0500;;
140322;0600;;
140322;0700;;
140322;0800;;
140322;0900;;
140322;1000;;
140322;1100;;
140322;1200;;
140322;1300;;
140322;1400;;
140322;1500;;
140322;1600;;
140322;1700;;
140322;1800;;
140322;1900;;
140322;2000;;
140322;2100;74;
140322;2200;78;
140322;2300;82;
140323;0000;86;
140323;0100;89;
140323;0200;92;
140323;0300;94;
140323;0400;96;
140323;0500;96;
140323;0600;96;
140323;0700;97;
140323;0800;99;
140323;0900;99;
140323;1000;99;
140323;1100;82;
140323;1200;65;
140323;1300;58;
140323;1400;51;
140323;1500;48;
140323;1600;46;
140323;1700;51;
140323;1800;57;
140323;1900;65;
140323;2000;73;
140323;2100;81;
140323;2200;85;
140323;2300;88;
140324;0000;92;
140324;0100;94;
140324;0200;95;
140324;0300;96;
140324;0400;97;
140324;0500;98;
140324;0600;98;
140324;0700;98;
140324;0800;98;
140324;0900;84;
140324;1000;70;
140324;1100;61;
140324;1200;55;
140324;1300;50;
140324;1400;50;
140324;1500;45;
140324;1600;43;
140324;1700;48;
140324;1800;52;
140324;1900;58;
140324;2000;66;
140324;2100;76;
140324;2200;83;
140324;2300;86;
140325;0000;87;
140325;0100;87;
140325;0200;90;
140325;0300;92;
140325;0400;93;
140325;0500;93;
140325;0600;94;
140325;0700;94;
140325;0800;95;
140325;0900;81;
140325;1000;70;
140325;1100;61;
140325;1200;52;
140325;1300;43;
140325;1400;39;
140325;1500;36;
140325;1600;34;
140325;1700;34;
140325;1800;37;
140325;1900;45;
140325;2000;56;
140325;2100;66;
140325;2200;73;
140325;2300;78;
140326;0000;81;
140326;0100;86;
140326;0200;87;
140326;0300;90;
140326;0400;92;
140326;0500;94;
140326;0600;93;
140326;0700;95;
140326;0800;93;
140326;0900;78;
140326;1000;64;
140326;1100;47;
140326;1200;39;
140326;1300;32;
140326;1400;29;
140326;1500;28;
140326;1600;34;
140326;1700;44;
140326;1800;50;
140326;1900;63;
140326;2000;78;
140326;2100;86;
140326;2200;92;
140326;2300;93;
140327;0000;94;
140327;0100;94;
140327;0200;91;
140327;0300;91;
140327;0400;92;
140327;0500;93;
140327;0600;94;
140327;0700;95;
140327;0800;96;
140327;0900;95;
140327;1000;92;
140327;1100;89;
140327;1200;84;
140327;1300;74;
140327;1400;65;
140327;1500;66;
140327;1600;69;
140327;1700;70;
140327;1800;75;
140327;1900;81;
140327;2000;87;
140327;2100;89;
140327;2200;89;
140327;2300;89;
140328;0000;92;
140328;0100;93;
140328;0200;95;
140328;0300;97;
140328;0400;97;
140328;0500;97;
140328;0600;97;
140328;0700;97;
140328;0800;94;
140328;0900;91;
140328;1000;91;
140328;1100;89;
140328;1200;84;
140328;1300;82;
140328;1400;76;
140328;1500;71;
140328;1600;69;
140328;1700;77;
140328;1800;93;
140328;1900;94;
140328;2000;96;
140328;2100;95;
140328;2200;95;
140328;2300;95;
140329;0000;96;
140329;0100;97;
140329;0200;95;
140329;0300;93;
140329;0400;93;
140329;0500;93;
140329;0600;93;
140329;0700;93;
140329;0800;92;
140329;0900;90;
140329;1000;87;
140329;1100;85;
140329;1200;81;
140329;1300;84;
140329;1400;83;
140329;1500;79;
140329;1600;81;
140329;1700;85;
140329;1800;93;
140329;1900;96;
140329;2000;95;
140329;2100;96;
140329;2200;96;
140329;2300;96;
140330;0000;94;
140330;0100;92;
140330;0200;92;
140330;0300;92;
140330;0400;92;
140330;0500;89;
140330;0600;86;
140330;0700;86;
140330;0800;84;
140330;0900;83;
140330;1000;80;
140330;1100;76;
140330;1200;66;
140330;1300;58;
140330;1400;58;
140330;1500;59;
140330;1600;68;
140330;1700;71;
140330;1800;75;
140330;1900;78;
140330;2000;82;
140330;2100;77;
140330;2200;76;
140330;2300;77;
140331;0000;82;
140331;0100;80;
140331;0200;79;
140331;0300;85;
140331;0400;89;
140331;0500;91;
140331;0600;91;
140331;0700;89;
140331;0800;90;
140331;0900;91;
140331;1000;90;
140331;1100;92;
140331;1200;96;
140331;1300;95;
140331;1400;85;
140331;1500;83;
140331;1600;90;
140331;1700;93;
140331;1800;94;
140331;1900;93;
140331;2000;95;
140331;2100;97;
140331;2200;98;
140331;2300;99;
140401;0000;99;
140401;0100;99;
140401;0200;99;
140401;0300;100;
140401;0400;100;
140401;0500;100;
140401;0600;100;
140401;0700;100;
140401;0800;100;
140401;0900;100;
140401;1000;100;
140401;1100;98;
140401;1200;79;
140401;1300;72;
140401;1400;70;
140401;1500;69;
140401;1600;66;
140401;1700;64;
140401;1800;69;
140401;1900;76;
140401;2000;81;
140401;2100;85;
140401;2200;90;
140401;2300;94;
140402;0000;96;
140402;0100;97;
140402;0200;98;
140402;0300;98;
140402;0400;99;
140402;0500;99;
140402;0600;100;
140402;0700;100;
140402;0800;100;
140402;0900;99;
140402;1000;87;
140402;1100;75;
140402;1200;62;
140402;1300;52;
140402;1400;39;
140402;1500;36;
140402;1600;38;
140402;1700;50;
140402;1800;64;
140402;1900;74;
140402;2000;80;
140402;2100;84;
140402;2200;89;
140402;2300;92;
140403;0000;95;
140403;0100;95;
140403;0200;97;
140403;0300;96;
140403;0400;94;
140403;0500;93;
140403;0600;92;
140403;0700;92;
140403;0800;92;
140403;0900;90;
140403;1000;89;
140403;1100;89;
140403;1200;88;
140403;1300;86;
140403;1400;85;
140403;1500;84;
140403;1600;84;
140403;1700;85;
140403;1800;89;
140403;1900;91;
140403;2000;89;
140403;2100;89;
140403;2200;90;
140403;2300;88;
140404;0000;89;
140404;0100;92;
140404;0200;94;
140404;0300;96;
140404;0400;96;
140404;0500;97;
140404;0600;97;
140404;0700;98;
140404;0800;98;
140404;0900;97;
140404;1000;88;
140404;1100;74;
140404;1200;60;
140404;1300;59;
140404;1400;53;
140404;1500;52;
140404;1600;54;
140404;1700;59;
140404;1800;66;
140404;1900;72;
140404;2000;79;
140404;2100;87;
140404;2200;92;
140404;2300;95;
140405;0000;95;
140405;0100;96;
140405;0200;97;
140405;0300;98;
140405;0400;99;
140405;0500;99;
140405;0600;99;
140405;0700;100;
140405;0800;100;
140405;0900;100;
140405;1000;100;
140405;1100;98;
140405;1200;90;
140405;1300;82;
140405;1400;81;
140405;1500;79;
140405;1600;80;
140405;1700;81;
140405;1800;83;
140405;1900;85;
140405;2000;86;
140405;2100;86;
140405;2200;87;
140405;2300;91;
140406;0000;94;
140406;0100;94;
140406;0200;95;
140406;0300;97;
140406;0400;98;
140406;0500;99;
140406;0600;99;
140406;0700;99;
140406;0800;99;
140406;0900;99;
140406;1000;96;
140406;1100;85;
140406;1200;84;
140406;1300;84;
140406;1400;78;
140406;1500;73;
140406;1600;74;
140406;1700;76;
140406;1800;76;
140406;1900;83;
140406;2000;87;
140406;2100;86;
140406;2200;85;
140406;2300;81;
140407;0000;82;
140407;0100;81;
140407;0200;81;
140407;0300;86;
140407;0400;90;
140407;0500;95;
140407;0600;96;
140407;0700;97;
140407;0800;98;
140407;0900;91;
140407;1000;78;
140407;1100;74;
140407;1200;66;
140407;1300;62;
140407;1400;63;
140407;1500;60;
140407;1600;57;
140407;1700;62;
140407;1800;68;
140407;1900;77;
140407;2000;86;
140407;2100;94;
140407;2200;96;
140407;2300;96;
140408;0000;96;
140408;0100;97;
140408;0200;96;
140408;0300;94;
140408;0400;92;
140408;0500;95;
140408;0600;96;
140408;0700;94;
140408;0800;93;
140408;0900;91;
140408;1000;85;
140408;1100;69;
140408;1200;60;
140408;1300;58;
140408;1400;59;
140408;1500;59;
140408;1600;63;
140408;1700;67;
140408;1800;71;
140408;1900;78;
140408;2000;74;
140408;2100;75;
140408;2200;74;
140408;2300;83;
140409;0000;84;
140409;0100;88;
140409;0200;92;
140409;0300;94;
140409;0400;95;
140409;0500;93;
140409;0600;95;
140409;0700;94;
140409;0800;96;
140409;0900;91;
140409;1000;81;
140409;1100;82;
140409;1200;83;
140409;1300;93;
140409;1400;83;
140409;1500;72;
140409;1600;55;
140409;1700;56;
140409;1800;63;
140409;1900;72;
140409;2000;78;
140409;2100;84;
140409;2200;87;
140409;2300;88;
140410;0000;91;
140410;0100;92;
140410;0200;94;
140410;0300;95;
140410;0400;93;
140410;0500;95;
140410;0600;96;
140410;0700;97;
140410;0800;97;
140410;0900;91;
140410;1000;81;
140410;1100;72;
140410;1200;61;
140410;1300;58;
140410;1400;55;
140410;1500;61;
140410;1600;57;
140410;1700;56;
140410;1800;60;
140410;1900;65;
140410;2000;75;
140410;2100;80;
140410;2200;83;
140410;2300;87;
140411;0000;85;
140411;0100;82;
140411;0200;82;
140411;0300;87;
140411;0400;88;
140411;0500;86;
140411;0600;85;
140411;0700;91;
140411;0800;93;
140411;0900;92;
140411;1000;92;
140411;1100;92;
140411;1200;91;
140411;1300;94;
140411;1400;94;
140411;1500;76;
140411;1600;65;
140411;1700;62;
140411;1800;73;
140411;1900;70;
140411;2000;78;
140411;2100;81;
140411;2200;83;
140411;2300;84;
140412;0000;89;
140412;0100;93;
140412;0200;93;
140412;0300;93;
140412;0400;96;
140412;0500;97;
140412;0600;98;
140412;0700;98;
140412;0800;98;
140412;0900;99;
140412;1000;99;
140412;1100;78;
140412;1200;67;
140412;1300;56;
140412;1400;52;
140412;1500;49;
140412;1600;51;
140412;1700;53;
140412;1800;54;
140412;1900;67;
140412;2000;77;
140412;2100;85;
140412;2200;90;
140412;2300;93;
140413;0000;94;
140413;0100;96;
140413;0200;97;
140413;0300;97;
140413;0400;98;
140413;0500;98;
140413;0600;98;
140413;0700;98;
140413;0800;99;
140413;0900;97;
140413;1000;86;
140413;1100;74;
140413;1200;65;
140413;1300;54;
140413;1400;49;
140413;1500;46;
140413;1600;46;
140413;1700;52;
140413;1800;59;
140413;1900;59;
140413;2000;57;
140413;2100;62;
140413;2200;69;
140413;2300;77;
140414;0000;82;
140414;0100;86;
140414;0200;89;
140414;0300;89;
140414;0400;91;
140414;0500;93;
140414;0600;95;
140414;0700;97;
140414;0800;99;
140414;0900;99;
140414;1000;99;
140414;1100;87;
140414;1200;69;
140414;1300;64;
140414;1400;65;
140414;1500;64;
140414;1600;60;
140414;1700;63;
140414;1800;71;
140414;1900;79;
140414;2000;88;
140414;2100;93;
140414;2200;96;
140414;2300;98;
140415;0000;99;
140415;0100;99;
140415;0200;99;
140415;0300;99;
140415;0400;99;
140415;0500;100;
140415;0600;100;
140415;0700;100;
140415;0800;100;
140415;0900;98;
140415;1000;97;
140415;1100;95;
140415;1200;92;
140415;1300;85;
140415;1400;79;
140415;1500;70;
140415;1600;66;
140415;1700;65;
140415;1800;71;
140415;1900;74;
140415;2000;82;
140415;2100;89;
140415;2200;93;
140415;2300;93;
140416;0000;94;
140416;0100;92;
140416;0200;86;
140416;0300;83;
140416;0400;92;
140416;0500;96;
140416;0600;97;
140416;0700;97;
140416;0800;98;
140416;0900;98;
140416;1000;91;
140416;1100;81;
140416;1200;66;
140416;1300;55;
140416;1400;52;
140416;1500;56;
140416;1600;57;
140416;1700;54;
140416;1800;57;
140416;1900;64;
140416;2000;74;
140416;2100;79;
140416;2200;80;
140416;2300;82;
140417;0000;83;
140417;0100;85;
140417;0200;84;
