FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
190601;0100;;4;;
190601;0200;;9;;
190601;0300;;6;;
190601;0400;;5;;
190601;0500;;2;;
190601;0600;;2;;
190601;0700;;4;;
190601;0800;;4;;
190601;0900;;4;;
190601;1000;;6;;
190601;1100;;4;;
190601;1200;;3;;
190601;1300;;7;;
190601;1400;;5;;
190601;1500;;20;;
190601;1600;;26;;
190601;1700;;50;;
190601;1800;;37;;
190601;1900;;49;;
190601;2000;;4;;
190601;2100;;9;;
190601;2200;;14;;
190601;2300;;17;;
190602;0000;;12;;
190602;0100;;14;;
190602;0200;;9;;
190602;0300;;7;;
190602;0400;;8;;
190602;0500;;7;;
190602;0600;;5;;
190602;0700;;6;;
190602;0800;;9;;
190602;0900;;13;;
190602;1000;;12;;
190602;1100;;19;;
190602;1200;;9;;
190602;1300;;8;;
190602;1400;;4;;
190602;1500;;6;;
190602;1600;;9;;
190602;1700;;12;;
190602;1800;;20;;
190602;1900;;61;;
190602;2000;;49;;
190602;2100;;41;;
190602;2200;;33;;
190602;2300;;32;;
190603;0000;;21;;
190603;0100;;18;;
190603;0200;;13;;
190603;0300;;11;;
190603;0400;;11;;
190603;0500;;7;;
190603;0600;;8;;
190603;0700;;12;;
190603;0800;;26;;
190603;0900;;18;;
190603;1000;;21;;
190603;1100;;52;;
190603;1200;;51;;
190603;1300;;23;;
190603;1400;;29;;
190603;1500;;52;;
190603;1600;;122;;
190603;1700;;107;;
190603;1800;;128;;
190603;1900;;140;;
190603;2000;;124;;
190603;2100;;41;;
190603;2200;;29;;
190603;2300;;12;;
190604;0000;;21;;
190604;0100;;12;;
190604;0200;;18;;
190604;0300;;17;;
190604;0400;;8;;
190604;0500;;6;;
190604;0600;;3;;
190604;0700;;3;;
190604;0800;;7;;
190604;0900;;7;;
190604;1000;;8;;
190604;1100;;6;;
190604;1200;;8;;
190604;1300;;6;;
190604;1400;;11;;
190604;1500;;18;;
190604;1600;;10;;
190604;1700;;9;;
190604;1800;;5;;
190604;1900;;17;;
190604;2000;;18;;
190604;2100;;22;;
190604;2200;;10;;
190604;2300;;21;;
190605;0000;;24;;
190605;0100;;11;;
190605;0200;;12;;
190605;0300;;11;;
190605;0400;;8;;
190605;0500;;7;;
190605;0600;;11;;
190605;0700;;12;;
190605;0800;;19;;
190605;0900;;33;;
190605;1000;;19;;
190605;1100;;10;;
190605;1200;;9;;
190605;1300;;7;;
190605;1400;;6;;
190605;1500;;11;;
190605;1600;;10;;
190605;1700;;12;;
190605;1800;;17;;
190605;1900;;11;;
190605;2000;;15;;
190605;2100;;19;;
190605;2200;;11;;
190605;2300;;9;;
190606;0000;;14;;
190606;0100;;10;;
190606;0200;;7;;
190606;0300;;4;;
190606;0400;;5;;
190606;0500;;3;;
190606;0600;;5;;
190606;0700;;9;;
190606;0800;;9;;
190606;0900;;10;;
190606;1000;;17;;
190606;1100;;9;;
190606;1200;;15;;
190606;1300;;11;;
190606;1400;;17;;
190606;1500;;2;;
190606;1600;;8;;
190606;1700;;16;;
190606;1800;;31;;
190606;1900;;87;;
190606;2000;;145;;
190606;2100;;93;;
190606;2200;;91;;
190606;2300;;65;;
190607;0000;;38;;
190607;0100;;26;;
190607;0200;;21;;
190607;0300;;12;;
190607;0400;;7;;
190607;0500;;8;;
190607;0600;;8;;
190607;0700;;11;;
190607;0800;;21;;
190607;0900;;27;;
190607;1000;;28;;
190607;1100;;13;;
190607;1200;;13;;
190607;1300;;7;;
190607;1400;;9;;
190607;1500;;13;;
190607;1600;;15;;
190607;1700;;20;;
190607;1800;;25;;
190607;1900;;76;;
190607;2000;;94;;
190607;2100;;133;;
190607;2200;;103;;
190607;2300;;45;;
190608;0000;;68;;
190608;0100;;46;;
190608;0200;;18;;
190608;0300;;19;;
190608;0400;;13;;
190608;0500;;11;;
190608;0600;;8;;
190608;0700;;12;;
190608;0800;;10;;
190608;0900;;20;;
190608;1000;;28;;
190608;1100;;28;;
190608;1200;;2;;
190608;1300;;6;;
190608;1400;;5;;
190608;1500;;7;;
190608;1600;;12;;
190608;1700;;27;;
190608;1800;;30;;
190608;1900;;49;;
190608;2000;;53;;
190608;2100;;52;;
190608;2200;;51;;
190608;2300;;58;;
190609;0000;;52;;
190609;0100;;23;;
190609;0200;;6;;
190609;0300;;6;;
190609;0400;;3;;
190609;0500;;9;;
190609;0600;;7;;
190609;0700;;11;;
190609;0800;;6;;
190609;0900;;3;;
190609;1000;;7;;
190609;1100;;5;;
190609;1200;;3;;
190609;1300;;3;;
190609;1400;;5;;
190609;1500;;16;;
190609;1600;;13;;
190609;1700;;34;;
190609;1800;;9;;
190609;1900;;14;;
190609;2000;;34;;
190609;2100;;33;;
190609;2200;;37;;
190609;2300;;38;;
190610;0000;;32;;
190610;0100;;34;;
190610;0200;;25;;
190610;0300;;21;;
190610;0400;;16;;
190610;0500;;21;;
190610;0600;;9;;
190610;0700;;12;;
190610;0800;;99;;
190610;0900;;31;;
190610;1000;;28;;
190610;1100;;15;;
190610;1200;;19;;
190610;1300;;14;;
190610;1400;;11;;
190610;1500;;10;;
190610;1600;;21;;
190610;1700;;139;;
190610;1800;;142;;
190610;1900;;135;;
190610;2000;;143;;
190610;2100;;119;;
190610;2200;;138;;
190610;2300;;187;;
190611;0000;;128;;
190611;0100;;68;;
190611;0200;;41;;
190611;0300;;64;;
190611;0400;;146;;
190611;0500;;36;;
190611;0600;;31;;
190611;0700;;49;;
190611;0800;;44;;
190611;0900;;57;;
190611;1000;;58;;
190611;1100;;22;;
190611;1200;;19;;
190611;1300;;19;;
190611;1400;;41;;
190611;1500;;50;;
190611;1600;;58;;
190611;1700;;37;;
190611;1800;;59;;
190611;1900;;93;;
190611;2000;;84;;
190611;2100;;84;;
190611;2200;;351;;
190611;2300;;346;;
190612;0000;;164;;
190612;0100;;175;;
190612;0200;;365;;
190612;0300;;209;;
190612;0400;;16;;
190612;0500;;14;;
190612;0600;;9;;
190612;0700;;13;;
190612;0800;;15;;
190612;0900;;19;;
190612;1000;;21;;
190612;1100;;26;;
190612;1200;;3;;
190612;1300;;3;;
190612;1400;;5;;
190612;1500;;12;;
190612;1600;;11;;
190612;1700;;11;;
190612;1800;;24;;
190612;1900;;42;;
190612;2000;;36;;
190612;2100;;22;;
190612;2200;;35;;
190612;2300;;22;;
190613;0000;;8;;
190613;0100;;7;;
190613;0200;;5;;
190613;0300;;7;;
190613;0400;;7;;
190613;0500;;7;;
190613;0600;;6;;
190613;0700;;16;;
190613;0800;;20;;
190613;0900;;22;;
190613;1000;;32;;
190613;1100;;;7;
190613;1200;;8;;
190613;1300;;10;;
190613;1400;;11;;
190613;1500;;15;;
190613;1600;;30;;
190613;1700;;44;;
190613;1800;;105;;
190613;1900;;99;;
190613;2000;;50;;
190613;2100;;35;;
190613;2200;;28;;
190613;2300;;10;;
190614;0000;;15;;
190614;0100;;7;;
190614;0200;;13;;
190614;0300;;10;;
190614;0400;;26;;
190614;0500;;30;;
190614;0600;;31;;
190614;0700;;20;;
190614;0800;;125;;
190614;0900;;175;;
190614;1000;;23;;
190614;1100;;11;;
190614;1200;;8;;
190614;1300;;17;;
190614;1400;;11;;
190614;1500;;18;;
190614;1600;;15;;
190614;1700;;41;;
190614;1800;;103;;
190614;1900;;157;;
190614;2000;;239;;
190614;2100;;196;;
190614;2200;;261;;
190614;2300;;170;;
190615;0000;;276;;
190615;0100;;349;;
190615;0200;;431;;
190615;0300;;167;;
190615;0400;;92;;
190615;0500;;78;;
190615;0600;;73;;
190615;0700;;72;;
190615;0800;;82;;
190615;0900;;125;;
190615;1000;;145;;
190615;1100;;26;;
190615;1200;;42;;
190615;1300;;11;;
190615;1400;;9;;
190615;1500;;10;;
190615;1600;;10;;
190615;1700;;16;;
190615;1800;;29;;
190615;1900;;29;;
190615;2000;;34;;
190615;2100;;19;;
190615;2200;;16;;
190615;2300;;20;;
190616;0000;;9;;
190616;0100;;10;;
190616;0200;;11;;
190616;0300;;90;;
190616;0400;;19;;
190616;0500;;18;;
190616;0600;;9;;
190616;0700;;8;;
190616;0800;;21;;
190616;0900;;14;;
190616;1000;;14;;
190616;1100;;7;;
190616;1200;;8;;
190616;1300;;7;;
190616;1400;;8;;
190616;1500;;7;;
190616;1600;;15;;
190616;1700;;17;;
190616;1800;;31;;
190616;1900;;34;;
190616;2000;;85;;
190616;2100;;338;;
190616;2200;;377;;
190616;2300;;213;;
190617;0000;;171;;
190617;0100;;102;;
190617;0200;;141;;
190617;0300;;101;;
190617;0400;;108;;
190617;0500;;65;;
190617;0600;;33;;
190617;0700;;26;;
190617;0800;;28;;
190617;0900;;34;;
190617;1000;;51;;
190617;1100;;64;;
190617;1200;;85;;
190617;1300;;52;;
190617;1400;;40;;
190617;1500;;49;;
190617;1600;;42;;
190617;1700;;55;;
190617;1800;;178;;
190617;1900;;217;;
190617;2000;;224;;
190617;2100;;86;;
190617;2200;;76;;
190617;2300;;62;;
190618;0000;;57;;
190618;0100;;36;;
190618;0200;;28;;
190618;0300;;23;;
190618;0400;;21;;
190618;0500;;22;;
190618;0600;;19;;
190618;0700;;25;;
190618;0800;;32;;
190618;0900;;41;;
190618;1000;;27;;
190618;1100;;18;;
190618;1200;;14;;
190618;1300;;17;;
190618;1400;;18;;
190618;1500;;13;;
190618;1600;;20;;
190618;1700;;43;;
190618;1800;;56;;
190618;1900;;90;;
190618;2000;;75;;
190618;2100;;83;;
190618;2200;;80;;
190618;2300;;54;;
190619;0000;;35;;
190619;0100;;21;;
190619;0200;;24;;
190619;0300;;49;;
190619;0400;;37;;
190619;0500;;29;;
190619;0600;;30;;
190619;0700;;81;;
190619;0800;;119;;
190619;0900;;166;;
190619;1000;;88;;
190619;1100;;66;;
190619;1200;;95;;
190619;1300;;64;;
190619;1400;;47;;
190619;1500;;34;;
190619;1600;;48;;
190619;1700;;105;;
190619;1800;;278;;
190619;1900;;301;;
190619;2000;;312;;
190619;2100;;309;;
190619;2200;;237;;
190619;2300;;253;;
190620;0000;;177;;
190620;0100;;90;;
190620;0200;;49;;
190620;0300;;39;;
190620;0400;;33;;
190620;0500;;38;;
190620;0600;;33;;
190620;0700;;36;;
190620;0800;;36;;
190620;0900;;59;;
190620;1000;;60;;
190620;1100;;50;;
190620;1200;;60;;
190620;1300;;100;;
190620;1400;;67;;
190620;1500;;75;;
190620;1600;;85;;
190620;1700;;139;;
190620;1800;;274;;
190620;1900;;144;;
190620;2000;;162;;
190620;2100;;97;;
190620;2200;;49;;
190620;2300;;66;;
190621;0000;;60;;
190621;0100;;35;;
190621;0200;;20;;
190621;0300;;22;;
190621;0400;;42;;
190621;0500;;9;;
190621;0600;;33;;
190621;0700;;33;;
190621;0800;;24;;
190621;0900;;15;;
190621;1000;;19;;
190621;1100;;8;;
190621;1200;;6;;
190621;1300;;10;;
190621;1400;;10;;
190621;1500;;10;;
190621;1600;;9;;
190621;1700;;22;;
190621;1800;;57;;
190621;1900;;87;;
190621;2000;;53;;
190621;2100;;54;;
190621;2200;;76;;
190621;2300;;66;;
190622;0000;;41;;
190622;0100;;29;;
190622;0200;;21;;
190622;0300;;24;;
190622;0400;;24;;
190622;0500;;22;;
190622;0600;;26;;
190622;0700;;27;;
190622;0800;;29;;
190622;0900;;39;;
190622;1000;;39;;
190622;1100;;50;;
190622;1200;;53;;
190622;1300;;29;;
190622;1400;;12;;
190622;1500;;14;;
190622;1600;;17;;
190622;1700;;33;;
190622;1800;;52;;
190622;1900;;41;;
190622;2000;;78;;
190622;2100;;64;;
190622;2200;;84;;
190622;2300;;57;;
190623;0000;;15;;
190623;0100;;9;;
190623;0200;;10;;
190623;0300;;23;;
190623;0400;;10;;
190623;0500;;6;;
190623;0600;;13;;
190623;0700;;8;;
190623;0800;;8;;
190623;0900;;25;;
190623;1000;;15;;
190623;1100;;9;;
190623;1200;;9;;
190623;1300;;7;;
190623;1400;;10;;
190623;1500;;8;;
190623;1600;;11;;
190623;1700;;19;;
190623;1800;;37;;
190623;1900;;31;;
190623;2000;;34;;
190623;2100;;58;;
190623;2200;;36;;
190623;2300;;10;;
190624;0000;;9;;
190624;0100;;10;;
190624;0200;;9;;
190624;0300;;6;;
190624;0400;;4;;
190624;0500;;3;;
190624;0600;;6;;
190624;0700;;9;;
190624;0800;;22;;
190624;0900;;22;;
190624;1000;;16;;
190624;1100;;12;;
190624;1200;;9;;
190624;1300;;12;;
190624;1400;;22;;
190624;1500;;31;;
190624;1600;;13;;
190624;1700;;24;;
190624;1800;;50;;
190624;1900;;52;;
190624;2000;;68;;
190624;2100;;78;;
190624;2200;;54;;
190624;2300;;51;;
190625;0000;;52;;
190625;0100;;24;;
190625;0200;;8;;
190625;0300;;6;;
190625;0400;;4;;
190625;0500;;3;;
190625;0600;;4;;
190625;0700;;12;;
190625;0800;;12;;
190625;0900;;35;;
190625;1000;;18;;
190625;1100;;11;;
190625;1200;;12;;
190625;1300;;7;;
190625;1400;;12;;
190625;1500;;19;;
190625;1600;;18;;
190625;1700;;20;;
190625;1800;;21;;
