FECHA (YYMMDD),Registros
140101.0,-1.0
140102.0,-1.0
140103.0,-1.0
140104.0,-1.0
140105.0,-1.0
140106.0,-1.0
140107.0,-1.0
140108.0,-1.0
140109.0,-1.0
140110.0,-1.0
140111.0,-1.0
140112.0,-1.0
140113.0,-1.0
140114.0,-1.0
140115.0,-1.0
140116.0,-1.0
140117.0,-1.0
140118.0,-1.0
140119.0,-1.0
140120.0,-1.0
140121.0,-1.0
140122.0,-1.0
140123.0,-1.0
140124.0,-1.0
140125.0,-1.0
140126.0,-1.0
140127.0,-1.0
140128.0,-1.0
140129.0,-1.0
140130.0,-1.0
140131.0,-1.0
140201.0,-1.0
140202.0,-1.0
140203.0,-1.0
140204.0,-1.0
140205.0,-1.0
140206.0,-1.0
140207.0,-1.0
140208.0,-1.0
140209.0,-1.0
140210.0,-1.0
140211.0,-1.0
140212.0,-1.0
140213.0,-1.0
140214.0,-1.0
140215.0,-1.0
140216.0,-1.0
140217.0,-1.0
140218.0,-1.0
140219.0,-1.0
140220.0,-1.0
140221.0,-1.0
140222.0,-1.0
140223.0,-1.0
140224.0,-1.0
140225.0,-1.0
140226.0,-1.0
140227.0,-1.0
140228.0,-1.0
140301.0,-1.0
140302.0,-1.0
140303.0,-1.0
140304.0,-1.0
140305.0,-1.0
140306.0,-1.0
140307.0,-1.0
140308.0,-1.0
140309.0,-1.0
140310.0,-1.0
140311.0,-1.0
140312.0,-1.0
140313.0,-1.0
140314.0,-1.0
140315.0,-1.0
140316.0,-1.0
140317.0,-1.0
140318.0,-1.0
140319.0,-1.0
140320.0,-1.0
140321.0,-1.0
140322.0,-1.0
140323.0,-1.0
140324.0,-1.0
140325.0,-1.0
140326.0,-1.0
140327.0,-1.0
140328.0,-1.0
140329.0,-1.0
140330.0,-1.0
140331.0,-1.0
140401.0,-1.0
140402.0,-1.0
140403.0,-1.0
140404.0,-1.0
140405.0,-1.0
140406.0,-1.0
140407.0,-1.0
140408.0,-1.0
140409.0,-1.0
140410.0,-1.0
140411.0,-1.0
140412.0,-1.0
140413.0,-1.0
140414.0,-1.0
140415.0,-1.0
140416.0,-1.0
140417.0,-1.0
140418.0,-1.0
140419.0,-1.0
140420.0,-1.0
140421.0,-1.0
140422.0,-1.0
140423.0,-1.0
140424.0,-1.0
140425.0,-1.0
140426.0,-1.0
140427.0,-1.0
140428.0,-1.0
140429.0,-1.0
140430.0,-1.0
140501.0,-1.0
140502.0,-1.0
140503.0,-1.0
140504.0,-1.0
140505.0,-1.0
140506.0,-1.0
140507.0,-1.0
140508.0,-1.0
140509.0,-1.0
140510.0,-1.0
140511.0,-1.0
140512.0,-1.0
140513.0,-1.0
140514.0,-1.0
140515.0,-1.0
140516.0,-1.0
140517.0,-1.0
140518.0,-1.0
140519.0,-1.0
140520.0,-1.0
140521.0,-1.0
140522.0,-1.0
140523.0,-1.0
140524.0,-1.0
140525.0,-1.0
140526.0,-1.0
140527.0,-1.0
140528.0,-1.0
140529.0,-1.0
140530.0,-1.0
140531.0,-1.0
140601.0,-1.0
140602.0,-1.0
140603.0,-1.0
140604.0,-1.0
140605.0,-1.0
140606.0,-1.0
140607.0,-1.0
140608.0,-1.0
140609.0,-1.0
140610.0,-1.0
140611.0,-1.0
140612.0,-1.0
140613.0,-1.0
140614.0,-1.0
140615.0,-1.0
140616.0,-1.0
140617.0,-1.0
140618.0,-1.0
140619.0,-1.0
140620.0,-1.0
140621.0,-1.0
140622.0,-1.0
140623.0,-1.0
140624.0,-1.0
140625.0,-1.0
140626.0,-1.0
140627.0,-1.0
140628.0,-1.0
140629.0,-1.0
140630.0,-1.0
140701.0,-1.0
140702.0,-1.0
140703.0,-1.0
140704.0,-1.0
140705.0,-1.0
140706.0,-1.0
140707.0,-1.0
140708.0,-1.0
140709.0,-1.0
140710.0,-1.0
140711.0,-1.0
140712.0,-1.0
140713.0,-1.0
140714.0,-1.0
140715.0,-1.0
140716.0,-1.0
140717.0,-1.0
140718.0,-1.0
140719.0,-1.0
140720.0,-1.0
140721.0,-1.0
140722.0,-1.0
140723.0,-1.0
140724.0,-1.0
140725.0,-1.0
140726.0,-1.0
140727.0,-1.0
140728.0,-1.0
140729.0,-1.0
140730.0,-1.0
140731.0,-1.0
140801.0,-1.0
140802.0,-1.0
140803.0,-1.0
140804.0,-1.0
140805.0,-1.0
140806.0,-1.0
140807.0,-1.0
140808.0,-1.0
140809.0,-1.0
140810.0,-1.0
140811.0,-1.0
140812.0,-1.0
140813.0,-1.0
140814.0,-1.0
140815.0,-1.0
140816.0,-1.0
140817.0,-1.0
140818.0,-1.0
140819.0,-1.0
140820.0,-1.0
140821.0,-1.0
140822.0,-1.0
140823.0,-1.0
140824.0,-1.0
140825.0,-1.0
140826.0,-1.0
140827.0,-1.0
140828.0,-1.0
140829.0,-1.0
140830.0,-1.0
140831.0,-1.0
140901.0,-1.0
140902.0,-1.0
140903.0,-1.0
140904.0,-1.0
140905.0,-1.0
140906.0,-1.0
140907.0,-1.0
140908.0,-1.0
140909.0,-1.0
140910.0,-1.0
140911.0,-1.0
140912.0,-1.0
140913.0,-1.0
140914.0,-1.0
140915.0,-1.0
140916.0,-1.0
140917.0,-1.0
140918.0,-1.0
140919.0,-1.0
140920.0,-1.0
140921.0,-1.0
140922.0,-1.0
140923.0,-1.0
140924.0,-1.0
140925.0,-1.0
140926.0,-1.0
140927.0,-1.0
140928.0,-1.0
140929.0,-1.0
140930.0,-1.0
141001.0,-1.0
