FECHA (YYMMDD),Registros
140101.0,4.45833
140102.0,4.125
140103.0,4.33333
140104.0,4.04166
140105.0,5.875
140106.0,4.0
140107.0,4.29166
140108.0,4.83333
140109.0,5.5
140110.0,4.16666
140111.0,4.0
140112.0,4.33333
140113.0,4.0
140114.0,4.08333
140115.0,7.83333
140116.0,9.45833
140117.0,9.0
140118.0,4.66666
140119.0,5.33333
140120.0,4.54166
140121.0,4.0
140122.0,4.16666
140123.0,4.41666
140124.0,5.60869
140125.0,4.29166
140126.0,4.04166
140127.0,4.375
140128.0,4.20833
140129.0,4.20833
140130.0,4.56522
140131.0,4.04166
140201.0,4.54166
140202.0,5.29166
140203.0,4.33333
140204.0,5.70833
140205.0,4.16666
140206.0,5.83333
140207.0,4.75
140208.0,4.29166
140209.0,4.08333
140210.0,4.16666
140211.0,4.125
140212.0,5.875
140213.0,5.5
140214.0,9.16666
140215.0,5.91666
140216.0,5.04166
140217.0,4.04166
140218.0,4.25
140219.0,5.08695
140220.0,5.04166
140221.0,4.95833
140222.0,4.41666
140223.0,4.08333
140224.0,7.41666
140225.0,8.41666
140226.0,6.04166
140227.0,5.54166
140228.0,8.0
140301.0,5.20833
140302.0,5.29166
140303.0,4.54166
140304.0,7.33333
140305.0,5.16666
140306.0,7.41666
140307.0,5.58333
140308.0,12.2083
140309.0,6.04166
140310.0,10.0952
140311.0,4.20833
140312.0,4.58333
140313.0,4.45833
140314.0,5.875
140315.0,4.20833
140316.0,5.0
140317.0,7.157889999999999
140318.0,13.0
140319.0,9.63635
140320.0,14.5
140321.0,34.6086
140322.0,18.8333
140323.0,8.5
140324.0,9.95651
140325.0,21.3333
140326.0,25.875
140327.0,22.0833
140328.0,27.25
140329.0,13.5417
140330.0,15.3043
140331.0,42.826
140401.0,45.7083
140402.0,42.826
140403.0,22.75
140404.0,33.375
140405.0,32.25
140406.0,17.8421
140407.0,48.619
140408.0,19.5833
140409.0,25.8333
140410.0,27.7083
140411.0,27.75
140412.0,-1.0
140413.0,-1.0
140414.0,-1.0
140415.0,16.9167
140416.0,30.125
140417.0,47.7391
140418.0,61.75
140419.0,75.25
140420.0,70.7083
140421.0,15.5417
140422.0,12.6667
140423.0,14.375
140424.0,48.8333
140425.0,93.0
140426.0,33.4166
140427.0,77.9166
140428.0,79.4166
140429.0,101.5
140430.0,32.25
140501.0,55.7916
140502.0,29.0
140503.0,8.58333
140504.0,46.5
140505.0,58.0435
140506.0,22.5833
140507.0,11.9167
140508.0,14.2083
140509.0,32.25
140510.0,49.5
140511.0,70.7083
140512.0,43.826
140513.0,50.2916
140514.0,42.7916
140515.0,22.4583
140516.0,94.0833
140517.0,198.958
140518.0,20.2917
140519.0,29.5
140520.0,23.9167
140521.0,52.8333
140522.0,94.5833
140523.0,121.667
140524.0,134.583
140525.0,64.875
140526.0,51.2916
140527.0,97.375
140528.0,25.0435
140529.0,35.5416
140530.0,19.6667
140531.0,13.5417
140601.0,8.5
140602.0,8.08333
140603.0,32.2083
140604.0,23.8333
140605.0,28.375
140606.0,16.1667
