FECHA (YYMMDD),Registros
140101.0,7.66666
140102.0,5.375
140103.0,5.125
140104.0,4.58333
140105.0,4.33333
140106.0,4.0
140107.0,4.375
140108.0,6.25
140109.0,6.125
140110.0,6.29166
140111.0,4.95833
140112.0,5.16666
140113.0,4.125
140114.0,5.0
140115.0,9.33333
140116.0,11.5833
140117.0,11.4286
140118.0,541.2909999999999
140119.0,6.29166
140120.0,6.25
140121.0,4.75
140122.0,6.20833
140123.0,6.75
140124.0,7.25
140125.0,5.58333
140126.0,5.25
140127.0,4.95833
140128.0,5.875
140129.0,5.29166
140130.0,5.625
140131.0,4.375
140201.0,7.25
140202.0,8.16666
140203.0,5.95833
140204.0,6.41666
140205.0,6.04166
140206.0,7.25
140207.0,6.70833
140208.0,7.125
140209.0,6.41666
140210.0,5.66666
140211.0,5.75
140212.0,7.33333
140213.0,10.5417
140214.0,11.7083
140215.0,14.9167
140216.0,8.29166
140217.0,7.16666
140218.0,7.875
140219.0,10.125
140220.0,10.0417
140221.0,10.4167
140222.0,10.8333
140223.0,8.625
140224.0,12.7727
140225.0,15.6667
140226.0,12.0417
140227.0,12.5833
140228.0,14.25
140301.0,12.1667
140302.0,11.125
140303.0,10.6667
140304.0,16.0
140305.0,9.70833
140306.0,16.0833
140307.0,14.2083
140308.0,21.5417
140309.0,11.5833
140310.0,19.3478
140311.0,10.75
140312.0,12.4583
140313.0,14.4583
140314.0,13.4583
140315.0,11.6667
140316.0,16.0417
140317.0,18.3333
140318.0,26.5217
140319.0,22.4583
140320.0,40.8333
140321.0,38.0833
140322.0,26.0833
140323.0,18.375
140324.0,17.1818
140325.0,22.7083
140326.0,28.2917
140327.0,23.2917
140328.0,32.9583
140329.0,19.5
140330.0,22.6667
140331.0,48.0833
140401.0,58.5
140402.0,35.5
140403.0,30.8333
140404.0,31.4583
140405.0,34.5
140406.0,20.875
140407.0,44.9565
140408.0,26.8333
140409.0,39.2083
140410.0,41.5
140411.0,33.25
140412.0,41.5833
140413.0,69.6666
140414.0,31.0833
140415.0,33.0833
140416.0,51.0833
140417.0,51.875
140418.0,53.7916
140419.0,47.3333
140420.0,63.2916
140421.0,15.375
140422.0,11.125
140423.0,12.0417
140424.0,41.625
140425.0,64.2083
140426.0,38.2083
140427.0,96.0416
140428.0,66.4166
140429.0,98.8333
140430.0,33.2916
140501.0,45.4583
140502.0,30.5
140503.0,10.5
140504.0,49.2083
140505.0,61.6086
140506.0,24.0417
140507.0,14.875
140508.0,15.9583
140509.0,25.6667
140510.0,43.625
140511.0,77.4583
140512.0,38.0416
140513.0,47.4583
140514.0,40.7916
140515.0,26.0417
140516.0,144.0
140517.0,128.833
140518.0,27.7917
140519.0,39.8333
140520.0,34.7916
140521.0,57.5833
140522.0,94.9583
140523.0,159.792
140524.0,125.125
140525.0,52.2083
140526.0,78.5416
140527.0,102.292
140528.0,27.1667
140529.0,30.1667
140530.0,22.0417
140531.0,22.375
140601.0,16.375
140602.0,13.625
140603.0,34.5833
140604.0,36.7083
140605.0,31.0833
140606.0,15.7222
140607.0,27.9167
140608.0,31.125
140609.0,33.8333
140610.0,20.2917
140611.0,62.3913
140612.0,97.0
140613.0,33.5833
140614.0,22.25
140615.0,96.7083
140616.0,94.5416
140617.0,156.875
140618.0,162.542
140619.0,124.542
140620.0,54.1666
140621.0,32.2916
140622.0,38.0833
140623.0,77.9166
140624.0,137.708
140625.0,180.333
140626.0,101.625
140627.0,133.208
140628.0,120.25
140629.0,37.75
140630.0,31.6667
140701.0,44.0833
140702.0,38.5833
140703.0,28.4583
140704.0,61.2916
140705.0,64.9583
140706.0,56.5416
140707.0,55.8695
140708.0,137.458
140709.0,204.0
140710.0,149.167
140711.0,57.0
140712.0,50.125
140713.0,51.375
140714.0,29.4167
140715.0,47.875
140716.0,40.375
140717.0,122.583
140718.0,131.417
140719.0,169.458
140720.0,81.2083
140721.0,54.9583
140722.0,101.375
140723.0,193.042
140724.0,61.9583
140725.0,46.5833
140726.0,65.875
140727.0,20.3333
140728.0,40.875
140729.0,50.9583
140730.0,41.2916
140731.0,31.9583
140801.0,20.7083
140802.0,26.9583
140803.0,92.7083
140804.0,108.04299999999999
140805.0,38.4583
140806.0,60.4583
140807.0,69.2083
140808.0,43.5416
140809.0,75.2916
140810.0,80.375
140811.0,39.8889
140812.0,-1.0
140813.0,160.667
140814.0,175.167
140815.0,88.375
140816.0,68.25
140817.0,72.4583
140818.0,112.625
140819.0,47.0833
140820.0,47.25
140821.0,71.8333
140822.0,50.4583
140823.0,25.8333
140824.0,36.4166
140825.0,47.25
140826.0,75.0833
140827.0,55.125
140828.0,57.25
140829.0,34.8333
140830.0,41.8333
140831.0,44.0
140901.0,16.25
140902.0,25.625
140903.0,64.1666
140904.0,59.5416
140905.0,22.9583
140906.0,24.7917
140907.0,19.4583
140908.0,26.4545
140909.0,37.125
140910.0,84.7916
140911.0,67.125
140912.0,33.5
140913.0,44.1666
140914.0,44.875
140915.0,37.75
140916.0,28.125
140917.0,42.5416
140918.0,19.5833
140919.0,42.8333
140920.0,20.5
140921.0,15.0833
140922.0,20.9565
140923.0,31.2083
140924.0,17.4167
140925.0,32.75
140926.0,27.2917
140927.0,19.9167
140928.0,9.91666
140929.0,29.625
140930.0,19.0417
141001.0,42.7083
141002.0,27.25
141003.0,17.0
141004.0,21.6667
141005.0,47.2083
141006.0,53.8333
141007.0,16.7917
141008.0,31.0417
141009.0,38.5217
141010.0,40.1666
141011.0,20.5417
141012.0,27.4583
141013.0,42.5833
141014.0,19.9167
141015.0,18.0833
141016.0,13.25
141017.0,14.5833
141018.0,40.5833
141019.0,24.25
141020.0,9.625
141021.0,8.16666
141022.0,8.33333
141023.0,10.9583
141024.0,12.0417
141025.0,12.6667
141026.0,5.70833
141027.0,12.5833
141028.0,11.4783
141029.0,9.70833
141030.0,22.75
141031.0,24.3333
141101.0,13.8764
141102.0,19.4459
141103.0,27.9561
141104.0,25.1433
141105.0,9.75578
141106.0,7.045660000000001
141107.0,9.78703
141108.0,10.9718
141109.0,4.5157
141110.0,6.59904
141111.0,7.205030000000001
141112.0,10.0121
141113.0,6.4553199999999995
141114.0,5.21249
141115.0,5.27225
141116.0,5.77378
141117.0,5.56535
141118.0,11.6821
141119.0,13.1632
141120.0,10.3721
141121.0,6.179119999999999
141122.0,9.945689999999999
141123.0,12.9048
141124.0,8.7829
141125.0,8.28207
141126.0,5.05524
141127.0,12.0928
141128.0,13.2133
141129.0,6.83125
141130.0,6.67862
141201.0,6.58333
141202.0,7.41666
141203.0,7.58333
141204.0,8.125
141205.0,5.25
141206.0,15.375
141207.0,6.5
141208.0,6.29166
141209.0,9.33333
141210.0,8.0
141211.0,6.95833
141212.0,6.95833
141213.0,7.95833
141214.0,7.70833
141215.0,6.70833
141216.0,5.45833
141217.0,6.125
141218.0,6.875
141219.0,9.70833
141220.0,8.79166
141221.0,7.625
141222.0,6.17391
141223.0,5.78261
141224.0,7.70833
141225.0,6.375
141226.0,5.20833
141227.0,4.58333
141228.0,6.33333
141229.0,6.16666
141230.0,8.33333
141231.0,20.5417
150101.0,18.5417
150102.0,5.5
150103.0,5.75
150104.0,6.25
150105.0,5.08333
150106.0,7.58333
150107.0,7.70833
150108.0,7.125
150109.0,7.625
150110.0,6.70833
150111.0,6.70833
150112.0,6.608689999999999
150113.0,5.04166
150114.0,6.04166
150115.0,10.7083
150116.0,5.95833
150117.0,5.20833
150118.0,4.33333
150119.0,5.25
150120.0,9.75
150121.0,6.16666
150122.0,6.04166
150123.0,6.83333
150124.0,4.25
150125.0,4.875
150126.0,4.73913
150127.0,7.79166
150128.0,9.16666
150129.0,-1.0
150130.0,-1.0
150131.0,-1.0
150201.0,-1.0
150202.0,-1.0
150203.0,-1.0
150204.0,-1.0
150205.0,-1.0
150206.0,-1.0
150207.0,-1.0
150208.0,-1.0
150209.0,-1.0
150210.0,-1.0
150211.0,-1.0
150212.0,-1.0
150213.0,-1.0
150214.0,-1.0
150215.0,-1.0
150216.0,-1.0
150217.0,-1.0
150218.0,-1.0
150219.0,-1.0
150220.0,-1.0
150221.0,-1.0
150222.0,-1.0
150223.0,-1.0
150224.0,-1.0
150225.0,-1.0
150226.0,-1.0
150227.0,-1.0
150228.0,-1.0
150301.0,-1.0
150302.0,-1.0
150303.0,-1.0
150304.0,-1.0
150305.0,-1.0
150306.0,-1.0
150307.0,-1.0
150308.0,-1.0
150309.0,-1.0
150310.0,4.0
150311.0,-1.0
150312.0,-1.0
150313.0,10.9583
150314.0,9.29166
150315.0,6.16666
150316.0,9.75
150317.0,7.0
150318.0,7.95833
150319.0,10.625
150320.0,4.83333
150321.0,11.4167
150322.0,12.625
150323.0,12.5417
150324.0,20.1739
150325.0,14.75
150326.0,13.9167
150327.0,15.875
150328.0,8.79166
150329.0,7.29166
150330.0,11.375
150331.0,13.0833
150401.0,15.4583
150402.0,12.375
150403.0,13.9167
150404.0,8.25
150405.0,7.91666
150406.0,17.625
150407.0,14.2917
150408.0,11.7917
150409.0,10.1667
150410.0,19.75
150411.0,24.2917
150412.0,29.5417
150413.0,11.9583
150414.0,27.6667
150415.0,74.7083
150416.0,38.4583
150417.0,48.75
150418.0,46.1666
150419.0,50.75
150420.0,35.9166
150421.0,95.5833
150422.0,126.583
150423.0,110.5
150424.0,69.9583
150425.0,28.0
150426.0,85.7916
150427.0,57.3333
150428.0,36.1304
150429.0,22.6667
150430.0,76.4583
150501.0,73.9583
150502.0,87.0
150503.0,62.5833
150504.0,69.125
150505.0,180.417
150506.0,161.417
150507.0,152.833
150508.0,38.8333
150509.0,36.625
150510.0,112.917
150511.0,79.1738
150512.0,60.5416
150513.0,139.125
150514.0,100.208
150515.0,31.0954
150516.0,22.5924
150517.0,54.4728
150518.0,49.9149
150519.0,43.6866
150520.0,32.1505
150521.0,53.9286
150522.0,30.506999999999998
150523.0,126.60799999999999
150524.0,153.546
150525.0,288.592
150526.0,117.899
150527.0,169.62599999999998
150528.0,59.9128
150529.0,39.8691
150530.0,35.6427
150531.0,27.6593
150601.0,32.9062
150602.0,22.2845
150603.0,71.132
150604.0,22.2133
150605.0,29.2244
150606.0,36.5034
150607.0,53.8969
150608.0,46.8409
150609.0,52.4532
150610.0,64.3776
150611.0,103.14200000000001
150612.0,47.9037
150613.0,38.6883
150614.0,57.2049
150615.0,55.0884
150616.0,52.475
150617.0,211.437
150618.0,170.50799999999998
150619.0,99.484
150620.0,139.813
150621.0,79.6211
150622.0,152.45
150623.0,201.821
150624.0,60.1458
150625.0,42.8883
150626.0,71.1561
150627.0,118.249
150628.0,199.25799999999998
150629.0,105.131
150630.0,72.4686
150701.0,109.5
150702.0,157.52700000000002
150703.0,73.6537
150704.0,71.844
150705.0,38.2543
150706.0,58.6142
150707.0,27.5269
150708.0,50.7913
150709.0,86.5641
150710.0,121.18299999999999
150711.0,65.2383
150712.0,55.9032
150713.0,68.5293
150714.0,42.0712
150715.0,32.782
150716.0,40.8041
150717.0,50.1169
150718.0,57.2454
150719.0,132.569
150720.0,128.969
150721.0,90.124
150722.0,116.72399999999999
150723.0,132.708
150724.0,109.605
150725.0,23.6357
150726.0,24.8364
150727.0,23.5903
150728.0,38.566
150729.0,63.0108
150730.0,58.0419
150731.0,19.2148
150801.0,30.3175
150802.0,33.1164
150803.0,96.6583
150804.0,65.1641
150805.0,24.1463
150806.0,50.9337
150807.0,30.8364
150808.0,57.7827
150809.0,39.6179
150810.0,113.023
150811.0,124.90799999999999
150812.0,207.997
150813.0,142.82399999999998
150814.0,53.6362
150815.0,122.789
150816.0,128.915
150817.0,42.6737
150818.0,40.3654
150819.0,68.7332
150820.0,49.2474
150821.0,37.1874
150822.0,37.7423
150823.0,36.1824
150824.0,25.9117
150825.0,24.3362
150826.0,28.8106
150827.0,27.5015
150828.0,20.8038
150829.0,52.6766
150830.0,50.3337
150831.0,30.3675
150901.0,70.1074
150902.0,57.8752
150903.0,48.3559
150904.0,93.0514
150905.0,56.4521
150906.0,34.9512
150907.0,28.12
150908.0,60.7305
150909.0,67.9607
150910.0,62.5287
150911.0,75.036
150912.0,70.3337
150913.0,100.706
150914.0,64.7395
150915.0,59.4663
150916.0,96.1135
150917.0,93.525
150918.0,83.3099
150919.0,80.6292
150920.0,45.023999999999994
150921.0,50.5191
150922.0,66.4624
150923.0,42.5928
150924.0,24.336
150925.0,35.0627
150926.0,38.387
150927.0,23.6168
150928.0,29.4117
150929.0,56.2699
150930.0,57.8441
151001.0,21.4299
151002.0,18.4312
151003.0,22.6925
151004.0,15.4952
151005.0,16.2049
151006.0,17.5135
151007.0,23.7749
151008.0,49.3138
151009.0,32.7272
151010.0,10.1826
151011.0,25.6735
151012.0,28.4491
151013.0,40.3452
151014.0,25.7905
151015.0,23.4683
151016.0,45.2015
151017.0,34.4099
151018.0,9.8577
151019.0,11.2494
151020.0,13.3785
151021.0,21.1968
151022.0,19.2533
151023.0,18.9637
151024.0,16.7916
151025.0,17.0277
151026.0,17.7223
151027.0,20.8889
151028.0,14.3371
151029.0,20.2272
151030.0,12.6277
151031.0,10.2285
151101.0,8.28658
151102.0,11.0047
151103.0,12.2935
151104.0,15.1922
151105.0,9.637939999999999
151106.0,8.71941
151107.0,7.00312
151108.0,10.284
151109.0,8.84268
151110.0,7.04462
151111.0,11.6857
151112.0,9.5999
151113.0,5.88591
151114.0,6.16153
151115.0,3.0705
151116.0,7.6405
151117.0,13.9164
151118.0,30.2924
151119.0,23.6542
151120.0,14.5609
151121.0,7.14186
151122.0,5.2149
151123.0,6.90649
151124.0,16.3759
151125.0,-1.0
151126.0,-1.0
151127.0,-1.0
151128.0,-1.0
151129.0,6.02674
151130.0,5.25528
151201.0,7.506360000000001
151202.0,9.52252
151203.0,6.80674
151204.0,4.15458
151205.0,7.102580000000001
151206.0,2.74146
151207.0,6.41994
151208.0,5.97457
151209.0,4.9897800000000005
151210.0,2.29541
151211.0,1.9731599999999998
151212.0,3.6655800000000003
151213.0,10.2344
151214.0,4.24757
151215.0,6.98203
151216.0,4.2335400000000005
151217.0,5.65079
151218.0,6.30566
151219.0,4.38887
151220.0,3.4211199999999997
151221.0,9.88606
151222.0,4.21373
151223.0,5.89878
151224.0,7.92916
151225.0,4.35495
151226.0,3.8622400000000003
151227.0,4.69799
151228.0,4.37415
151229.0,5.62828
151230.0,5.26432
151231.0,6.571860000000001
160101.0,5.18953
160102.0,2.64574
160103.0,4.0155
160104.0,4.64626
160105.0,5.91195
160106.0,7.704280000000001
160107.0,12.0398
160108.0,11.4266
160109.0,7.46961
160110.0,6.15191
160111.0,4.88547
160112.0,3.22633
160113.0,4.46824
160114.0,4.17483
160115.0,5.58124
160116.0,5.3720300000000005
160117.0,2.63983
160118.0,4.41029
160119.0,3.95974
160120.0,5.6152
160121.0,5.48386
160122.0,2.20575
160123.0,6.09274
160124.0,2.8032
160125.0,3.3810800000000003
160126.0,7.04299
160127.0,6.33999
160128.0,2.39316
160129.0,3.29333
160130.0,4.66556
160131.0,6.2747
160201.0,7.42536
160202.0,4.72366
160203.0,5.80061
160204.0,4.40437
160205.0,2.61646
160206.0,1.0573700000000001
160207.0,1.03187
160208.0,1.7647099999999998
160209.0,6.907769999999999
160210.0,12.7112
160211.0,13.0207
160212.0,11.624
160213.0,7.6657
160214.0,7.99482
160215.0,6.36541
160216.0,7.642110000000001
160217.0,10.2086
160218.0,10.3181
160219.0,9.228069999999999
160220.0,7.75582
160221.0,7.17744
160222.0,5.08753
160223.0,7.938219999999999
160224.0,8.371780000000001
160225.0,6.919689999999999
160226.0,11.4469
160227.0,12.800999999999998
160228.0,9.28674
160229.0,13.0719
160301.0,13.5718
160302.0,11.9268
160303.0,8.10178
160304.0,15.3159
160305.0,16.8443
160306.0,13.6774
160307.0,10.8822
160308.0,12.3728
160309.0,8.75345
160310.0,12.152999999999999
160311.0,12.3886
160312.0,17.0121
160313.0,13.9804
160314.0,12.7675
160315.0,14.6545
160316.0,16.2508
160317.0,19.9973
160318.0,22.7717
160319.0,12.1022
160320.0,15.4711
160321.0,12.8364
160322.0,17.2851
160323.0,12.6914
160324.0,18.2003
160325.0,28.358
160326.0,22.0433
160327.0,18.8795
160328.0,21.0054
160329.0,32.4287
160330.0,27.0587
160331.0,14.9424
160401.0,30.5223
160402.0,33.4887
160403.0,29.2007
160404.0,37.6852
160405.0,50.2238
160406.0,32.6862
160407.0,40.8782
160408.0,59.7794
160409.0,61.3907
160410.0,30.7782
160411.0,46.1373
160412.0,50.1758
160413.0,27.8933
160414.0,19.8676
160415.0,20.5164
160416.0,25.1125
160417.0,50.113
160418.0,120.77600000000001
160419.0,41.4991
160420.0,27.34
160421.0,87.5505
160422.0,34.7387
160423.0,27.8245
160424.0,98.5806
160425.0,97.3856
160426.0,94.3059
160427.0,113.046
160428.0,135.08100000000002
160429.0,112.336
160430.0,138.577
160501.0,90.6136
160502.0,71.3795
160503.0,99.0845
160504.0,110.43
160505.0,101.75
160506.0,135.752
160507.0,115.915
160508.0,83.012
160509.0,151.541
160510.0,153.81799999999998
160511.0,59.4316
160512.0,64.0203
160513.0,116.331
160514.0,64.6591
160515.0,60.8218
160516.0,134.643
160517.0,158.30100000000002
160518.0,82.7944
160519.0,86.2692
160520.0,143.542
160521.0,138.799
160522.0,200.229
160523.0,141.999
160524.0,66.6779
160525.0,35.4833
160526.0,135.166
160527.0,114.03299999999999
160528.0,86.4545
160529.0,63.3662
160530.0,76.475
160531.0,82.5004
160601.0,126.402
160602.0,143.814
160603.0,47.8391
160604.0,57.7117
160605.0,84.7837
160606.0,66.7417
160607.0,113.939
160608.0,66.1409
160609.0,66.1013
160610.0,203.946
160611.0,246.55
160612.0,149.155
160613.0,171.483
160614.0,79.2975
160615.0,179.805
160616.0,151.437
160617.0,134.405
160618.0,228.58
160619.0,189.968
160620.0,103.12
160621.0,161.274
160622.0,106.85700000000001
160623.0,156.817
160624.0,164.669
160625.0,101.477
160626.0,219.422
160627.0,159.394
160628.0,133.971
160629.0,141.179
160630.0,84.7134
160701.0,144.245
160702.0,140.349
160703.0,303.17
160704.0,257.297
160705.0,112.266
160706.0,50.2061
160707.0,-1.0
160708.0,61.2188
160709.0,50.08
160710.0,36.3878
160711.0,39.9044
160712.0,95.2233
160713.0,43.3463
160714.0,70.4579
160715.0,107.006
160716.0,63.9208
160717.0,46.0746
160718.0,163.32399999999998
160719.0,86.2863
160720.0,83.4446
160721.0,65.8779
160722.0,46.0117
160723.0,39.3296
160724.0,48.0396
160725.0,76.9526
160726.0,124.319
160727.0,126.337
160728.0,53.2641
160729.0,45.0279
160730.0,42.1299
160731.0,36.3921
160801.0,109.06
160802.0,119.885
160803.0,51.2829
160804.0,69.8954
160805.0,51.81
160806.0,32.4729
160807.0,50.9324
160808.0,179.935
160809.0,149.616
160810.0,66.7117
160811.0,61.755
160812.0,63.7475
160813.0,52.7554
160814.0,50.7491
160815.0,35.4633
160816.0,30.5823
160817.0,27.5396
160818.0,41.8454
160819.0,51.1561
160820.0,113.13
160821.0,102.323
160822.0,115.186
160823.0,43.9633
160824.0,43.9687
160825.0,41.0004
160826.0,91.6877
160827.0,112.17399999999999
160828.0,94.5381
160829.0,44.6821
160830.0,59.9221
160831.0,94.3405
160901.0,170.50799999999998
160902.0,47.994
160903.0,14.3392
160904.0,42.3895
160905.0,122.025
160906.0,82.1366
160907.0,55.1804
160908.0,47.945
160909.0,40.5878
160910.0,63.6996
160911.0,35.4442
160912.0,20.789
160913.0,44.0994
160914.0,56.4508
160915.0,50.7421
160916.0,61.2078
160917.0,43.1716
