FECHA (YYMMDD),HORA (HHMM),Registros
140101.0,100.0,11.0
140101.0,200.0,11.0
140101.0,300.0,9.0
140101.0,400.0,6.0
140101.0,500.0,7.0
140101.0,600.0,4.0
140101.0,700.0,5.0
140101.0,800.0,7.0
140101.0,900.0,5.0
140101.0,1000.0,8.0
140101.0,1100.0,7.0
140101.0,1200.0,7.0
140101.0,1300.0,8.0
140101.0,1400.0,7.0
140101.0,1500.0,5.0
140101.0,1600.0,6.0
140101.0,1700.0,7.0
140101.0,1800.0,4.0
140101.0,1900.0,4.0
140101.0,2000.0,21.0
140101.0,2100.0,11.0
140101.0,2200.0,5.0
140101.0,2300.0,4.0
140102.0,0.0,4.0
140102.0,100.0,5.0
140102.0,200.0,5.0
140102.0,300.0,4.0
140102.0,400.0,4.0
140102.0,500.0,4.0
140102.0,600.0,4.0
140102.0,700.0,4.0
140102.0,800.0,4.0
140102.0,900.0,4.0
140102.0,1000.0,4.0
140102.0,1100.0,4.0
140102.0,1200.0,4.0
140102.0,1300.0,4.0
140102.0,1400.0,4.0
140102.0,1500.0,4.0
140102.0,1600.0,4.0
140102.0,1700.0,4.0
140102.0,1800.0,4.0
140102.0,1900.0,4.0
140102.0,2000.0,5.0
140102.0,2100.0,13.0
140102.0,2200.0,11.0
140102.0,2300.0,18.0
140103.0,0.0,16.0
140103.0,100.0,10.0
140103.0,200.0,5.0
140103.0,300.0,7.0
140103.0,400.0,5.0
140103.0,500.0,6.0
140103.0,600.0,5.0
140103.0,700.0,4.0
140103.0,800.0,4.0
140103.0,900.0,4.0
140103.0,1000.0,4.0
140103.0,1100.0,4.0
140103.0,1200.0,4.0
140103.0,1300.0,4.0
140103.0,1400.0,4.0
140103.0,1500.0,4.0
140103.0,1600.0,4.0
140103.0,1700.0,4.0
140103.0,1800.0,4.0
140103.0,1900.0,4.0
140103.0,2000.0,4.0
140103.0,2100.0,4.0
140103.0,2200.0,5.0
140103.0,2300.0,4.0
140104.0,0.0,4.0
140104.0,100.0,4.0
140104.0,200.0,4.0
140104.0,300.0,15.0
140104.0,400.0,4.0
140104.0,500.0,4.0
140104.0,600.0,4.0
140104.0,700.0,5.0
140104.0,800.0,4.0
140104.0,900.0,4.0
140104.0,1000.0,4.0
140104.0,1100.0,4.0
140104.0,1200.0,4.0
140104.0,1300.0,4.0
140104.0,1400.0,4.0
140104.0,1500.0,4.0
140104.0,1600.0,4.0
140104.0,1700.0,4.0
140104.0,1800.0,4.0
140104.0,1900.0,4.0
140104.0,2000.0,4.0
140104.0,2100.0,4.0
140104.0,2200.0,4.0
140104.0,2300.0,6.0
140105.0,0.0,4.0
140105.0,100.0,4.0
140105.0,200.0,4.0
140105.0,300.0,4.0
140105.0,400.0,4.0
140105.0,500.0,4.0
140105.0,600.0,4.0
140105.0,700.0,4.0
140105.0,800.0,4.0
140105.0,900.0,4.0
140105.0,1000.0,4.0
140105.0,1100.0,4.0
140105.0,1200.0,4.0
140105.0,1300.0,4.0
140105.0,1400.0,4.0
140105.0,1500.0,10.0
140105.0,1600.0,5.0
140105.0,1700.0,4.0
140105.0,1800.0,4.0
