0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
2.316716155500661e-09,4.612652897742691e-09,1.7476795318863653e-08,1.9602956051846947e-09,1.9789353287566213e-09,1.3398852260174966e-13,2.4652828960922598e-14,3.619120566039458e-08,1.0074750443810226e-08,1.2342895319547763e-08,2.7954483544879363e-08,9.15024537636625e-09,2.9028371456474528e-08,2.2990063271120317e-08,1.1645486347823214e-08,3.6011396179785763e-09,0.0,1.1990835155941541e-09,3.1215064792770834e-09,0.0,3.545711685763908e-14,4.4713030183188715e-14,2.679384448098015e-14,3.263835815652784e-09,8.865138678646804e-09,5.26887453938736e-10
2.316716155500661e-09,4.612652897742691e-09,1.7476795318863653e-08,1.9602956051846947e-09,1.9789353287566213e-09,1.3398852260174966e-13,2.4652828960922598e-14,3.619120566039458e-08,1.0074750443810226e-08,1.2342895319547763e-08,2.7954483544879363e-08,9.15024537636625e-09,2.9028371456474528e-08,2.2990063271120317e-08,1.1645486347823214e-08,3.6011396179785763e-09,0.0,1.1990835155941541e-09,3.1215064792770834e-09,0.0,3.545711685763908e-14,4.4713030183188715e-14,2.679384448098015e-14,3.263835815652784e-09,8.865138678646804e-09,5.26887453938736e-10
2.3188702006215538e-09,4.617036929478944e-09,1.7492877502372204e-08,1.96230306913007e-09,1.980944980604459e-09,2.533932660820863e-13,4.662234808725266e-14,3.622448909459104e-08,1.008428551902764e-08,1.2354560229192972e-08,2.7980737199504644e-08,9.159160467349812e-09,2.9055060466746028e-08,2.3011544427153337e-08,1.1656246102297374e-08,3.6043592729025313e-09,0.0,1.200163750318135e-09,3.124317071114673e-09,0.0,6.705494452309306e-14,8.455928831002189e-14,5.067682633867281e-14,3.2668627542332743e-09,8.87357213107407e-09,5.273950979420622e-10
2.3200042786385566e-09,4.61937870157223e-09,1.7501289039605727e-08,1.9634197642354977e-09,1.9820623817477337e-09,3.545326645130116e-13,6.523118705025204e-14,3.6241890622877105e-08,1.0089361944520558e-08,1.2360770753996614e-08,2.799464473779606e-08,9.163985867881871e-09,2.9069011220185107e-08,2.302290081054547e-08,1.1661890301319628e-08,3.6060200275316015e-09,0.0,1.2007215303983416e-09,3.1257682168845917e-09,0.0,9.381924879235434e-14,1.1831025086073375e-13,7.100936412951638e-14,3.268453684657721e-09,8.878072287778734e-09,5.276679546207039e-10
2.321348720883869e-09,4.6221193804332874e-09,1.7511324200625833e-08,1.964673291023153e-09,1.983323714154796e-09,4.289696715551576e-13,7.892700162041073e-14,3.626265860659249e-08,1.0095316759385166e-08,1.2368063693857899e-08,2.8011032494781477e-08,9.169551366878173e-09,2.908566340766881e-08,2.3036327083793512e-08,1.1668607701424111e-08,3.6080397357350158e-09,0.0,1.2013960291523168e-09,3.1275237312299942e-09,0.0,1.1351735809882815e-13,1.4315043712415966e-13,8.60479856365982e-14,3.270342601790174e-09,8.883334157854018e-09,5.279846288510508e-10
2.3223684260878517e-09,4.624195733363263e-09,1.7518936795814588e-08,1.9656237350052947e-09,1.984276647985141e-09,4.854745654337611e-13,8.932344332591085e-14,3.627841337266145e-08,1.0099831372791732e-08,1.2373588534733918e-08,2.8023461098364222e-08,9.173771952075688e-09,2.9098296456452432e-08,2.304650033326219e-08,1.1673701662038438e-08,3.6095661910686977e-09,0.0,1.2019074640485082e-09,3.128854531965345e-09,0.0,1.2847012036182925e-13,1.6200650580374907e-13,9.738376858638458e-14,3.2717754502003277e-09,8.887326059578258e-09,5.28224904358353e-10
2.323165763614912e-09,4.625817384516127e-09,1.752489039373135e-08,1.9663666658201488e-09,1.9850187268460263e-09,5.296960895344697e-13,9.745983765716831e-14,3.6290735008159186e-08,1.0103359953645376e-08,1.2377903218318785e-08,2.803317869727118e-08,9.177071644996031e-09,2.910817708698993e-08,2.3054446908602157e-08,1.16776840324989e-08,3.6107553565560625e-09,0.0,1.2023072516032478e-09,3.12989456464136e-09,0.0,1.4017235310039334e-13,1.767634942217275e-13,1.0619010357428944e-13,3.272895984234484e-09,8.890448249239123e-09,5.284128570022404e-10
2.3239133463955137e-09,4.6273331619211485e-09,1.753047514044241e-08,1.9670626260320923e-09,1.98570703028294e-09,5.712529312839599e-13,1.0510593553789102e-13,3.630229393447646e-08,1.0106664601846234e-08,1.238193554644601e-08,2.8042288210200755e-08,9.180164191290837e-09,2.9117447225885458e-08,2.3061877543099532e-08,1.1681416066804321e-08,3.6118594975850266e-09,0.0,1.202681801725789e-09,3.1308683266732485e-09,0.0,1.5116941553293745e-13,1.9063117590824344e-13,1.1430615157096633e-13,3.273946957522712e-09,8.893377581147568e-09,5.285892628789776e-10
2.3247425022064538e-09,4.629011950362388e-09,1.753667062573225e-08,1.967834215170537e-09,1.9864666342456225e-09,6.173925267245641e-13,1.1359520895118637e-13,3.631511726671422e-08,1.0110327931127385e-08,1.2386401185228379e-08,2.805239084922502e-08,9.183593550201693e-09,2.9127731974676218e-08,2.3070108754447735e-08,1.1685554391333008e-08,3.6130786059681016e-09,0.0,1.2030970733588226e-09,3.131947642857044e-09,0.0,1.6337918363116451e-13,2.0602808318972375e-13,1.232360830688246e-13,3.2751127928238326e-09,8.896627552746767e-09,5.287850099480313e-10
2.323797624919767e-09,4.627168973799261e-09,1.7529461392694694e-08,1.967130244469475e-09,1.9857299179703246e-09,6.802265398794187e-13,1.2515610153464982e-13,3.630017955821101e-08,1.0106297651429002e-08,1.238143334378121e-08,2.8041122956580236e-08,9.180072443930388e-09,2.9115749772143747e-08,2.3060737334007606e-08,1.1680764449057827e-08,3.6115152336542106e-09,0.0,1.2025890958658613e-09,3.130622917410448e-09,0.0,1.80006734194771e-13,2.2699594002120624e-13,1.3540357308184839e-13,3.273778481586981e-09,8.893117040159769e-09,5.285798977315565e-10
